Stream_ID,Time_Start,Time_End,KBytes,Kbps,Latency_ms,Lost,Total
1,10.0,11.0,84.7,694.0,14.372,0,59
3,10.0,11.0,84.7,694.0,14.457,0,59
5,10.0,11.0,84.7,694.0,15.028,0,59
10,10.0,11.0,84.7,694.0,14.682,0,59
1,11.0,12.0,76.1,623.0,15.497,0,53
3,11.0,12.0,84.7,694.0,14.042,0,59
2,11.0,12.0,86.1,706.0,15.814,0,60
5,11.0,12.0,77.5,635.0,15.537,0,54
4,11.0,12.0,97.6,800.0,14.049,0,68
6,11.0,12.0,94.7,776.0,13.71,0,66
10,11.0,12.0,74.6,612.0,16.634,0,52
7,11.0,12.0,97.6,800.0,14.185,0,68
8,11.0,12.0,84.7,694.0,15.646,0,59
9,11.0,12.0,93.3,764.0,14.321,0,65
3,12.0,13.0,76.1,623.0,15.459,0,53
2,12.0,13.0,63.2,517.0,18.952,0,44
5,12.0,13.0,63.2,517.0,18.503,0,44
4,12.0,13.0,73.2,600.0,15.792,0,51
6,12.0,13.0,74.6,612.0,15.784,0,52
7,12.0,13.0,73.2,600.0,15.529,0,51
8,12.0,13.0,63.2,517.0,18.401,0,44
10,12.0,13.0,64.6,529.0,18.927,0,45
9,12.0,13.0,76.1,623.0,15.458,0,53
1,12.0,13.0,73.2,600.0,18.48,0,51
1,13.0,14.0,64.6,529.0,24.978,0,45
2,13.0,14.0,80.4,659.0,20.126,0,56
3,13.0,14.0,73.2,600.0,16.238,0,51
4,13.0,14.0,76.1,623.0,16.578,0,53
5,13.0,14.0,74.6,612.0,24.877,0,52
6,13.0,14.0,73.2,600.0,16.291,0,51
7,13.0,14.0,74.6,612.0,17.092,0,52
9,13.0,14.0,73.2,600.0,16.494,0,51
8,13.0,14.0,84.7,694.0,16.26,0,59
10,13.0,14.0,86.1,706.0,15.737,0,60
2,14.0,15.0,68.9,564.0,14.666,0,48
3,14.0,15.0,84.7,694.0,13.32,0,59
4,14.0,15.0,84.7,694.0,14.349,0,59
6,14.0,15.0,84.7,694.0,14.61,0,59
7,14.0,15.0,84.7,694.0,15.026,0,59
1,14.0,15.0,83.3,682.0,14.551,0,58
9,14.0,15.0,86.1,706.0,14.156,0,60
5,14.0,15.0,83.3,682.0,14.217,0,58
8,14.0,15.0,76.1,623.0,14.278,0,53
10,14.0,15.0,73.2,600.0,14.241,0,51
3,15.0,16.0,84.7,694.0,15.89,0,59
4,15.0,16.0,84.7,694.0,15.603,0,59
1,15.0,16.0,84.7,694.0,13.769,0,59
6,15.0,16.0,86.1,706.0,15.182,0,60
2,15.0,16.0,96.2,788.0,13.997,0,67
7,15.0,16.0,86.1,706.0,14.882,0,60
9,15.0,16.0,84.7,694.0,14.894,0,59
5,15.0,16.0,84.7,694.0,13.666,0,59
8,15.0,16.0,84.7,694.0,14.271,0,59
10,15.0,16.0,84.7,694.0,13.892,0,59
3,16.0,17.0,84.7,694.0,13.657,0,59
4,16.0,17.0,84.7,694.0,13.924,0,59
1,16.0,17.0,63.2,517.0,18.668,0,44
6,16.0,17.0,84.7,694.0,13.419,0,59
2,16.0,17.0,64.6,529.0,17.333,0,45
7,16.0,17.0,84.7,694.0,13.669,0,59
5,16.0,17.0,63.2,517.0,17.988,0,44
9,16.0,17.0,84.7,694.0,13.312,0,59
8,16.0,17.0,64.6,529.0,17.71,0,45
10,16.0,17.0,71.8,588.0,17.262,0,50
3,17.0,18.0,84.7,694.0,14.394,0,59
4,17.0,18.0,86.1,706.0,13.676,0,60
6,17.0,18.0,84.7,694.0,14.064,0,59
7,17.0,18.0,84.7,694.0,14.876,0,59
1,17.0,18.0,84.7,694.0,16.031,0,59
2,17.0,18.0,84.7,694.0,15.295,0,59
9,17.0,18.0,84.7,694.0,14.111,0,59
5,17.0,18.0,84.7,694.0,15.525,0,59
10,17.0,18.0,76.1,623.0,15.226,0,53
8,17.0,18.0,84.7,694.0,14.783,0,59
4,18.0,19.0,73.2,600.0,15.855,0,51
1,18.0,19.0,77.5,635.0,14.744,0,54
2,18.0,19.0,73.2,600.0,14.396,0,51
5,18.0,19.0,76.1,623.0,15.188,0,53
7,18.0,19.0,73.2,600.0,16.604,0,51
9,18.0,19.0,76.1,623.0,15.124,0,53
8,18.0,19.0,74.6,612.0,15.244,0,52
3,18.0,19.0,86.1,706.0,15.632,0,60
6,18.0,19.0,84.7,694.0,15.435,0,59
10,18.0,19.0,84.7,694.0,14.726,0,59
2,19.0,20.0,74.6,612.0,15.776,0,52
1,19.0,20.0,73.2,600.0,15.24,0,51
5,19.0,20.0,73.2,600.0,15.906,0,51
8,19.0,20.0,73.2,600.0,16.409,0,51
3,19.0,20.0,63.2,517.0,19.763,0,44
4,19.0,20.0,74.6,612.0,19.124,0,52
6,19.0,20.0,63.2,517.0,19.267,0,44
7,19.0,20.0,76.1,623.0,18.933,0,53
10,19.0,20.0,73.2,600.0,15.599,0,51
9,19.0,20.0,71.8,588.0,19.103,0,50
6,20.0,21.0,67.5,553.0,24.688,0,47
2,20.0,21.0,84.7,694.0,15.761,0,59
1,20.0,21.0,84.7,694.0,14.964,0,59
9,20.0,21.0,64.6,529.0,15.483,0,45
3,20.0,21.0,76.1,623.0,16.101,0,53
5,20.0,21.0,84.7,694.0,16.036,0,59
4,20.0,21.0,73.2,600.0,15.878,0,51
10,20.0,21.0,76.1,623.0,15.231,0,53
8,20.0,21.0,86.1,706.0,15.568,0,60
7,20.0,21.0,73.2,600.0,16.336,0,51
1,21.0,22.0,74.6,612.0,14.837,0,52
2,21.0,22.0,73.2,600.0,14.887,0,51
5,21.0,22.0,76.1,623.0,14.488,0,53
3,21.0,22.0,73.2,600.0,15.217,0,51
4,21.0,22.0,74.6,612.0,15.948,0,52
8,21.0,22.0,74.6,612.0,15.165,0,52
6,21.0,22.0,81.8,670.0,16.168,0,57
7,21.0,22.0,74.6,612.0,15.592,0,52
9,21.0,22.0,84.7,694.0,15.455,0,59
10,21.0,22.0,84.7,694.0,14.745,0,59
1,22.0,23.0,84.7,694.0,14.826,0,59
7,22.0,23.0,73.2,600.0,14.396,0,51
2,22.0,23.0,84.7,694.0,15.109,0,59
5,22.0,23.0,84.7,694.0,14.782,0,59
3,22.0,23.0,84.7,694.0,14.164,0,59
4,22.0,23.0,86.1,706.0,13.756,0,60
6,22.0,23.0,84.7,694.0,14.842,0,59
10,22.0,23.0,73.2,600.0,14.433,0,51
8,22.0,23.0,84.7,694.0,15.077,0,59
