Time_ms,Now_us,Latency_us
0,1755785552281765,71475546
1081,1755785553362446,71475274
2121,1755785554403012,71475789
3161,1755785555442333,71475179
4188,1755785556469965,71474763
5221,1755785557502665,71475479
6247,1755785558528814,71474645
7283,1755785559564570,71475278
8372,1755785560653829,71474697
9447,1755785561728888,71474632
10515,1755785562796979,71474740
11587,1755785563868158,71474896
12678,1755785564959567,71475328
13774,1755785566055600,71477443
14858,1755785567139705,71475476
15921,1755785568203017,71475811
16968,1755785569249342,71475069
18001,1755785570282248,71475015
19032,1755785571314099,71474887
20064,1755785572345507,71475249
21090,1755785573371918,71475505
22152,1755785574434058,71474777
23223,1755785575504792,71475238
24289,1755785576570516,71475299
25375,1755785577656452,71475059
26464,1755785578745363,71475150
27547,1755785579828436,71475186
28587,1755785580868639,71476138
29626,1755785581907115,71475950
30685,1755785582966686,71475428
31731,1755785584012731,71475542
32802,1755785585083540,71475280
33829,1755785586110716,71476092
34868,1755785587149168,71474949
35910,1755785588191650,71475367
36970,1755785589251214,71475016
38053,1755785590334502,71476256
39090,1755785591372048,71475794
40143,1755785592424348,71475192
41199,1755785593480560,71475374
42292,1755785594574059,71475837
43362,1755785595643586,71475396
44442,1755785596724112,71476964
45538,1755785597820024,71475694
46607,1755785598888942,71475667
47685,1755785599966539,71475199
48774,1755785601055519,71475241
49857,1755785602138682,71475388
50933,1755785603214839,71476702
52016,1755785604297688,71475995
53055,1755785605336650,71475515
54138,1755785606419866,71475555
55188,1755785607469536,71475331
56269,1755785608550875,71475651
57311,1755785609592976,71475653
58361,1755785610642503,71475319
59407,1755785611688442,71475571
60465,1755785612746143,71475752
61509,1755785613790952,71475673
62579,1755785614860978,71475704
63677,1755785615958829,71475584
64727,1755785617009044,71475856
65763,1755785618044625,71476409
66797,1755785619078931,71475743
67837,1755785620118803,71475547
68879,1755785621161049,71475695
69935,1755785622216902,71475723
71026,1755785623307562,71476173
72114,1755785624395259,71475945
73202,1755785625483638,71476790
74266,1755785626548018,71475763
75301,1755785627582530,71476329
76327,1755785628608128,71475870
77354,1755785629635966,71475763
78384,1755785630665510,71476317
79417,1755785631698762,71477508
80442,1755785632723202,71475911
81467,1755785633748957,71476737
82495,1755785634776165,71476024
83534,1755785635815530,71476337
84570,1755785636851929,71475746
85614,1755785637895501,71475845
86653,1755785638935058,71475863
87696,1755785639977436,71476165
88738,1755785641019298,71476057
89785,1755785642066530,71476294
