[UE 11 | RB 1] Throughput = 0.29861 Mbps
[UE 12 | RB 1] Throughput = 0.35834 Mbps
[UE 7 | RB 1] Throughput = 0.34508 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28756 Mbps
[UE 12 | RB 1] Throughput = 0.23005 Mbps
[UE 7 | RB 1] Throughput = 0.29785 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29785 Mbps
[UE 12 | RB 1] Throughput = 0.35742 Mbps
[UE 7 | RB 1] Throughput = 0.28555 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.34265 Mbps
[UE 12 | RB 1] Throughput = 0.34265 Mbps
[UE 7 | RB 1] Throughput = 0.34368 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28640 Mbps
[UE 12 | RB 1] Throughput = 0.28640 Mbps
[UE 7 | RB 1] Throughput = 0.23855 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29819 Mbps
[UE 12 | RB 1] Throughput = 0.29819 Mbps
[UE 7 | RB 1] Throughput = 0.28552 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28552 Mbps
[UE 12 | RB 1] Throughput = 0.22842 Mbps
[UE 7 | RB 1] Throughput = 0.23822 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23822 Mbps
[UE 12 | RB 1] Throughput = 0.23822 Mbps
[UE 7 | RB 1] Throughput = 0.28790 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28790 Mbps
[UE 12 | RB 1] Throughput = 0.28790 Mbps
[UE 7 | RB 1] Throughput = 0.28492 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22793 Mbps
[UE 12 | RB 1] Throughput = 0.28492 Mbps
[UE 7 | RB 1] Throughput = 0.23911 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29889 Mbps
[UE 12 | RB 1] Throughput = 0.23911 Mbps
[UE 7 | RB 1] Throughput = 0.28677 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
