[UE 10 | RB 1] Throughput = 0.97172 Mbps
[UE 1 | RB 1] Throughput = 1.19563 Mbps
[UE 4 | RB 1] Throughput = 0.95650 Mbps
[UE 7 | RB 1] Throughput = 1.19563 Mbps
[UE 9 | RB 1] Throughput = 1.19563 Mbps
[UE 10 | RB 1] Throughput = 0.83694 Mbps
[UE 1 | RB 1] Throughput = 1.02892 Mbps
[UE 4 | RB 1] Throughput = 1.14324 Mbps
[UE 7 | RB 1] Throughput = 0.80027 Mbps
[UE 9 | RB 1] Throughput = 0.85743 Mbps
[UE 10 | RB 1] Throughput = 1.02892 Mbps
[UE 1 | RB 1] Throughput = 1.02729 Mbps
[UE 4 | RB 1] Throughput = 1.14144 Mbps
[UE 7 | RB 1] Throughput = 1.25558 Mbps
[UE 9 | RB 1] Throughput = 1.14144 Mbps
[UE 10 | RB 1] Throughput = 1.08436 Mbps
[UE 1 | RB 1] Throughput = 1.19560 Mbps
[UE 4 | RB 1] Throughput = 0.89670 Mbps
[UE 7 | RB 1] Throughput = 1.19560 Mbps
[UE 9 | RB 1] Throughput = 1.13582 Mbps
[UE 10 | RB 1] Throughput = 0.89670 Mbps
[UE 1 | RB 1] Throughput = 0.85828 Mbps
[UE 4 | RB 1] Throughput = 1.14437 Mbps
[UE 7 | RB 1] Throughput = 0.97271 Mbps
[UE 9 | RB 1] Throughput = 0.97271 Mbps
[UE 10 | RB 1] Throughput = 1.14437 Mbps
[UE 1 | RB 1] Throughput = 1.25775 Mbps
[UE 4 | RB 1] Throughput = 1.07807 Mbps
[UE 7 | RB 1] Throughput = 1.31765 Mbps
[UE 9 | RB 1] Throughput = 1.19786 Mbps
[UE 10 | RB 1] Throughput = 0.95829 Mbps
[UE 1 | RB 1] Throughput = 1.19748 Mbps
[UE 4 | RB 1] Throughput = 1.31152 Mbps
[UE 7 | RB 1] Throughput = 0.74129 Mbps
[UE 9 | RB 1] Throughput = 1.08343 Mbps
[UE 10 | RB 1] Throughput = 1.08343 Mbps
[UE 1 | RB 1] Throughput = 1.13727 Mbps
[UE 4 | RB 1] Throughput = 1.01756 Mbps
[UE 7 | RB 1] Throughput = 0.95770 Mbps
[UE 9 | RB 1] Throughput = 0.89785 Mbps
[UE 10 | RB 1] Throughput = 0.95770 Mbps
[UE 1 | RB 1] Throughput = 1.20060 Mbps
[UE 4 | RB 1] Throughput = 1.31494 Mbps
[UE 7 | RB 1] Throughput = 1.25777 Mbps
[UE 9 | RB 1] Throughput = 1.14342 Mbps
[UE 10 | RB 1] Throughput = 1.25777 Mbps
[UE 1 | RB 1] Throughput = 1.14198 Mbps
[UE 4 | RB 1] Throughput = 1.31327 Mbps
[UE 7 | RB 1] Throughput = 1.19907 Mbps
[UE 9 | RB 1] Throughput = 1.31327 Mbps
[UE 10 | RB 1] Throughput = 1.31327 Mbps
[UE 1 | RB 1] Throughput = 1.31798 Mbps
[UE 4 | RB 1] Throughput = 1.01844 Mbps
[UE 7 | RB 1] Throughput = 0.95853 Mbps
[UE 9 | RB 1] Throughput = 1.01844 Mbps
[UE 10 | RB 1] Throughput = 1.01844 Mbps
[UE 1 | RB 1] Throughput = 1.13691 Mbps
[UE 4 | RB 1] Throughput = 1.55577 Mbps
[UE 7 | RB 1] Throughput = 1.07707 Mbps
[UE 9 | RB 1] Throughput = 1.49594 Mbps
[UE 10 | RB 1] Throughput = 1.37626 Mbps
[UE 1 | RB 1] Throughput = 1.42741 Mbps
[UE 4 | RB 1] Throughput = 1.08483 Mbps
[UE 7 | RB 1] Throughput = 1.02774 Mbps
[UE 9 | RB 1] Throughput = 1.31322 Mbps
[UE 10 | RB 1] Throughput = 1.02774 Mbps
[UE 1 | RB 1] Throughput = 1.14100 Mbps
[UE 4 | RB 1] Throughput = 1.42625 Mbps
[UE 7 | RB 1] Throughput = 1.08395 Mbps
[UE 9 | RB 1] Throughput = 1.19805 Mbps
[UE 10 | RB 1] Throughput = 1.31215 Mbps
[UE 1 | RB 1] Throughput = 1.43546 Mbps
[UE 4 | RB 1] Throughput = 1.31584 Mbps
[UE 7 | RB 1] Throughput = 1.01678 Mbps
[UE 9 | RB 1] Throughput = 1.55508 Mbps
