timestamp,event,frame,slot,line,timestamp_us,delta_us
22:50:09.701972152,tx_func,,,22:50:09.701972152: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.12,1900-01-01 22:50:09.701972152,1.28
22:50:09.702896298,tx_func,,,22:50:09.702896298: LEGACY_NR_PHY_DEBUG log 327.13 running tx_func,1900-01-01 22:50:09.702896298,41.069
22:50:09.702898782,Calling scheduler,,,22:50:09.702898782: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.13,1900-01-01 22:50:09.702898782,0.922
22:50:09.703412978,tx_func,,,22:50:09.703412978: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.13,1900-01-01 22:50:09.703412978,2.125
22:50:09.704299067,tx_func,,,22:50:09.704299067: LEGACY_NR_PHY_DEBUG log 327.14 running tx_func,1900-01-01 22:50:09.704299067,19.167
22:50:09.704303157,Calling scheduler,,,22:50:09.704303157: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.14,1900-01-01 22:50:09.704303157,1.442
22:50:09.704831086,tx_func,,,22:50:09.704831086: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.14,1900-01-01 22:50:09.704831086,2.114
22:50:09.705761259,tx_func,,,22:50:09.705761259: LEGACY_NR_PHY_DEBUG log 327.15 running tx_func,1900-01-01 22:50:09.705761259,2.6860000000000004
22:50:09.705768042,Calling scheduler,,,22:50:09.705768042: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.15,1900-01-01 22:50:09.705768042,2.9170000000000003
22:50:09.706303618,tx_func,,,22:50:09.706303618: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.15,1900-01-01 22:50:09.706303618,3.511
22:50:09.706950194,tx_func,,,22:50:09.706950194: LEGACY_NR_PHY_DEBUG log 327.16 running tx_func,1900-01-01 22:50:09.706950194,2.7039999999999997
22:50:09.706957749,Calling scheduler,,,22:50:09.706957749: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.16,1900-01-01 22:50:09.706957749,1.8139999999999998
22:50:09.707559721,tx_func,,,22:50:09.707559721: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.16,1900-01-01 22:50:09.707559721,31.528
22:50:09.708135184,tx_func,,,22:50:09.708135184: LEGACY_NR_PHY_DEBUG log 327.17 running tx_func,1900-01-01 22:50:09.708135184,2.571
22:50:09.708142529,Calling scheduler,,,22:50:09.708142529: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.17,1900-01-01 22:50:09.708142529,3.296
