[UE 10 | RB 1] Throughput = 0.23893 Mbps
[UE 1 | RB 1] Throughput = 0.17205 Mbps
[UE 7 | RB 1] Throughput = 0.17205 Mbps
[UE 8 | RB 1] Throughput = 0.17205 Mbps
[UE 9 | RB 1] Throughput = 0.22940 Mbps
[UE 10 | RB 1] Throughput = 0.22940 Mbps
[UE 1 | RB 1] Throughput = 0.17972 Mbps
[UE 7 | RB 1] Throughput = 0.41934 Mbps
[UE 8 | RB 1] Throughput = 0.23962 Mbps
[UE 9 | RB 1] Throughput = 0.23962 Mbps
[UE 10 | RB 1] Throughput = 0.17972 Mbps
[UE 1 | RB 1] Throughput = 0.17974 Mbps
[UE 7 | RB 1] Throughput = 0.23965 Mbps
[UE 8 | RB 1] Throughput = 0.17974 Mbps
[UE 9 | RB 1] Throughput = 0.17974 Mbps
[UE 10 | RB 1] Throughput = 0.23965 Mbps
[UE 1 | RB 1] Throughput = 0.29902 Mbps
[UE 7 | RB 1] Throughput = 0.17941 Mbps
[UE 8 | RB 1] Throughput = 0.23922 Mbps
[UE 9 | RB 1] Throughput = 0.23922 Mbps
[UE 10 | RB 1] Throughput = 0.11961 Mbps
[UE 1 | RB 1] Throughput = 0.28595 Mbps
[UE 7 | RB 1] Throughput = 0.28595 Mbps
[UE 8 | RB 1] Throughput = 0.22876 Mbps
[UE 9 | RB 1] Throughput = 0.28595 Mbps
[UE 10 | RB 1] Throughput = 0.22876 Mbps
[UE 1 | RB 1] Throughput = 0.17970 Mbps
[UE 7 | RB 1] Throughput = 0.23960 Mbps
[UE 8 | RB 1] Throughput = 0.35941 Mbps
[UE 9 | RB 1] Throughput = 0.29951 Mbps
[UE 10 | RB 1] Throughput = 0.29951 Mbps
[UE 1 | RB 1] Throughput = 0.34177 Mbps
[UE 7 | RB 1] Throughput = 0.45569 Mbps
[UE 8 | RB 1] Throughput = 0.22784 Mbps
[UE 9 | RB 1] Throughput = 0.28480 Mbps
[UE 10 | RB 1] Throughput = 0.17088 Mbps
[UE 1 | RB 1] Throughput = 0.28618 Mbps
[UE 7 | RB 1] Throughput = 0.28618 Mbps
[UE 8 | RB 1] Throughput = 0.22895 Mbps
[UE 9 | RB 1] Throughput = 0.22895 Mbps
[UE 10 | RB 1] Throughput = 0.28618 Mbps
[UE 1 | RB 1] Throughput = 0.35591 Mbps
[UE 7 | RB 1] Throughput = 0.17796 Mbps
[UE 8 | RB 1] Throughput = 0.29660 Mbps
[UE 9 | RB 1] Throughput = 0.29660 Mbps
[UE 10 | RB 1] Throughput = 0.29660 Mbps
[UE 1 | RB 1] Throughput = 0.17264 Mbps
[UE 7 | RB 1] Throughput = 0.28774 Mbps
[UE 8 | RB 1] Throughput = 0.34528 Mbps
[UE 9 | RB 1] Throughput = 0.28774 Mbps
[UE 10 | RB 1] Throughput = 0.28774 Mbps
[UE 2 | RB 1] Throughput = 0.04753 Mbps
[UE 4 | RB 1] Throughput = 0.05050 Mbps
[UE 6 | RB 1] Throughput = 0.05347 Mbps
[UE 3 | RB 1] Throughput = 0.05050 Mbps
[UE 5 | RB 1] Throughput = 0.04753 Mbps
[UE 1 | RB 1] Throughput = 0.29910 Mbps
[UE 7 | RB 1] Throughput = 0.23928 Mbps
[UE 8 | RB 1] Throughput = 0.29910 Mbps
[UE 9 | RB 1] Throughput = 0.29910 Mbps
