Time_ms,UE_ID,Mean_SNR_dB,Mean_UL_SE_bit_per_s_Hz
0,0,4427188.724235732,20.97406178131917
1000,0,4427188.724235732,20.97406178131917
2000,0,4427188.724235732,20.97406178131917
3000,0,4427188.724235732,20.97406178131917
4000,0,4427188.724235732,20.97406178131917
5000,0,4427188.724235732,20.97406178131917
6000,0,4427188.724235732,20.97406178131917
7000,0,3794733.192202056,20.762789032645866
7100,0,632455.5320336758,18.307076462830846
8000,0,3478505.4261852177,20.64353472750022
8100,0,948683.2980505137,18.8627901161682
9000,0,2213594.362117865,20.02406209089708
9100,0,2213594.362117865,20.02406209089708
10000,0,1897366.5961010274,19.812789393820072
10100,0,2529822.1281347033,20.207074837547882
11000,0,1264911.0640673516,19.257075379309082
11100,0,3162277.6601683795,20.51290641933861
12000,0,316227.7660168379,17.357078629871797
12100,0,4110960.958218894,20.87249236141217
13000,0,316227.7660168379,17.357078629871797
13100,0,4110960.958218894,20.87249236141217
14100,0,4427188.724235732,20.97406178131917
15100,0,4427188.724235732,20.97406178131917
16100,0,4427188.724235732,20.97406178131917
17100,0,4427188.724235732,20.97406178131917
18100,0,4427188.724235732,20.97406178131917
19100,0,4427188.724235732,20.97406178131917
20100,0,4427188.724235732,20.97406178131917
21100,0,4110960.958218894,20.87249236141217
21200,0,316227.7660168379,17.357078629871797
22100,0,3794733.192202056,20.762789032645866
22200,0,632455.5320336758,18.307076462830846
23100,0,3478505.4261852177,20.64353472750022
23200,0,948683.2980505137,18.8627901161682
24100,0,2213594.362117865,20.02406209089708
24200,0,2213594.362117865,20.02406209089708
25100,0,1264911.0640673516,19.257075379309082
25200,0,3162277.6601683795,20.51290641933861
26100,0,632455.5320336758,18.307076462830846
26200,0,3794733.192202056,20.762789032645866
27100,0,632455.5320336758,18.307076462830846
27200,0,3794733.192202056,20.762789032645866
28100,0,632455.5320336758,18.307076462830846
28200,0,3794733.192202056,20.762789032645866
29100,0,632455.5320336758,18.307076462830846
29200,0,3794733.192202056,20.762789032645866
30100,0,632455.5320336758,18.307076462830846
30200,0,3794733.192202056,20.762789032645866
31200,0,4427188.724235732,20.97406178131917
32200,0,4427188.724235732,20.97406178131917
33200,0,4427188.724235732,20.97406178131917
34200,0,4427188.724235732,20.97406178131917
35200,0,4427188.724235732,20.97406178131917
36200,0,4427188.724235732,20.97406178131917
37200,0,4427188.724235732,20.97406178131917
38200,0,4427188.724235732,20.97406178131917
39200,0,4110960.958218894,20.87249236141217
39300,0,316227.7660168379,17.357078629871797
40200,0,2213594.362117865,20.02406209089708
40300,0,2213594.362117865,20.02406209089708
41200,0,1264911.0640673516,19.257075379309082
41300,0,3162277.6601683795,20.51290641933861
42200,0,1264911.0640673516,19.257075379309082
42300,0,3162277.6601683795,20.51290641933861
43200,0,1264911.0640673516,19.257075379309082
43300,0,3162277.6601683795,20.51290641933861
44200,0,1264911.0640673516,19.257075379309082
44300,0,3162277.6601683795,20.51290641933861
45200,0,948683.2980505137,18.8627901161682
45300,0,3478505.4261852177,20.64353472750022
46200,0,632455.5320336758,18.307076462830846
46300,0,3794733.192202056,20.762789032645866
47200,0,316227.7660168379,17.357078629871797
47300,0,4110960.958218894,20.87249236141217
48300,0,4427188.724235732,20.97406178131917
49300,0,4427188.724235732,20.97406178131917
50300,0,4427188.724235732,20.97406178131917
51300,0,4110960.958218894,20.87249236141217
51400,0,316227.7660168379,17.357078629871797
52300,0,4110960.958218894,20.87249236141217
52400,0,316227.7660168379,17.357078629871797
53300,0,3478505.4261852177,20.64353472750022
53400,0,632455.5320336758,18.307076462830846
54300,0,3478505.4261852177,20.64353472750022
54400,0,632455.5320336758,18.307076462830846
55300,0,3162277.6601683795,20.51290641933861
55400,0,948683.2980505137,18.8627901161682
56300,0,3162277.6601683795,20.51290641933861
56400,0,948683.2980505137,18.8627901161682
57300,0,2529822.1281347033,20.207074837547882
57400,0,1581138.8300841895,19.562906852747624
58300,0,1264911.0640673516,19.257075379309082
58400,0,2846049.8941515414,20.36850352872238
59300,0,1264911.0640673516,19.257075379309082
59400,0,2846049.8941515414,20.36850352872238
60300,0,632455.5320336758,18.307076462830846
60400,0,3478505.4261852177,20.64353472750022
61300,0,316227.7660168379,17.357078629871797
61400,0,3794733.192202056,20.762789032645866
62300,0,316227.7660168379,17.357078629871797
62400,0,3794733.192202056,20.762789032645866
63300,0,316227.7660168379,17.357078629871797
63400,0,3794733.192202056,20.762789032645866
64300,0,316227.7660168379,17.357078629871797
64400,0,3794733.192202056,20.762789032645866
65300,0,316227.7660168379,17.357078629871797
65400,0,3794733.192202056,20.762789032645866
66300,0,316227.7660168379,17.357078629871797
66400,0,3794733.192202056,20.762789032645866
67300,0,316227.7660168379,17.357078629871797
67400,0,3794733.192202056,20.762789032645866
68300,0,316227.7660168379,17.357078629871797
68400,0,3478505.4261852177,20.64353472750022
68500,0,316227.7660168379,17.357078629871797
69400,0,3794733.192202056,20.762789032645866
69500,0,316227.7660168379,17.357078629871797
70400,0,3794733.192202056,20.762789032645866
70500,0,316227.7660168379,17.357078629871797
71400,0,3794733.192202056,20.762789032645866
71500,0,316227.7660168379,17.357078629871797
72400,0,3478505.4261852177,20.64353472750022
72500,0,632455.5320336758,18.307076462830846
73400,0,3478505.4261852177,20.64353472750022
73500,0,632455.5320336758,18.307076462830846
74400,0,1897366.5961010274,19.812789393820072
74500,0,2213594.362117865,20.02406209089708
75400,0,1581138.8300841895,19.562906852747624
75500,0,2529822.1281347033,20.207074837547882
76400,0,948683.2980505137,18.8627901161682
76500,0,3162277.6601683795,20.51290641933861
77400,0,632455.5320336758,18.307076462830846
77500,0,3478505.4261852177,20.64353472750022
78400,0,632455.5320336758,18.307076462830846
78500,0,3478505.4261852177,20.64353472750022
79400,0,632455.5320336758,18.307076462830846
79500,0,3478505.4261852177,20.64353472750022
80400,0,632455.5320336758,18.307076462830846
80500,0,3478505.4261852177,20.64353472750022
81400,0,632455.5320336758,18.307076462830846
81500,0,3478505.4261852177,20.64353472750022
82400,0,632455.5320336758,18.307076462830846
82500,0,3478505.4261852177,20.64353472750022
83400,0,316227.7660168379,17.357078629871797
83500,0,3794733.192202056,20.762789032645866
84400,0,316227.7660168379,17.357078629871797
84500,0,3794733.192202056,20.762789032645866
85400,0,316227.7660168379,17.357078629871797
85500,0,3794733.192202056,20.762789032645866
86400,0,316227.7660168379,17.357078629871797
86500,0,3794733.192202056,20.762789032645866
87400,0,316227.7660168379,17.357078629871797
