Time_ms,UE_ID,Mean_SE,Std_SE,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
0,1382,55.592465753424655,3.7655440714445922,18.1906301369863,1.2320809591273287
0,2609,57.28767123287671,2.128489521442582,18.744876712328768,0.6966059677827178
0,5794,63.5,0.0,20.778,0.0
0,16233,60.34931506849315,1.641456316195552,19.74693835616438,0.537166579474993
0,17950,57.013698630136986,2.401827756234575,18.655424657534248,0.7859120231154819
0,32893,61.875,1.2899310662545616,20.24610714285714,0.42211906308733166
0,33135,53.23511904761905,2.859444690466767,17.41947619047619,0.9355763086834931
0,38070,62.32440476190476,2.8216124201523543,20.39330357142857,0.9233327538641878
0,64248,55.76190476190476,4.80548351357682,18.246154761904762,1.5722971294671004
0,65104,53.8458904109589,4.427798187350843,17.618979452054795,1.448866831743549
100,1382,55.68512110726643,3.7697839335193977,18.220951557093425,1.23346996895417
100,2609,57.306228373702425,2.1316471110382427,18.75095847750865,0.6976375001411771
100,5794,63.5,0.0,20.778,0.0
100,16233,60.31660899653979,1.615119832173423,19.736235294117648,0.5285479650787505
100,17950,56.99307958477509,2.4209632489304878,18.64870242214533,0.7921640902377318
100,32893,61.86281588447653,1.2878853069294425,20.242119133574008,0.4214484558912998
100,33135,53.20216606498195,2.803775082179907,17.408693140794224,0.9173626677557315
100,38070,62.23285198555957,2.9731473630657974,20.3633357400722,0.9729440266013135
100,64248,55.731046931407946,4.7826729066336355,18.23605776173285,1.5648337841489144
100,65104,53.846020761245676,4.4481573603398115,17.619006920415224,1.455536625443515
200,1382,55.724137931034484,3.765593201720013,18.233724137931034,1.2321020072066882
200,2609,57.310344827586206,2.1266711039765216,18.752310344827585,0.6960080490848395
200,5794,63.5,0.0,20.778,0.0
200,16233,60.327586206896555,1.6231236815542578,19.739827586206896,0.5311672247886291
200,17950,57.0,2.4110472390493243,18.650965517241378,0.7889219784491915
200,32893,61.889802631578945,1.2402203415404112,20.250950657894737,0.40585210144877476
200,33135,53.213815789473685,2.8103427399143794,17.41250986842105,0.9195093826888273
200,38070,61.94078947368421,3.2283471184568393,20.26775657894737,1.056463969460603
200,64248,55.86513157894737,4.80630443884566,18.279904605263155,1.572576742589009
200,65104,53.8448275862069,4.439332395248108,17.61862068965517,1.4526467530648446
300,1382,55.63103448275862,3.7823669790495957,18.20327931034483,1.2375943351214806
300,2609,57.310344827586206,2.1266711039765216,18.752310344827585,0.6960080490848395
300,5794,63.5,0.0,20.778,0.0
300,16233,60.203448275862065,1.5254434396682077,19.699203448275863,0.49920136563142015
