Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
0,39736,63.5,0.0,20.778,0.0
100,39736,63.5,0.0,20.778,0.0
200,39736,63.5,0.0,20.778,0.0
300,39736,63.5,0.0,20.778,0.0
400,39736,63.5,0.0,20.778,0.0
500,39736,63.5,0.0,20.778,0.0
600,39736,63.5,0.0,20.778,0.0
700,39736,63.5,0.0,20.778,0.0
800,39736,63.5,0.0,20.778,0.0
900,39736,63.5,0.0,20.778,0.0
1000,39736,63.5,0.0,20.778,0.0
1100,39736,63.5,0.0,20.778,0.0
1200,39736,63.5,0.0,20.778,0.0
1300,39736,63.5,0.0,20.778,0.0
1400,39736,63.5,0.0,20.778,0.0
1500,39736,63.5,0.0,20.778,0.0
1600,39736,63.5,0.0,20.778,0.0
1700,39736,63.5,0.0,20.778,0.0
1800,39736,63.5,0.0,20.778,0.0
1900,39736,63.5,0.0,20.778,0.0
2000,39736,63.5,0.0,20.778,0.0
2100,39736,63.5,0.0,20.778,0.0
2200,39736,63.5,0.0,20.778,0.0
2300,39736,63.5,0.0,20.778,0.0
2400,39736,63.5,0.0,20.778,0.0
2500,39736,63.5,0.0,20.778,0.0
2600,39736,63.5,0.0,20.778,0.0
2700,39736,63.5,0.0,20.778,0.0
2800,39736,63.5,0.0,20.778,0.0
3000,39736,63.5,0.0,20.778,0.0
3100,39736,63.5,0.0,20.778,0.0
3200,39736,63.5,0.0,20.778,0.0
3300,39736,63.5,0.0,20.778,0.0
3400,39736,63.5,0.0,20.778,0.0
3500,39736,63.5,0.0,20.778,0.0
3600,39736,63.5,0.0,20.778,0.0
3700,39736,63.5,0.0,20.778,0.0
3800,39736,63.5,0.0,20.778,0.0
3900,39736,63.5,0.0,20.778,0.0
4000,39736,63.5,0.0,20.778,0.0
4100,39736,63.5,0.0,20.778,0.0
4200,39736,63.5,0.0,20.778,0.0
4300,39736,63.5,0.0,20.778,0.0
4400,39736,63.5,0.0,20.778,0.0
4500,39736,63.5,0.0,20.778,0.0
4600,39736,63.5,0.0,20.778,0.0
4700,39736,63.5,0.0,20.778,0.0
4900,39736,63.5,0.0,20.778,0.0
5000,39736,63.5,0.0,20.778,0.0
5100,39736,63.5,0.0,20.778,0.0
5200,39736,63.5,0.0,20.778,0.0
5300,39736,63.5,0.0,20.778,0.0
5400,39736,63.5,0.0,20.778,0.0
5500,39736,63.5,0.0,20.778,0.0
5600,39736,63.5,0.0,20.778,0.0
5700,39736,63.5,0.0,20.778,0.0
5800,39736,63.5,0.0,20.778,0.0
5900,39736,63.5,0.0,20.778,0.0
6000,39736,63.5,0.0,20.778,0.0
6100,39736,63.5,0.0,20.778,0.0
6200,39736,63.5,0.0,20.778,0.0
6300,39736,63.5,0.0,20.778,0.0
6400,39736,63.5,0.0,20.778,0.0
6500,39736,63.5,0.0,20.778,0.0
6600,39736,63.5,0.0,20.778,0.0
6700,39736,63.5,0.0,20.778,0.0
6800,39736,63.5,0.0,20.778,0.0
6900,39736,63.5,0.0,20.778,0.0
7000,39736,63.5,0.0,20.778,0.0
7100,39736,63.5,0.0,20.778,0.0
