Time_s,Stream_ID,Mean_Kbps,Std_Kbps,Mean_Latency_ms,Std_Latency_ms
0,1,388.0,313.8290405087883,31.6225,10.813647226229145
0,2,397.25,299.0845755523566,31.69975,11.378462590203764
0,3,423.5,326.2029020921386,29.631749999999997,9.202517096787522
0,4,399.75,300.18147289042787,33.3905,10.593054595661568
0,5,423.5,312.50013333330486,31.225749999999998,10.793907336239888
0,6,394.25,294.98742911068825,31.7575,11.754211883405878
0,7,506.0,336.0714209807195,29.241,11.99483768126939
0,8,525.3333333333334,302.5910331343831,27.89533333333333,10.101857716941637
0,9,432.25,303.20111587305655,31.594749999999998,11.121001614812702
0,10,525.3333333333334,292.13923620995064,28.183666666666667,11.280183390944199
0,11,671.6666666666666,49.812983581927035,23.328333333333333,5.012113759017579
0,67,647.0,,21.228,
0,77,635.0,,20.761,
0,81,670.0,,21.633,
0,82,623.0,,21.381,
0,84,647.0,,21.104,
0,85,637.5,13.435028842544403,22.0585,0.3641599923110724
1,1,382.25,308.249222761929,44.035,25.430534939975864
1,2,408.75,329.6881101890088,43.781,25.68461886032183
1,3,376.5,265.45621107821154,40.10725,20.86889074475849
1,4,385.25,296.88311392420644,42.627,23.40090264640804
1,5,400.0,251.9589913722734,38.291,19.054287653963872
1,6,405.75,332.9748489000333,43.839749999999995,25.656014231559816
1,7,361.775,302.39885774696086,47.14175,25.013066017250534
1,8,391.0,254.82412235369975,39.00725,19.176375176676814
1,9,373.5,276.0320029755004,41.667,23.181950349355855
1,10,408.75,289.8808663342006,41.218,21.93560036409611
1,11,694.0,0.0,21.529,0.7665037508062198
1,67,706.0,,21.48,
1,77,694.0,,22.359,
1,81,694.0,,21.649,
1,82,706.0,,21.754,
1,84,694.0,,21.983,
1,85,517.0,,24.942,
2,1,382.275,308.6719442493384,52.26,34.82383049962578
2,2,367.325,286.9167518636721,49.679,31.46189064037103
2,3,370.5,272.0202198366879,45.75575,26.4837883414867
2,4,391.0,310.56829629997117,46.765249999999995,29.441140550540272
2,5,429.25,305.8511348134361,40.4,21.762376202979308
2,6,355.775,297.4336942916858,51.8345,33.82635321264571
2,7,358.825,286.45928593781,53.08025,34.99878783019969
2,8,429.0,267.2738919784971,38.866749999999996,20.108690283473628
2,9,385.275,304.5130032801008,49.93925,30.037829985703034
2,10,367.25,223.42094052856072,41.66825,21.092210527032645
2,11,694.0,0.0,22.3305,0.7686250711497757
2,67,600.0,,21.865,
2,77,706.0,,22.556,
2,81,694.0,,22.214,
2,82,600.0,,22.173,
2,84,600.0,,21.622,
2,85,694.0,,21.984,
3,1,397.025,342.95160372857276,56.09675,39.24088159369002
3,2,391.0,271.3632252166826,49.86575,34.51975696491311
3,3,364.75,278.98073410183724,52.56,33.011641734394246
3,4,402.75,292.8154993620841,49.827,31.610860528200323
3,5,400.0,252.70404296990054,39.6365,21.95087139500389
3,6,361.75,295.3488050875891,58.27175,40.40397180455572
3,7,359.0,285.29516878722876,56.1935,36.15452683966422
3,8,420.25,250.0218323800277,38.86575,17.574456926175557
3,9,429.25,303.4242079992959,47.996,33.96568466359344
3,10,420.25,234.5511671256402,39.5095,17.23178529152836
3,11,611.5,16.263455967290593,23.466,2.008183258569796
3,67,694.0,,21.873,
3,77,694.0,,22.508,
3,81,623.0,,22.833,
3,82,694.0,,22.833,
3,84,694.0,,22.325,
3,85,635.0,,24.14,
4,1,385.25,323.3484962080387,59.613249999999994,42.76318808956289
4,2,411.75,278.46768214642077,47.057,33.070663273259775
4,3,379.525,265.9485586224023,49.841,34.96368190947096
4,4,355.775,252.0425939532179,51.577,32.8072897895168
4,5,470.25,252.63461758041,35.69625,15.512684710154675
4,6,376.525,314.8176760708755,57.823750000000004,41.21702890291019
4,7,356.0,288.71670082164167,57.86775,41.20466296731476
4,8,426.25,207.70391586743534,36.13525,14.414786999813769
4,9,411.75,285.47548055831345,47.738,33.89377008635461
4,10,417.5,210.96050183229403,36.5215,17.83230963728479
4,11,700.0,8.48528137423857,22.326,1.3590592334405436
4,67,694.0,,22.656,
4,77,694.0,,21.18,
4,81,694.0,,22.26,
4,82,694.0,,22.932,
4,84,694.0,,21.75,
4,85,600.0,,22.016,
5,1,376.525,314.8176760708755,60.8495,44.36543975138005
5,2,408.75,282.7193838419998,47.948750000000004,35.91414064473769
5,3,391.0,271.3632252166826,51.45125,36.27741611870944
5,4,394.025,295.99775196218417,51.6575,37.3695969873907
5,5,432.25,252.0772037822275,35.19025,15.633365779106347
5,6,373.525,318.1420581543199,60.80375,44.62675084427127
5,7,358.775,298.82314027977594,62.48925,43.587375239282295
5,8,420.25,234.5511671256402,37.68125,17.84294699827731
