Time_ms,Now_us,Latency_us
0,1755823041837289,71953947
1026,1755823042863836,71953486
2065,1755823043902793,71953507
3101,1755823044938278,71953795
4132,1755823045969597,71953303
5165,1755823047002761,71953410
6221,1755823048059170,71953833
7276,1755823049113840,71953546
8326,1755823050163992,71953594
9396,1755823051233259,71953798
10455,1755823052292736,71954051
11530,1755823053367862,71953443
12607,1755823054444978,71953643
13678,1755823055515212,71953908
14730,1755823056568021,71953657
15787,1755823057625047,71953740
16847,1755823058685015,71953708
17875,1755823059712212,71953827
18903,1755823060741151,71953797
19927,1755823061765028,71953699
20954,1755823062791223,71954704
21980,1755823063817513,71953999
23008,1755823064845228,71953918
24045,1755823065882780,71954474
25097,1755823066934645,71954202
26149,1755823067987181,71953878
27197,1755823069034623,71954318
28252,1755823070089843,71954506
29313,1755823071150689,71954171
30362,1755823072199525,71954079
31404,1755823073241455,71954025
32447,1755823074285169,71953846
33496,1755823075333658,71954358
34547,1755823076384720,71955415
35637,1755823077474194,71954612
36716,1755823078553528,71954210
37772,1755823079609885,71954301
38827,1755823080665170,71953865
39886,1755823081723407,71954020
40949,1755823082786530,71955226
41982,1755823083819301,71954010
43010,1755823084847283,71953935
44034,1755823085871458,71954124
45058,1755823086895506,71954149
46088,1755823087925342,71955014
47118,1755823088955287,71953990
48147,1755823089984619,71954268
49186,1755823091023537,71955021
50289,1755823092126285,71953934
51381,1755823093218597,71954237
52408,1755823094245800,71954450
53463,1755823095300731,71954283
54488,1755823096325762,71955341
55514,1755823097352049,71954704
56555,1755823098392706,71954372
57602,1755823099439907,71954525
58645,1755823100482881,71955520
59701,1755823101538656,71955333
60747,1755823102585062,71954532
61808,1755823103645552,71954229
62863,1755823104700721,71954351
63901,1755823105738783,71954444
64973,1755823106810692,71954349
66028,1755823107865782,71954427
67090,1755823108927546,71954960
68119,1755823109956619,71954219
69153,1755823110991013,71954635
70187,1755823112024489,71956192
71219,1755823113057065,71954742
72284,1755823114121731,71954389
73332,1755823115169708,71955145
74364,1755823116201590,71954244
75398,1755823117236015,71954703
76451,1755823118288861,71954560
77562,1755823119400102,71954759
78613,1755823120450771,71955413
79640,1755823121477517,71955091
80664,1755823122501854,71954474
81706,1755823123543337,71954986
82803,1755823124641109,71954736
83836,1755823125673936,71954604
84926,1755823126763939,71954586
85988,1755823127826150,71954783
87064,1755823128901196,71954855
88141,1755823129978199,71954903
89202,1755823131040124,71955771
