Time_ms,Now_us,Latency_us
0,1755785148816281,71471399
1027,1755785149843668,71469783
2053,1755785150869230,71471217
3080,1755785151896750,71469894
4123,1755785152939163,71470261
5164,1755785153980868,71469955
6237,1755785155053885,71469981
7303,1755785156119722,71469788
8370,1755785157186609,71469740
9434,1755785158250616,71469763
10465,1755785159281629,71469769
11493,1755785160309805,71469945
12517,1755785161333598,71469731
13573,1755785162389937,71469992
14616,1755785163432791,71469947
15709,1755785164525860,71469950
16793,1755785165609075,71470147
17862,1755785166678807,71469922
18935,1755785167751748,71469907
19974,1755785168790736,71469883
21002,1755785169818938,71470069
22033,1755785170849155,71471228
23057,1755785171873722,71472848
24085,1755785172901052,71470206
25120,1755785173936648,71472790
26150,1755785174966926,71471071
27175,1755785175991742,71469896
28208,1755785177024810,71469921
29242,1755785178058019,71470124
30271,1755785179087551,71470587
31295,1755785180111918,71470070
32324,1755785181140543,71471551
33356,1755785182172767,71469916
34381,1755785183197509,71470532
35408,1755785184224024,71470098
36441,1755785185257791,71469945
37480,1755785186296596,71470502
38525,1755785187341357,71471438
39560,1755785188376174,71470297
40603,1755785189419269,71470350
41639,1755785190455651,71470802
42686,1755785191502210,71470316
43725,1755785192541135,71470213
44766,1755785193582206,71470306
45828,1755785194644438,71470544
46886,1755785195702036,71471114
47925,1755785196741663,71470811
48951,1755785197767481,71470565
49989,1755785198805215,71470345
51034,1755785199850367,71470478
52062,1755785200878355,71470499
53088,1755785201904723,71471751
54111,1755785202927087,71470232
55137,1755785203953344,71470462
56196,1755785205012233,71470377
57260,1755785206076935,71471343
58295,1755785207111453,71470592
59322,1755785208138005,71470165
60364,1755785209180245,71470290
61395,1755785210211881,71470454
62423,1755785211239192,71470336
63449,1755785212265249,71470393
64478,1755785213294293,71470453
65504,1755785214320243,71471340
66536,1755785215352097,71470209
67562,1755785216378207,71470328
68586,1755785217402376,71470458
69611,1755785218427257,71470407
70637,1755785219453291,71470451
71672,1755785220488565,71470660
72697,1755785221513507,71470636
73723,1755785222539721,71470839
74770,1755785223586341,71470464
75795,1755785224611786,71470865
76853,1755785225669567,71471003
77931,1755785226747623,71470748
78990,1755785227806324,71471238
80032,1755785228847999,71470910
81109,1755785229925496,71470650
82156,1755785230972622,71470627
83208,1755785232024875,71473971
84256,1755785233072258,71471352
85302,1755785234118365,71471404
86349,1755785235165506,71471522
87401,1755785236217518,71470626
88445,1755785237261534,71470680
89482,1755785238298774,71470900
