Time (ms),Throughput (Mbps),UE,Scenario,Num_UEs,Repetition
190,1.13649,17,cb,10,1
190,1.25612,19,cb,10,1
190,0.53834,21,cb,10,1
200,0.8572,6,cb,10,1
200,0.74291,3,cb,10,1
200,0.51432,8,cb,10,1
200,1.08579,10,cb,10,1
200,0.91435,13,cb,10,1
200,1.37152,14,cb,10,1
200,1.48581,16,cb,10,1
200,1.25723,17,cb,10,1
200,1.14293,19,cb,10,1
200,0.74291,21,cb,10,1
210,0.65804,6,cb,10,1
210,0.89732,3,cb,10,1
210,0.53839,8,cb,10,1
210,1.01697,10,cb,10,1
210,0.59822,13,cb,10,1
210,0.89732,14,cb,10,1
210,1.85447,16,cb,10,1
210,0.8375,17,cb,10,1
210,0.77768,19,cb,10,1
210,0.53839,21,cb,10,1
220,0.85397,6,cb,10,1
220,0.85397,3,cb,10,1
220,0.74011,8,cb,10,1
220,1.02477,10,cb,10,1
220,0.56932,13,cb,10,1
220,1.42329,14,cb,10,1
220,1.48022,16,cb,10,1
220,1.2525,17,cb,10,1
220,1.53715,19,cb,10,1
220,0.74011,21,cb,10,1
230,0.85842,6,cb,10,1
230,0.85842,3,cb,10,1
230,0.51505,8,cb,10,1
230,0.97287,10,cb,10,1
230,0.74396,13,cb,10,1
230,0.0,14,cb,10,1
230,1.48792,16,cb,10,1
230,0.51505,17,cb,10,1
230,0.80119,19,cb,10,1
230,0.68673,21,cb,10,1
240,0.57067,6,cb,10,1
240,0.57067,3,cb,10,1
240,0.85601,8,cb,10,1
240,1.19841,10,cb,10,1
240,0.74187,13,cb,10,1
240,1.94029,14,cb,10,1
240,1.19841,16,cb,10,1
240,1.31255,17,cb,10,1
240,1.08428,19,cb,10,1
240,0.57067,21,cb,10,1
250,0.94737,6,cb,10,1
250,0.94737,3,cb,10,1
250,0.88816,8,cb,10,1
250,0.88816,10,cb,10,1
250,0.88816,13,cb,10,1
250,0.88816,14,cb,10,1
250,1.36185,16,cb,10,1
250,1.24342,17,cb,10,1
250,1.24342,19,cb,10,1
250,0.88816,21,cb,10,1
260,0.5194,6,cb,10,1
260,0.57711,3,cb,10,1
260,0.86567,8,cb,10,1
260,1.38507,10,cb,10,1
260,0.57711,13,cb,10,1
260,1.21193,14,cb,10,1
260,1.38507,16,cb,10,1
260,0.86567,17,cb,10,1
260,0.98109,19,cb,10,1
260,0.92338,21,cb,10,1
270,0.6278,6,cb,10,1
270,0.74194,3,cb,10,1
270,0.91316,8,cb,10,1
270,0.91316,10,cb,10,1
270,0.74194,13,cb,10,1
270,0.85609,14,cb,10,1
270,0.79901,16,cb,10,1
270,1.36974,17,cb,10,1
270,1.14145,19,cb,10,1
270,0.57072,21,cb,10,1
280,0.68435,6,cb,10,1
280,0.57029,3,cb,10,1
280,0.68435,8,cb,10,1
280,0.96949,10,cb,10,1
280,0.68435,13,cb,10,1
280,1.19761,14,cb,10,1
280,1.02652,16,cb,10,1
280,0.7984,17,cb,10,1
280,1.19761,19,cb,10,1
280,0.57029,21,cb,10,1
290,0.71812,6,cb,10,1
290,0.77797,3,cb,10,1
290,0.77797,8,cb,10,1
290,1.37641,10,cb,10,1
290,0.9575,13,cb,10,1
290,0.65828,14,cb,10,1
290,1.19687,16,cb,10,1
290,0.89766,17,cb,10,1
290,1.13703,19,cb,10,1
290,0.59844,21,cb,10,1
300,0.91518,6,cb,10,1
300,0.74358,3,cb,10,1
300,0.91518,8,cb,10,1
300,1.08678,10,cb,10,1
300,0.68639,13,cb,10,1
300,1.25837,14,cb,10,1
300,1.08678,16,cb,10,1
300,1.42997,17,cb,10,1
300,0.40039,19,cb,10,1
300,0.62919,21,cb,10,1
310,0.71855,6,cb,10,1
310,0.95807,3,cb,10,1
310,1.31735,8,cb,10,1
310,0.95807,10,cb,10,1
310,0.65868,13,cb,10,1
310,0.89819,14,cb,10,1
310,1.13771,16,cb,10,1
310,1.07783,17,cb,10,1
310,1.43711,19,cb,10,1
310,0.95807,21,cb,10,1
320,0.65854,6,cb,10,1
320,0.71841,3,cb,10,1
320,1.01774,8,cb,10,1
320,1.25721,10,cb,10,1
320,1.07761,13,cb,10,1
