Time_ms,UE_ID,Mean_Throughput,Std_Throughput,Mean_SE,Std_SE
0,1,1.08133,0.4151531780043877,0.02833655172413793,0.010880069024158043
0,2,1.2697810344827587,0.5195048359003904,0.03327586206896552,0.01361430091517251
0,3,0.9219779310344827,0.5705997213357396,0.024161034482758623,0.014952682832576421
0,5,0.9143255172413792,0.5495032528474253,0.023959310344827588,0.014399727906912114
0,6,0.9759348275862069,0.6677500669766276,0.025575172413793104,0.017499235212000728
100,1,0.9909234482758621,0.37001445268371286,0.02596689655172414,0.009696754649825697
100,2,0.9192493103448276,0.5045582859147411,0.02408896551724138,0.013222231642423728
100,3,1.06711,0.5365559385163329,0.027963793103448275,0.014060961258999813
100,5,1.0185248275862069,0.5859165721367109,0.02669,0.015353367010901177
100,6,1.1394489655172415,0.47824047068651887,0.02985896551724138,0.012531990021206751
200,1,0.9445765517241379,0.4864798146691616,0.024753103448275863,0.012748297114138217
200,2,1.1455493103448278,0.44592127859018726,0.030019310344827587,0.011686354964852472
200,3,1.1375937931034483,0.5989923874451506,0.029811034482758618,0.015696631655237284
200,5,1.159898620689655,0.6732087299945587,0.030395172413793105,0.017641281258273092
200,6,1.0557234482758622,0.40899076930970196,0.027664827586206895,0.010718138371367635
300,1,1.129146551724138,0.4586034719845198,0.029588620689655173,0.012018311838945105
300,2,1.1248993103448277,0.4252779899323923,0.029478275862068967,0.011144250301313458
300,3,0.9674055172413794,0.4858180602976079,0.025351034482758623,0.012731360421311618
300,5,0.9668024137931034,0.4854070295833853,0.02533655172413793,0.01272063825775771
300,6,1.0429896551724138,0.6229868446070496,0.027331724137931033,0.016326170942246927
400,1,1.0523255172413792,0.5672881824055956,0.02757689655172414,0.014865828289702404
400,2,1.0241555172413794,0.44243940463708226,0.026838275862068963,0.011593789306892324
400,3,0.991011724137931,0.559214679745936,0.02597,0.0146547264438084
400,5,0.9322506896551724,0.4352498906533959,0.02443,0.011405557542581726
400,6,1.012984827586207,0.5321904306571145,0.026545517241379313,0.01394633658661629
500,1,1.0356707407407408,0.5233622005171938,0.02713962962962963,0.01371504100823435
500,2,1.0613177777777778,0.40038946110518764,0.027812962962962963,0.010491546345956098
500,3,0.9780434482758621,0.6303207456654557,0.025630689655172414,0.016518798151334498
500,5,1.1476475862068964,0.4785628186310637,0.030074827586206897,0.012541288843738067
500,6,1.0111075862068966,0.6033189081575299,0.026496206896551723,0.015809957850714824
600,1,1.2142669230769232,0.40428452453953,0.03182038461538462,0.010594057761129766
600,2,1.058001153846154,0.3848506524388589,0.02772576923076923,0.010085002002211772
600,3,1.2977984615384615,0.5852051209529343,0.03400961538461538,0.015335535590456362
600,5,1.1111676923076923,0.5037778411665815,0.029117692307692306,0.013202204454618116
600,6,1.1272161538461538,0.4863829593402871,0.02953923076923077,0.012745593724288224
700,1,0.9014757142857144,0.5575183449230297,0.023623333333333336,0.014609679097548083
700,2,0.9911166666666666,0.40117856382580225,0.025971428571428572,0.010512781880032651
700,3,0.90202375,0.5071961493374307,0.023638333333333334,0.013291588928035806
700,5,0.9509816666666667,0.4407511307013208,0.024920833333333333,0.011550209829325581
700,6,1.1485637499999999,0.3629962094042413,0.030098749999999997,0.009513169504520516
