Time_ms,Mean_Latency_us,Std_Latency_us
0,71867396.44827586,8096.0319495146905
1000,71862803.28571428,9301.84477606743
1100,71868501.13636364,7307.438788468203
2000,71863458.0,0.0
2100,71867239.44444445,8480.067322546094
3100,71864906.85714285,9218.304497552697
3200,71868154.5,7996.674414440406
4100,71860514.66666667,4573.19148224995
4200,71867608.84210527,8959.096589270186
4300,71869385.71428572,8939.161495248412
5100,71864015.0,0.0
5200,71863955.2,10052.586318952272
5300,71867694.15,8222.44550812522
5400,71870607.0,0.0
6200,71860788.66666667,4789.69783319606
6300,71865734.78571428,8341.619564000921
6400,71869966.08333333,7819.2702223796905
7200,71863313.0,0.0
7300,71857453.75,8047.043323483823
7400,71869660.04545455,6771.769695389545
7500,71855241.0,
8300,71858378.0,5972.088579381197
8400,71868894.2,8929.895766468302
8500,71868505.4,6816.971120455183
9300,71863400.0,0.0
9400,71864350.4,10292.837864263463
9500,71868886.75,7820.006514168466
9600,71858272.0,5955.253311153103
10400,71860938.66666667,8388.899411324186
10500,71866481.27272727,8666.599807197525
10600,71870699.76923077,6945.755504313882
10700,71859142.5,7128.343461141586
11400,71859593.33333333,7353.710378669339
11500,71871588.6,8280.234435088454
11600,71867530.64285715,8114.72610663333
11700,71866345.57142857,7454.073446942058
12500,71858799.25,6010.037291897614
12600,71869469.16666667,9871.956248214481
12700,71869610.92857143,6699.287051212555
12800,71864087.2,8029.250288787401
13500,71859587.66666667,7342.740723552585
13600,71871474.2,8876.32779926587
13700,71867315.61538461,7835.275304014808
13800,71867684.625,7538.484423986596
14500,71865281.0,0.0
14600,71854028.0,2019.4969670687797
14700,71872705.2,6815.337460462211
14800,71867781.0,8232.3461297495
14900,71866529.25,6974.024776509077
15600,71863455.0,0.0
15700,71866879.85714285,10443.2812919548
15800,71867882.7,8705.115865589087
15900,71868179.44444445,7397.872922520701
16000,71862251.0,
16600,71863650.0,0.0
16700,71863080.0,9989.262335126396
16800,71870621.0,6413.206790158363
16900,71868273.35714285,8712.15890056997
17000,71866204.75,6891.492454466687
17700,71863366.0,0.0
17800,71866940.22222222,9436.22371207932
17900,71871299.2,8546.269870534119
18000,71867113.25,8675.665184092939
18100,71862142.0,
18800,71863182.71428572,8147.235087530847
18900,71870621.28571428,7873.623556198871
19000,71867723.1,8908.499542572523
19100,71867589.0,6782.339615992896
19200,71862640.0,
19800,71862610.0,1125.8330249197702
19900,71866427.33333333,9811.442235983724
20000,71874041.5,4084.7531545166025
20100,71865875.6,8945.028950947935
20200,71877181.0,0.0
20300,71862375.0,
20900,71866162.83333333,6634.003238367216
21000,71868489.0,10256.59701293349
