Time_ms,Mean_Latency_us,Std_Latency_us
0,71738481.10344827,243684.90632142167
1000,71725397.47058824,248415.46997824855
1100,71734159.9090909,246432.33815246468
2000,71954793.0,0.0
2100,71702110.32,243826.85983017937
2200,71946558.0,
3100,71759367.2,240955.52525149172
3200,71652569.75,246680.21667144657
4100,71663275.2,264760.0476926233
4200,71760328.45,239855.6996997721
4300,71629202.66666667,275368.1566563823
5200,71759480.7,240792.00510860243
5300,71677935.28571428,254944.42860141906
5400,71476360.0,
6200,71712366.25,250944.0184811678
6300,71803140.6923077,229374.87191182125
6400,71473641.66666667,7458.539021370912
7200,71470258.0,
7300,71754976.0,242812.47314465587
7400,71737376.33333333,251893.29936254537
7500,71477376.0,
8300,71777498.0909091,242352.81468077019
8400,71747221.85714285,247036.4267231313
8500,71473294.66666667,8118.433921225922
9300,71855331.8,216278.65088630476
9400,71728536.66666667,247790.2159545615
9500,71756404.8,259572.93960696153
9600,71473691.66666667,7998.437430730558
10300,71468832.0,
10400,71807768.5,232153.08750298098
10500,71712970.33333333,249886.94336487693
10600,71662160.8,258509.59815198404
11400,71882798.57142857,182851.30309977537
11500,71712988.75,250454.48746052032
11600,71674502.85714285,254024.98335165903
11700,71478161.0,2105.7639943735385
12400,71706419.0,335984.6155079128
12500,71753553.66666667,247927.5299933579
12600,71769859.375,249938.11500274338
12700,71633232.5,241933.14723018132
13400,71468552.0,
13500,71815224.42857143,234233.7706337111
13600,71772308.25,248091.3537013265
13700,71710373.9,251839.29980112796
13800,71479865.0,3425.225248067636
14500,71829425.75,240868.35726647452
14600,71713981.3,254442.23466461257
14700,71888691.25,171448.93361393997
14800,71474985.0,5973.624025666086
14900,71475476.0,
15500,71791301.66666667,279557.0417935001
15600,71772423.0,249644.31220381384
15700,71662565.8,261547.74012539245
15800,71829973.0,221398.69736679734
15900,71476851.75,3707.229817082651
16500,71468408.0,
16600,71951951.4,4601.365699440071
16700,71679623.57142857,256603.28996582626
16800,71790496.66666667,238849.17996562307
16900,71569412.8,213345.32206073674
17000,71475069.0,
17600,71829561.25,240506.00251327755
17700,71750270.0,256522.25047742078
17800,71708143.5,279773.8282404817
17900,71760493.3,244291.60883121987
18000,71471514.33333333,4429.887169369709
18600,71791431.66666667,279543.1853870395
18700,71831510.25,240070.21004055598
18800,71678083.42857143,257700.02796459364
18900,71843804.33333333,210086.3352957544
19000,71477934.0,2643.0109723570954
19100,71469245.0,4835.196169753612
19600,71952760.0,0.0
19700,71830526.5,241598.82759856267
19800,71666984.4,265118.2387809248
19900,71842584.1111111,211474.03812373884
20000,71571141.0,212732.85420921605
20100,71471345.33333333,5000.45001308361
20700,71953943.0,1486.0995928940968
20800,71591228.25,235396.59107468562
20900,71711182.16666667,265829.7414003304
21000,71807578.6,229044.58984087757
21100,71475848.5,485.78235867515815
21200,71469624.0,5086.926183856023
21700,71953092.0,0.0
21800,71759103.8,263526.60106562334
21900,71472646.0,11129.860735876258
22000,71803777.53846154,229486.8093942132
22100,71635552.33333333,273783.37151904014
22200,71471293.33333333,4566.147865909109
22800,71951952.0,4534.79150568138
22900,71474057.33333333,6962.140499398347
23000,71854697.4,203224.8091045974
23100,71633330.33333333,245769.13090106891
23200,71476028.0,1117.228714274745
23300,71469431.0,4932.776905557355
23800,71954044.0,1372.93894013293
23900,71708009.5,333854.1027761977
24000,71678071.0,256761.76610105566
24100,71792157.0,237028.7958460978
24200,71631655.33333333,276989.3258418684
24300,71474077.5,1727.4618664387356
24400,71465725.0,
24800,71952451.0,0.0
24900,71951473.66666667,5976.152636380742
25000,71566910.6,213402.49497088895
25100,71855798.5,201630.11664334833
25200,71594337.75,238648.74606469113
25300,71476645.0,
25400,71473901.0,1637.659305228044
25500,71466196.0,
25800,71952762.0,0.0
25900,71955222.0,0.0
26000,71627340.33333333,274811.5498852491
26100,71772138.875,246329.84168644063
26200,71773360.75,246204.76412284625
26300,71471995.5,6525.888483570647
26400,71472792.0,
26500,71470621.5,6404.266117206561
26900,71953896.0,1538.061117121163
27000,71471720.0,
27100,71660210.8,261453.17035694735
27200,71760553.0,243934.33802744822
27300,71954839.66666667,3107.8764990466802
27400,71472457.0,4281.039943751985
27500,71475186.0,
27600,71466002.0,
27900,71954082.5,1323.8641672518118
28100,71709751.0,337202.25338511606
28200,71649654.75,246554.2319019968
28300,71847190.0,208092.7956807977
28400,71472304.5,5917.776651750216
28500,71473210.0,
28600,71476138.0,
