Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
116606adf744,rfsim5g-oai-cuup2,0.00%,6.242MiB,23.44GiB,0.03%,13.3MB,13.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.47%,1.084GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,0.00%,6.242MiB,23.44GiB,0.03%,13.3MB,13.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.47%,1.084GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.84%,6.262MiB,23.44GiB,0.03%,13.7MB,13.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,162.56%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.26%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.11%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.84%,6.262MiB,23.44GiB,0.03%,13.7MB,13.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,162.56%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.26%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.11%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.22%,6.281MiB,23.44GiB,0.03%,14.2MB,14.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,179.58%,1.081GiB,23.44GiB,4.61%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.88%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.74%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.22%,6.281MiB,23.44GiB,0.03%,14.2MB,14.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,179.58%,1.081GiB,23.44GiB,4.61%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.88%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.74%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.58%,6.543MiB,23.44GiB,0.03%,14.6MB,14.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,169.54%,1.082GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,25.67%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,20.07%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.58%,6.543MiB,23.44GiB,0.03%,14.6MB,14.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,169.54%,1.082GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,25.67%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,20.07%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.95%,6.316MiB,23.44GiB,0.03%,15MB,15.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,162.64%,1.081GiB,23.44GiB,4.61%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.67%,60.91MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,20.23%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.95%,6.316MiB,23.44GiB,0.03%,15MB,15.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,162.64%,1.081GiB,23.44GiB,4.61%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.67%,60.91MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,20.23%,8.578MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.85%,6.574MiB,23.44GiB,0.03%,15.5MB,15.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,175.82%,1.084GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.80%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,31.86%,8.625MiB,23.44GiB,0.04%,9.62GB,7.75GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.85%,6.574MiB,23.44GiB,0.03%,15.5MB,15.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,175.82%,1.084GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.80%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
