Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
116606adf744,rfsim5g-oai-cuup2,0.01%,6.383MiB,23.44GiB,0.03%,128MB,128MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,4.47%,1.086GiB,23.44GiB,4.63%,5.34TB,3.96TB,0B,57.8MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.51MB,0B,327MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.793MiB,23.44GiB,0.04%,9.73GB,7.86GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,0.01%,6.383MiB,23.44GiB,0.03%,128MB,128MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,4.47%,1.086GiB,23.44GiB,4.63%,5.34TB,3.96TB,0B,57.8MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.51MB,0B,327MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.793MiB,23.44GiB,0.04%,9.73GB,7.86GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.43%,6.383MiB,23.44GiB,0.03%,128MB,128MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,191.11%,1.081GiB,23.44GiB,4.61%,5.34TB,3.96TB,0B,57.8MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.64%,60.9MiB,23.44GiB,0.25%,5.14GB,1.51MB,0B,327MB,13
79b729c535d0,rfsim5g-oai-cuup,17.91%,8.762MiB,23.44GiB,0.04%,9.74GB,7.86GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.43%,6.383MiB,23.44GiB,0.03%,128MB,128MB,0B,0B,10
