[UE 1 | RBs:  1 ] Total Throughput = 1.30748 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.54626 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.20178 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.87402 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.76477 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.09044 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31709 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19736 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.95789 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.19736 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19749 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.77938 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.18625 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.83038 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.06763 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.83774 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.65896 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.54914 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.53758 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.98844 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98273 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.19524 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19524 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.97792 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.97792 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.43651 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.76562 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31250 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.98438 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.31250 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19657 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30789 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.65395 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.08991 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.98092 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.54368 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.98175 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19992 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09083 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.65450 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.64163 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.07644 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.07644 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.43525 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.83723 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.71835 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.98008 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.65339 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.74237 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.27668 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.30750 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30536 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.19658 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.19658 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 2.74214 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19224 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.08482 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.08482 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.71740 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.86786 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.20020 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.65737 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09561 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98605 Mbps
