Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,4,1,0.00000
0,1,1,0.11962
0,6,1,0.11962
0,11,1,0.11962
0,12,1,0.11962
4,9,1,0.11929
4,8,1,0.23857
4,10,1,0.00000
4,7,1,0.11929
4,2,1,0.11929
100,4,1,0.23950
100,1,1,0.11975
100,6,1,0.35924
100,11,1,0.11975
100,12,1,0.35924
114,9,1,0.10885
114,8,1,0.10885
114,10,1,0.32655
114,7,1,0.21770
114,2,1,0.10885
201,4,1,0.11905
201,1,1,0.23810
201,6,1,0.11905
201,11,1,0.11905
201,12,1,0.11905
224,9,1,0.10934
224,8,1,0.10934
224,10,1,0.00000
224,7,1,0.10934
224,2,1,0.10934
310,4,1,0.21956
310,1,1,0.21956
310,6,1,0.10978
310,11,1,0.21956
310,12,1,0.10978
324,9,1,0.00000
324,8,1,0.11950
324,10,1,0.11950
324,7,1,0.11950
324,2,1,0.23900
410,4,1,0.23966
410,1,1,0.11983
410,6,1,0.11983
410,11,1,0.23966
410,12,1,0.11983
434,9,1,0.21802
434,8,1,0.10901
434,10,1,0.10901
434,7,1,0.10901
434,2,1,0.10901
510,4,1,0.11963
510,1,1,0.23925
510,6,1,0.23925
510,11,1,0.11963
510,12,1,0.23925
534,9,1,0.23851
534,8,1,0.11925
534,10,1,0.11925
534,7,1,0.11925
534,2,1,0.11925
620,4,1,0.21781
620,1,1,0.21781
620,6,1,0.10891
620,11,1,0.21781
620,12,1,0.10891
644,9,1,0.10953
644,8,1,0.10953
644,10,1,0.10953
644,7,1,0.10953
644,2,1,0.10953
730,4,1,0.10905
730,1,1,0.10905
730,6,1,0.32716
730,11,1,0.10905
730,12,1,0.32716
744,9,1,0.11956
744,8,1,0.23912
744,10,1,0.35868
744,7,1,0.11956
744,2,1,0.11956
831,4,1,0.23780
831,1,1,0.23780
831,6,1,0.11890
831,11,1,0.11890
831,12,1,0.11890
844,9,1,0.11946
844,8,1,0.11946
844,10,1,0.11946
844,7,1,0.11946
844,2,1,0.11946
941,4,1,0.21873
941,1,1,0.10937
941,6,1,0.10937
941,11,1,0.21873
941,12,1,0.21873
954,9,1,0.10936
954,8,1,0.10936
954,10,1,0.10936
954,7,1,0.21873
954,2,1,0.10936
1041,4,1,0.11967
1041,1,1,0.35901
1041,6,1,0.23934
1041,11,1,0.35901
1041,12,1,0.11967
1064,9,1,0.10917
1064,8,1,0.21834
1064,10,1,0.10917
1064,7,1,0.10917
1064,2,1,0.21834
1150,4,1,0.21939
1150,1,1,0.10969
1150,6,1,0.32908
1150,11,1,0.10969
1150,12,1,0.32908
1164,9,1,0.11965
1164,8,1,0.00000
1164,10,1,0.11965
1164,7,1,0.11965
1164,2,1,0.11965
1251,4,1,0.35700
1251,1,1,0.23800
1251,6,1,0.11900
1251,11,1,0.23800
1251,12,1,0.11900
1264,9,1,0.11957
1264,8,1,0.11957
1264,10,1,0.00000
1264,7,1,0.11957
1264,2,1,0.11957
1360,4,1,0.10937
1360,1,1,0.21874
1360,6,1,0.21874
1360,11,1,0.10937
1360,12,1,0.21874
1374,9,1,0.21852
1374,8,1,0.10926
1374,10,1,0.21852
1374,7,1,0.10926
1374,2,1,0.10926
1461,4,1,0.23799
1461,1,1,0.11900
1461,6,1,0.11900
1461,11,1,0.35699
1461,12,1,0.23799
1474,9,1,0.11961
1474,8,1,0.35882
1474,10,1,0.23921
1474,7,1,0.11961
1474,2,1,0.11961
1562,4,1,0.11917
1562,1,1,0.35751
1562,6,1,0.23834
1562,11,1,0.23834
1562,12,1,0.23834
1574,9,1,0.11946
1574,8,1,0.11946
1574,10,1,0.11946
1574,7,1,0.35837
1574,2,1,0.11946
1671,4,1,0.21848
