Time_s,Stream_ID,Mean_Kbyte_transfer,Std_Kbyte_transfer,Mean_Kbps,Std_Kbps,Mean_Latency_ms,Std_Latency_ms,Mean_Loss_pct,Std_Loss_pct
0,1,85.63333333333333,85.63333333333333,702.0,6.928203230275509,17.716333333333335,3.748771709951586,96.37101840660911,0.7743570734946955
0,2,84.2,84.2,690.0,18.33030277982336,16.732,2.868209197391293,97.51447207991392,0.55901372122617
0,3,78.0,78.0,639.0,37.64306044943742,17.367,1.2688274114315137,98.29791645644825,0.9194305876157756
0,4,82.3,82.3,674.3333333333334,91.12811494447436,24.188333333333333,11.291557746092135,97.54423999781437,2.1933437474505078
0,5,84.7,84.7,694.0,0.0,19.99566666666667,8.762971090522514,96.99898942854064,0.5366827822662675
0,6,81.83333333333333,81.83333333333333,670.3333333333334,42.71221527073177,18.655666666666665,2.922978674799619,97.63682456648736,0.6118286450748314
0,7,82.76666666666667,82.76666666666667,678.3333333333334,105.50987315570676,19.052333333333333,4.939366896003305,97.5073804980435,2.2474897065328405
0,8,87.53333333333335,87.53333333333335,717.3333333333334,53.90114408185907,17.210333333333335,4.145325117929032,96.89043568632333,2.0752048502308784
0,9,80.86666666666666,80.86666666666666,662.6666666666666,55.58177159225257,21.142,9.502304930910183,97.66798617970358,1.4412687790723384
0,10,92.33333333333333,92.33333333333333,756.6666666666666,55.58177159225257,14.758333333333333,0.8634085552815262,96.06689688094941,1.0869381675246257
0,42,79.0,79.0,647.0,,13.913,,0.0,
0,43,102.0,102.0,835.0,,13.804,,0.0,
0,44,91.9,91.9,753.0,,14.923,,0.0,
0,46,91.9,91.9,753.0,,14.317,,0.0,
0,47,97.6,97.6,800.0,,14.877,,0.0,
0,50,105.0,105.0,858.0,,13.808,,0.0,
0,56,83.3,83.3,682.0,,15.016,,0.0,
1,1,80.75,80.75,661.5,78.70832230456953,19.99975,12.025061119040796,43.197151964400994,50.55090679678166
1,2,80.025,80.025,655.75,52.18157401484423,25.6855,10.746853632575444,66.60539914926066,44.566344915002524
1,3,76.8,76.8,629.25,47.549097432723855,24.538,7.804372919502673,89.43453421810827,3.9403424748205853
1,4,84.7,84.7,694.0,9.797958971132712,18.78925,4.994131581166039,65.46960172489713,43.80767585642334
1,5,79.675,79.675,652.75,48.54808612774212,21.610999999999997,4.9610748163410445,45.404559270516714,52.500496085530635
1,6,73.9,73.9,606.0,6.928203230275509,27.07525,14.645015337991286,78.86907434265214,23.352348297838528
1,7,79.675,79.675,652.75,48.54808612774212,24.11275,8.52022289907958,66.98532535482654,44.75212298189706
1,8,78.95,78.95,647.0,54.270925303824804,17.7735,3.6527820904072557,45.547698982813486,52.698962663544336
1,9,82.55,82.55,676.25,35.5,21.2465,3.947452300746226,66.79398188274537,44.6971254784799
1,10,82.9,82.9,679.25,29.5,18.02075,4.614686726456448,43.7795684614526,50.96987133617835
1,44,73.2,73.2,600.0,,16.151,,0.0,
1,46,73.2,73.2,600.0,,15.663,,0.0,
1,47,76.1,76.1,623.0,,15.523,,0.0,
1,50,74.6,74.6,612.0,,15.726,,0.0,
1,56,74.6,74.6,612.0,,16.989,,0.0,
2,1,78.6,78.6,644.0,57.94250023370869,21.5505,7.142701286394852,43.72681033270028,50.65701334313841
2,2,78.6,78.6,643.75,62.824490978174005,22.30125,5.458295055845429,88.02817745974144,0.2351214150766489
2,3,76.8,76.8,629.25,53.187561202471635,23.9065,5.416673917943865,89.79980303115434,4.003434046638321
2,4,75.725,75.725,620.5,57.84173810205453,25.36,11.801933259710744,66.21861030485672,44.51937021458651
2,5,75.75,75.75,620.25,65.47964060174228,24.8295,8.34812635665433,68.27164838174983,45.67463334270699
2,6,77.52499999999999,77.52499999999999,635.0,31.75951301054011,26.834,3.0427006644317367,87.87327667021934,4.279525154608391
2,7,76.075,76.075,623.5,25.462390565956962,20.02075,5.5553043345977,66.03700158950357,44.182428444619624
2,8,81.1,81.1,664.75,38.84477656862846,18.70225,1.4719470948373106,45.40208083687269,52.46694744062938
2,9,72.15,72.15,590.75,50.347955933351116,20.904249999999998,2.684067234006382,67.46303763440861,45.05776955734014
2,10,73.55,73.55,602.75,20.155644370746366,21.59525,5.952120595496476,44.26426426426427,51.240630155720496
2,44,84.7,84.7,694.0,,15.502,,0.0,
2,46,84.7,84.7,694.0,,16.145,,0.0,
2,47,73.2,73.2,600.0,,15.031,,0.0,
2,50,73.2,73.2,600.0,,16.231,,0.0,
2,56,84.7,84.7,694.0,,16.457,,0.0,
3,1,75.0,75.0,614.5,63.25872798805449,20.56575,4.927915473774551,43.34496431403648,50.08823489707161
3,2,69.25,69.25,567.5,50.28916384272064,19.94225,2.078626690068871,88.02138966734653,3.5380079922651966
3,3,76.775,76.775,629.5,43.37049688440289,21.1235,6.835008973415226,87.30871329600059,6.883600591089897
3,4,76.775,76.775,629.5,43.37049688440287,19.75075,4.207567022639092,67.02245074384217,44.78056150307265
3,5,76.8,76.8,629.25,44.50749000636484,21.7095,5.604588507047893,65.19984330653794,43.623922619599014
3,6,78.225,78.225,641.0,49.32882862316246,17.8155,1.654539311510408,86.07389632756738,4.9247718871570125
3,7,77.525,77.525,635.25,44.99907406454789,23.97,10.635583920656796,68.42021321430005,45.6622248133382
