Time_ms,UE_ID,RB_ID,Throughput_Mbps
124,3,1,0.77630
124,5,1,1.33080
124,6,1,0.88720
124,8,1,0.88720
124,11,1,1.33080
124,12,1,0.33270
124,14,1,0.88720
124,17,1,0.55450
124,19,1,0.66540
124,20,1,0.77630
225,3,1,0.71450
225,5,1,0.71450
225,6,1,0.95266
225,8,1,0.83358
225,11,1,1.07174
225,12,1,1.42899
225,14,1,0.83358
225,17,1,0.83358
225,19,1,0.95266
225,20,1,0.83358
335,3,1,0.54334
335,5,1,1.30403
335,6,1,1.19536
335,8,1,0.97802
335,11,1,1.08669
335,12,1,0.86935
335,14,1,0.86935
335,17,1,1.19536
335,19,1,0.76068
335,20,1,0.32601
444,3,1,0.32893
444,5,1,1.09642
444,6,1,0.76750
444,8,1,1.20606
444,11,1,1.09642
444,12,1,1.42535
444,14,1,0.65785
444,17,1,0.76750
444,19,1,0.43857
444,20,1,0.87714
545,3,1,0.95627
545,5,1,1.43441
545,6,1,0.47814
545,8,1,1.55394
545,11,1,0.83674
545,12,1,1.07581
545,14,1,1.19534
545,17,1,1.31487
545,19,1,0.95627
545,20,1,0.47814
654,3,1,0.87574
654,5,1,0.43787
654,6,1,0.98520
654,8,1,1.42307
654,11,1,1.42307
654,12,1,1.42307
654,14,1,0.76627
654,17,1,0.87574
654,19,1,0.43787
654,20,1,0.87574
755,3,1,0.47769
755,5,1,1.55249
755,6,1,0.47769
755,8,1,1.07480
755,11,1,0.47769
755,12,1,1.07480
755,14,1,0.95538
755,17,1,0.71653
755,19,1,0.95538
755,20,1,0.95538
855,3,1,0.83832
855,5,1,0.95808
855,6,1,0.59880
855,8,1,1.07784
855,11,1,1.79640
855,12,1,1.07784
855,14,1,0.59880
855,17,1,0.71856
855,19,1,0.35928
855,20,1,0.83832
955,3,1,0.95730
955,5,1,1.07697
955,6,1,1.07697
955,8,1,1.19663
955,11,1,0.83764
955,12,1,1.55562
955,14,1,0.83764
955,17,1,0.95730
955,19,1,0.95730
955,20,1,0.47865
1064,3,1,0.87547
1064,5,1,0.98491
1064,6,1,0.43774
1064,8,1,1.42264
1064,11,1,0.76604
1064,12,1,0.98491
1064,14,1,1.42264
1064,17,1,0.76604
1064,19,1,0.54717
1064,20,1,0.87547
1164,3,1,0.83799
1164,5,1,1.31684
1164,6,1,0.47885
1164,8,1,1.55627
1164,11,1,0.47885
1164,12,1,1.07742
1164,14,1,1.07742
1164,17,1,0.47885
1164,19,1,0.83799
1164,20,1,0.47885
1265,3,1,0.47547
1265,5,1,1.18868
1265,6,1,1.06981
1265,8,1,1.06981
1265,11,1,1.18868
1265,12,1,1.06981
1265,14,1,0.95094
1265,17,1,0.95094
1265,19,1,0.95094
1265,20,1,1.30754
1375,3,1,0.43703
1375,5,1,0.98331
1375,6,1,0.54628
1375,8,1,1.09256
1375,11,1,1.63885
1375,12,1,1.63885
1375,14,1,1.52959
1375,17,1,0.87405
1375,19,1,0.98331
1375,20,1,0.87405
1475,3,1,0.95584
1475,5,1,0.83636
1475,6,1,1.07532
1475,8,1,1.19480
1475,11,1,1.19480
1475,12,1,1.79221
1475,14,1,1.07532
1475,17,1,0.47792
1475,19,1,1.07532
1475,20,1,0.47792
1584,3,1,0.87776
1584,5,1,1.31665
1584,6,1,0.43888
1584,8,1,1.09720
1584,11,1,0.76804
1584,12,1,1.09720
1584,14,1,0.98748
1584,17,1,1.31665
1584,19,1,0.98748
1584,20,1,0.87776
1685,3,1,0.47776
1685,5,1,0.83609
1685,6,1,0.47776
1685,8,1,1.31385
1685,11,1,1.31385
1685,12,1,1.31385
1685,14,1,0.95553
1685,17,1,1.07497
1685,19,1,0.47776
1685,20,1,1.07497
1794,3,1,1.42315
1794,5,1,0.98526
1794,6,1,0.98526
1794,8,1,1.53262
1794,11,1,1.31367
1794,12,1,2.18946
1794,14,1,0.98526
1794,17,1,0.98526
1794,19,1,0.98526
1794,20,1,0.98526
1894,3,1,1.07756
1894,5,1,0.59864
1894,6,1,0.59864
1894,8,1,1.91566
1894,11,1,0.47891
1894,12,1,1.19729
1894,14,1,0.59864
1894,17,1,1.07756
1894,19,1,1.07756
1894,20,1,1.07756
1995,3,1,1.31301
1995,5,1,1.67111
1995,6,1,0.59682
1995,8,1,1.19365
1995,11,1,1.55174
1995,12,1,1.79047
1995,14,1,0.47746
1995,17,1,0.47746
1995,19,1,1.07428
1995,20,1,1.07428
2095,3,1,1.31661
2095,5,1,0.71815
2095,6,1,0.95753
2095,8,1,1.43630
2095,11,1,0.95753
2095,12,1,1.19692
2095,14,1,1.19692
2095,17,1,0.59846
2095,19,1,1.07722
2095,20,1,1.07722
2204,3,1,0.98359
2204,5,1,1.53002
2204,6,1,1.20216
2204,8,1,1.09287
2204,11,1,0.76501
2204,12,1,1.31145
2204,14,1,0.54644
2204,17,1,0.98359
2204,19,1,0.98359
2204,20,1,0.98359
2314,3,1,0.98211
2314,5,1,0.87298
2314,6,1,0.98211
2314,8,1,1.30948
2314,11,1,1.52772
2314,12,1,0.98211
2314,14,1,1.20035
2314,17,1,0.98211
2314,19,1,1.52772
2314,20,1,0.98211
2415,3,1,1.06794
2415,5,1,1.18661
2415,6,1,0.71196
2415,8,1,0.59330
2415,11,1,0.59330
2415,12,1,0.94928
2415,14,1,1.18661
2415,17,1,0.47464
2415,19,1,1.18661
2415,20,1,0.47464
2524,3,1,1.20717
2524,5,1,0.98768
2524,6,1,1.31691
2524,8,1,1.42665
2524,11,1,1.64614
2524,12,1,1.09743
2524,14,1,1.09743
2524,17,1,0.98768
2524,19,1,1.42665
2524,20,1,0.98768
2625,3,1,0.71754
2625,5,1,0.71754
2625,6,1,0.95672
2625,8,1,0.95672
2625,11,1,0.71754
2625,12,1,0.83713
2625,14,1,1.19590
2625,17,1,0.59795
2625,19,1,1.43508
2625,20,1,1.07631
2725,3,1,1.91529
2725,5,1,1.55618
2725,6,1,1.19706
2725,8,1,1.31677
2725,11,1,0.83794
2725,12,1,1.19706
2725,14,1,1.19706
2725,17,1,0.71824
2725,19,1,1.55618
2725,20,1,1.19706
2834,3,1,1.09359
2834,5,1,1.31231
2834,6,1,1.09359
2834,8,1,0.21872
2834,11,1,1.42167
2834,12,1,1.20295
2834,14,1,1.09359
2834,17,1,0.76551
2834,19,1,0.76551
2834,20,1,1.09359
2944,3,1,1.08867
2944,5,1,0.43547
2944,6,1,1.08867
2944,8,1,1.63301
2944,11,1,0.54434
2944,12,1,0.76207
2944,14,1,1.08867
2944,17,1,1.74188
2944,19,1,1.19754
2944,20,1,0.87094
3045,3,1,1.19621
3045,5,1,1.55507
3045,6,1,0.59811
3045,8,1,1.19621
3045,11,1,0.83735
3045,12,1,0.83735
3045,14,1,0.59811
3045,17,1,1.19621
3045,19,1,1.79432
3045,20,1,0.59811
3145,3,1,1.19183
3145,5,1,1.31102
3145,6,1,1.19183
3145,8,1,0.83428
3145,11,1,1.66857
3145,12,1,1.54938
3145,14,1,1.31102
3145,17,1,0.59592
3145,19,1,1.19183
3145,20,1,0.83428
3255,3,1,1.09306
3255,5,1,0.87445
3255,6,1,1.20237
3255,8,1,1.20237
3255,11,1,0.10931
3255,12,1,1.20237
3255,14,1,0.54653
3255,17,1,1.09306
3255,19,1,1.20237
3255,20,1,1.20237
3355,3,1,1.31196
3355,5,1,0.95415
3355,6,1,0.59634
3355,8,1,0.95415
3355,11,1,2.50464
3355,12,1,1.19269
3355,14,1,1.43122
3355,17,1,0.95415
3355,19,1,0.59634
3355,20,1,1.19269
3465,3,1,1.09650
3465,5,1,1.20615
3465,6,1,1.31580
3465,8,1,1.42545
3465,11,1,0.21930
3465,12,1,0.00000
3465,14,1,1.20615
3465,17,1,0.87720
3465,19,1,1.97370
3465,20,1,1.09650
3565,3,1,0.59907
3565,5,1,0.95852
3565,6,1,1.31796
3565,8,1,0.47926
3565,11,1,0.83870
3565,12,1,0.00000
3565,14,1,1.43778
3565,17,1,1.07833
3565,19,1,0.71889
3565,20,1,1.19815
3675,3,1,1.09014
3675,5,1,0.98112
3675,6,1,1.30817
3675,8,1,0.65408
3675,11,1,1.85324
3675,12,1,1.30817
3675,14,1,1.30817
3675,17,1,1.74422
3675,19,1,1.85324
3675,20,1,1.09014
3775,3,1,0.71791
3775,5,1,0.83757
3775,6,1,1.31617
3775,8,1,1.91443
3775,11,1,0.83757
3775,12,1,1.55548
3775,14,1,1.31617
3775,17,1,1.19652
3775,19,1,1.31617
3775,20,1,1.19652
3885,3,1,1.19712
3885,5,1,1.41477
3885,6,1,1.30594
3885,8,1,1.08829
3885,11,1,1.41477
3885,12,1,1.52360
3885,14,1,1.19712
3885,17,1,1.19712
3885,19,1,2.50306
3885,20,1,1.30594
3994,3,1,0.65606
3994,5,1,0.76541
3994,6,1,0.54672
3994,8,1,0.43738
3994,11,1,0.54672
3994,12,1,1.53082
3994,14,1,1.20278
