Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
19640,5,1,0.87378,0.02290
19740,5,1,1.19738,0.03138
19840,5,1,0.59881,0.01569
19940,5,1,1.31430,0.03444
20050,5,1,1.20270,0.03152
20160,5,1,0.98170,0.02573
20260,5,1,1.07795,0.02825
20370,5,1,1.08721,0.02849
20480,5,1,0.87107,0.02283
20590,5,1,1.41927,0.03719
20690,5,1,0.95857,0.02512
20800,5,1,1.09250,0.02863
20900,5,1,1.19765,0.03138
21000,5,1,0.59846,0.01568
21100,5,1,1.31719,0.03452
21200,5,1,1.07785,0.02825
21310,5,1,1.09086,0.02859
21410,5,1,1.19672,0.03136
21520,5,1,0.98350,0.02577
21620,5,1,1.19655,0.03136
21720,5,1,0.59833,0.01568
21830,5,1,1.09019,0.02857
21940,5,1,1.09191,0.02861
22050,5,1,1.08787,0.02851
22160,5,1,1.09094,0.02859
22260,5,1,1.19759,0.03138
22360,5,1,1.19572,0.03133
22470,5,1,0.87169,0.02284
22580,5,1,1.19754,0.03138
22690,5,1,1.09142,0.02860
22790,5,1,1.07735,0.02823
22900,5,1,0.98048,0.02569
23000,5,1,1.19715,0.03137
23100,5,1,1.07735,0.02823
23210,5,1,1.09346,0.02865
23320,5,1,1.08719,0.02849
23430,5,1,0.98140,0.02572
23530,5,1,1.07854,0.02826
23640,5,1,0.76292,0.01999
23740,5,1,1.31750,0.03453
23840,5,1,1.07528,0.02818
23950,5,1,1.08967,0.02856
24060,5,1,1.19958,0.03144
24170,5,1,1.09168,0.02861
24270,5,1,1.07829,0.02826
24380,5,1,0.98152,0.02572
24480,5,1,1.07358,0.02813
24590,5,1,1.09458,0.02868
24690,5,1,0.95765,0.02510
24800,5,1,0.98118,0.02571
24900,5,1,1.19433,0.03130
25010,5,1,1.19968,0.03144
25110,5,1,1.07843,0.02826
25210,5,1,0.71809,0.01882
25320,5,1,1.41972,0.03720
25430,5,1,1.08775,0.02851
25540,5,1,0.76294,0.01999
25640,5,1,1.07779,0.02824
25750,5,1,1.08896,0.02854
25860,5,1,0.87271,0.02287
25960,5,1,1.31823,0.03454
26070,5,1,1.09128,0.02860
26170,5,1,1.07555,0.02819
26280,5,1,0.98087,0.02570
26380,5,1,1.19766,0.03139
26490,5,1,1.09250,0.02863
26590,5,1,0.71852,0.01883
26690,5,1,1.31824,0.03455
26790,5,1,1.19588,0.03134
26890,5,1,0.95690,0.02508
26990,5,1,1.07656,0.02821
27100,5,1,0.98441,0.02580
27210,5,1,1.19719,0.03137
27320,5,1,1.08883,0.02853
27430,5,1,0.87184,0.02285
27530,5,1,1.31786,0.03454
27630,5,1,1.07782,0.02824
27740,5,1,0.98161,0.02572
27850,5,1,1.20054,0.03146
27950,5,1,0.95761,0.02509
28060,5,1,1.20097,0.03147
28160,5,1,0.59863,0.01569
28260,5,1,1.43264,0.03754
28370,5,1,1.09048,0.02858
28480,5,1,0.98196,0.02573
28580,5,1,0.83821,0.02197
28690,5,1,1.20231,0.03151
28790,5,1,1.43538,0.03761
28900,5,1,0.65327,0.01712
29000,5,1,1.31669,0.03450
29110,5,1,0.98359,0.02578
29210,5,1,1.31309,0.03441
29320,5,1,0.65404,0.01714
29430,5,1,1.30657,0.03424
29540,5,1,0.98095,0.02571
29650,5,1,1.19948,0.03143
29750,5,1,0.95830,0.02511
29860,5,1,1.09040,0.02857
29960,5,1,1.07736,0.02823
30070,5,1,1.19886,0.03142
30170,5,1,0.71720,0.01879
30280,5,1,1.41878,0.03718
30390,5,1,0.97915,0.02566
30500,5,1,1.09006,0.02857
30610,5,1,0.98009,0.02568
30720,5,1,1.09029,0.02857
30830,5,1,0.98154,0.02572
30930,5,1,1.19363,0.03128
31040,5,1,0.98438,0.02580
31140,5,1,0.95676,0.02507
31250,5,1,1.19830,0.03140
31350,5,1,0.83763,0.02195
31460,5,1,1.41883,0.03718
31560,5,1,1.07757,0.02824
31670,5,1,0.76429,0.02003
31780,5,1,0.98170,0.02573
31880,5,1,1.31525,0.03447
31980,5,1,1.31807,0.03454
32090,5,1,0.87363,0.02289
32190,5,1,0.83791,0.02196
32290,5,1,1.31737,0.03452
32390,5,1,1.19701,0.03137
32500,5,1,0.87293,0.02288
32611,5,1,1.29650,0.03398
32720,5,1,0.98854,0.02591
32830,5,1,0.98013,0.02568
32940,5,1,0.98104,0.02571
33040,5,1,1.31781,0.03453
33140,5,1,1.07654,0.02821
33250,5,1,1.09184,0.02861
33350,5,1,0.59827,0.01568
