Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,61316,63.50,20.778
0,54887,63.50,20.778
0,41999,63.50,20.778
0,10354,52.00,17.015
0,21661,52.50,17.179
110,61316,63.50,20.778
110,54887,63.50,20.778
110,41999,63.50,20.778
110,10354,52.00,17.015
110,21661,52.50,17.179
219,61316,63.50,20.778
219,54887,63.50,20.778
219,41999,63.50,20.778
219,10354,52.00,17.015
219,21661,52.50,17.179
320,61316,63.50,20.778
320,54887,63.50,20.778
320,41999,63.50,20.778
320,10354,52.00,17.015
320,21661,52.50,17.179
420,61316,63.50,20.778
420,54887,63.50,20.778
420,41999,63.50,20.778
420,10354,52.00,17.015
420,21661,52.50,17.179
529,61316,63.50,20.778
529,54887,63.50,20.778
529,41999,63.50,20.778
529,10354,52.00,17.015
529,21661,52.50,17.179
630,61316,63.50,20.778
630,54887,63.50,20.778
630,41999,63.50,20.778
630,10354,52.00,17.015
630,21661,52.50,17.179
739,61316,63.50,20.778
739,54887,63.50,20.778
739,41999,63.50,20.778
739,10354,52.00,17.015
739,21661,52.50,17.179
839,61316,63.50,20.778
839,54887,63.50,20.778
839,41999,63.50,20.778
839,10354,52.00,17.015
839,21661,52.50,17.179
949,61316,63.50,20.778
949,54887,63.50,20.778
949,41999,63.50,20.778
949,10354,52.00,17.015
949,21661,52.50,17.179
1059,61316,63.50,20.778
1059,54887,63.50,20.778
1059,41999,63.50,20.778
1059,10354,52.00,17.015
1059,21661,52.50,17.179
1169,61316,63.50,20.778
1169,54887,63.50,20.778
1169,41999,63.50,20.778
1169,10354,52.00,17.015
1169,21661,52.50,17.179
1269,61316,63.50,20.778
1269,54887,63.50,20.778
1269,41999,63.50,20.778
1269,10354,52.00,17.015
1269,21661,52.50,17.179
1369,61316,63.50,20.778
1369,54887,63.50,20.778
1369,41999,63.50,20.778
1369,10354,52.00,17.015
1369,21661,52.50,17.179
1470,61316,63.50,20.778
1470,54887,63.50,20.778
1470,41999,63.50,20.778
1470,10354,52.00,17.015
1470,21661,52.50,17.179
1579,61316,63.50,20.778
1579,54887,63.50,20.778
1579,41999,63.50,20.778
1579,10354,52.00,17.015
1579,21661,52.50,17.179
1679,61316,63.50,20.778
1679,54887,63.50,20.778
1679,41999,63.50,20.778
1679,10354,52.00,17.015
1679,21661,52.50,17.179
1789,61316,63.50,20.778
1789,54887,63.50,20.778
1789,41999,63.50,20.778
1789,10354,52.00,17.015
1789,21661,52.50,17.179
1889,61316,63.50,20.778
1889,54887,63.50,20.778
1889,41999,63.50,20.778
1889,10354,52.00,17.015
1889,21661,52.50,17.179
1990,61316,63.50,20.778
1990,54887,63.50,20.778
1990,41999,63.50,20.778
1990,10354,52.00,17.015
1990,21661,52.50,17.179
2099,61316,63.50,20.778
2099,54887,63.50,20.778
2099,41999,63.50,20.778
2099,10354,52.00,17.015
2099,21661,52.50,17.179
2209,61316,63.50,20.778
2209,54887,63.50,20.778
2209,41999,63.50,20.778
2209,10354,52.00,17.015
2209,21661,52.50,17.179
2319,61316,63.50,20.778
2319,54887,63.50,20.778
2319,41999,63.50,20.778
2319,10354,52.00,17.015
2319,21661,52.50,17.179
2419,61316,63.50,20.778
2419,54887,63.50,20.778
2419,41999,63.50,20.778
2419,10354,54.50,17.833
2419,21661,52.50,17.179
2530,61316,63.50,20.778
2530,54887,63.50,20.778
2530,41999,63.50,20.778
2530,10354,54.50,17.833
2530,21661,52.50,17.179
2640,61316,63.50,20.778
2640,54887,63.50,20.778
2640,41999,63.50,20.778
2640,10354,52.00,17.015
2640,21661,52.50,17.179
2750,61316,63.50,20.778
2750,54887,63.50,20.778
2750,41999,63.50,20.778
2750,10354,52.00,17.015
2750,21661,52.50,17.179
2850,61316,63.50,20.778
2850,54887,63.50,20.778
2850,41999,63.50,20.778
2850,10354,52.00,17.015
2850,21661,52.50,17.179
2960,61316,63.50,20.778
2960,54887,63.50,20.778
2960,41999,63.50,20.778
2960,10354,52.00,17.015
2960,21661,52.50,17.179
3070,61316,63.50,20.778
3070,54887,63.50,20.778
3070,41999,63.50,20.778
3070,10354,52.00,17.015
3070,21661,52.50,17.179
3179,61316,63.50,20.778
3179,54887,63.50,20.778
3179,41999,63.50,20.778
3179,10354,52.00,17.015
3179,21661,52.50,17.179
3279,61316,63.50,20.778
3279,54887,63.50,20.778
3279,41999,63.50,20.778
3279,10354,52.00,17.015
3279,21661,52.50,17.179
3389,61316,63.50,20.778
3389,54887,63.50,20.778
3389,41999,63.50,20.778
3389,10354,52.00,17.015
3389,21661,52.50,17.179
3499,61316,63.50,20.778
3499,54887,63.50,20.778
3499,41999,63.50,20.778
3499,10354,52.00,17.015
3499,21661,52.50,17.179
3599,61316,63.50,20.778
3599,54887,63.50,20.778
3599,41999,63.50,20.778
3599,10354,52.00,17.015
3599,21661,52.50,17.179
3709,61316,63.50,20.778
3709,54887,63.50,20.778
3709,41999,63.50,20.778
3709,10354,52.00,17.015
3709,21661,52.50,17.179
3809,61316,63.50,20.778
3809,54887,63.50,20.778
3809,41999,63.50,20.778
3809,10354,52.00,17.015
3809,21661,52.50,17.179
3910,61316,63.50,20.778
3910,54887,63.50,20.778
3910,41999,63.50,20.778
3910,10354,52.00,17.015
3910,21661,52.50,17.179
4010,61316,63.50,20.778
4010,54887,63.50,20.778
4010,41999,63.50,20.778
4010,10354,52.00,17.015
4010,21661,52.50,17.179
4119,61316,63.50,20.778
4119,54887,63.50,20.778
4119,41999,63.50,20.778
4119,10354,52.00,17.015
4119,21661,52.50,17.179
4229,61316,63.50,20.778
4229,54887,63.50,20.778
4229,41999,63.50,20.778
4229,10354,52.00,17.015
4229,21661,52.50,17.179
4329,61316,63.50,20.778
4329,54887,63.50,20.778
4329,41999,63.50,20.778
4329,10354,52.00,17.015
4329,21661,52.50,17.179
4439,61316,63.50,20.778
4439,54887,63.50,20.778
4439,41999,63.50,20.778
4439,10354,52.00,17.015
4439,21661,52.50,17.179
4539,61316,63.50,20.778
4539,54887,63.50,20.778
4539,41999,63.50,20.778
4539,10354,52.00,17.015
4539,21661,52.50,17.179
4639,61316,63.50,20.778
4639,54887,63.50,20.778
4639,41999,63.50,20.778
4639,10354,52.00,17.015
4639,21661,52.50,17.179
4740,61316,63.50,20.778
4740,54887,63.50,20.778
4740,41999,63.50,20.778
4740,10354,52.00,17.015
4740,21661,52.50,17.179
4850,61316,63.50,20.778
4850,54887,63.50,20.778
4850,41999,63.50,20.778
4850,10354,52.00,17.015
4850,21661,52.50,17.179
4950,61316,63.50,20.778
4950,54887,63.50,20.778
4950,41999,63.50,20.778
4950,10354,52.00,17.015
4950,21661,52.50,17.179
5059,61316,63.50,20.778
5059,54887,63.50,20.778
5059,41999,63.50,20.778
5059,10354,52.00,17.015
5059,21661,52.50,17.179
5159,61316,63.50,20.778
5159,54887,63.50,20.778
5159,41999,63.50,20.778
5159,10354,52.00,17.015
5159,21661,52.50,17.179
5260,61316,63.50,20.778
5260,54887,63.50,20.778
5260,41999,63.50,20.778
5260,10354,52.00,17.015
5260,21661,52.50,17.179
5369,61316,63.50,20.778
5369,54887,63.50,20.778
5369,41999,63.50,20.778
5369,10354,52.00,17.015
5369,21661,52.50,17.179
5470,61316,63.50,20.778
5470,54887,63.50,20.778
5470,41999,63.50,20.778
5470,10354,52.00,17.015
5470,21661,52.50,17.179
5580,61316,63.50,20.778
5580,54887,63.50,20.778
5580,41999,63.50,20.778
5580,10354,52.00,17.015
5580,21661,52.50,17.179
5690,61316,63.50,20.778
5690,54887,63.50,20.778
5690,41999,63.50,20.778
5690,10354,52.00,17.015
5690,21661,52.50,17.179
5799,61316,63.50,20.778
5799,54887,63.50,20.778
5799,41999,63.50,20.778
5799,10354,52.00,17.015
5799,21661,52.50,17.179
5909,61316,63.50,20.778
5909,54887,63.50,20.778
5909,41999,63.50,20.778
5909,10354,52.00,17.015
5909,21661,52.50,17.179
6010,61316,63.50,20.778
6010,54887,63.50,20.778
6010,41999,63.50,20.778
6010,10354,52.00,17.015
6010,21661,52.50,17.179
6119,61316,63.50,20.778
6119,54887,63.50,20.778
6119,41999,63.50,20.778
6119,10354,52.00,17.015
6119,21661,52.50,17.179
6229,61316,63.50,20.778
6229,54887,63.50,20.778
6229,41999,63.50,20.778
6229,10354,54.50,17.833
6229,21661,52.50,17.179
6329,61316,63.50,20.778
6329,54887,63.50,20.778
6329,41999,63.50,20.778
6329,10354,54.50,17.833
6329,21661,52.50,17.179
6430,61316,63.50,20.778
6430,54887,63.50,20.778
6430,41999,63.50,20.778
6430,10354,54.50,17.833
6430,21661,52.50,17.179
6539,61316,63.50,20.778
6539,54887,63.50,20.778
6539,41999,63.50,20.778
6539,10354,52.00,17.015
6539,21661,52.50,17.179
6639,61316,63.50,20.778
6639,54887,63.50,20.778
6639,41999,63.50,20.778
6639,10354,52.00,17.015
6639,21661,52.50,17.179
6739,61316,63.50,20.778
6739,54887,63.50,20.778
6739,41999,63.50,20.778
6739,10354,52.00,17.015
6739,21661,52.50,17.179
6849,61316,63.50,20.778
6849,54887,63.50,20.778
6849,41999,63.50,20.778
6849,10354,52.00,17.015
6849,21661,52.50,17.179
6949,61316,63.50,20.778
6949,54887,63.50,20.778
6949,41999,63.50,20.778
6949,10354,52.00,17.015
6949,21661,52.50,17.179
7059,61316,63.50,20.778
7059,54887,63.50,20.778
7059,41999,63.50,20.778
7059,10354,52.00,17.015
7059,21661,52.50,17.179
7161,61316,63.50,20.778
7161,54887,63.50,20.778
7161,41999,63.50,20.778
7161,10354,52.00,17.015
7161,21661,52.50,17.179
7269,61316,63.50,20.778
7269,54887,63.50,20.778
7269,41999,63.50,20.778
7269,10354,52.00,17.015
7269,21661,52.50,17.179
7370,61316,63.50,20.778
7370,54887,63.50,20.778
7370,41999,63.50,20.778
7370,10354,52.00,17.015
7370,21661,52.50,17.179
7479,61316,63.50,20.778
7479,54887,63.50,20.778
7479,41999,63.50,20.778
7479,10354,52.00,17.015
7479,21661,52.50,17.179
7580,61316,63.50,20.778
7580,54887,63.50,20.778
7580,41999,63.50,20.778
7580,10354,52.00,17.015
7580,21661,52.50,17.179
7690,61316,63.50,20.778
7690,54887,63.50,20.778
7690,41999,63.50,20.778
7690,10354,52.00,17.015
7690,21661,52.50,17.179
7799,61316,63.50,20.778
7799,54887,63.50,20.778
7799,41999,63.50,20.778
7799,10354,52.00,17.015
7799,21661,52.50,17.179
7900,61316,63.50,20.778
7900,54887,63.50,20.778
7900,41999,63.50,20.778
7900,10354,52.00,17.015
7900,21661,52.50,17.179
8009,61316,63.50,20.778
8009,54887,63.50,20.778
8009,41999,63.50,20.778
8009,10354,52.00,17.015
8009,21661,52.50,17.179
8120,61316,63.50,20.778
8120,54887,63.50,20.778
8120,41999,63.50,20.778
8120,10354,52.00,17.015
8120,21661,52.50,17.179
8230,61316,63.50,20.778
8230,54887,63.50,20.778
8230,41999,63.50,20.778
8230,10354,52.00,17.015
8230,21661,52.50,17.179
8339,61316,63.50,20.778
8339,54887,63.50,20.778
8339,41999,63.50,20.778
8339,10354,52.00,17.015
8339,21661,52.50,17.179
8449,61316,63.50,20.778
8449,54887,63.50,20.778
8449,41999,63.50,20.778
8449,10354,52.00,17.015
8449,21661,52.50,17.179
8550,61316,63.50,20.778
8550,54887,63.50,20.778
8550,41999,63.50,20.778
8550,10354,52.00,17.015
8550,21661,52.50,17.179
8659,61316,63.50,20.778
8659,54887,63.50,20.778
8659,41999,63.50,20.778
8659,10354,52.00,17.015
8659,21661,52.50,17.179
8769,61316,63.50,20.778
8769,54887,63.50,20.778
8769,41999,63.50,20.778
8769,10354,52.00,17.015
8769,21661,52.50,17.179
8869,61316,63.50,20.778
8869,54887,63.50,20.778
8869,41999,63.50,20.778
8869,10354,52.00,17.015
8869,21661,52.50,17.179
8969,61316,63.50,20.778
8969,54887,63.50,20.778
8969,41999,63.50,20.778
8969,10354,52.00,17.015
8969,21661,52.50,17.179
9079,61316,63.50,20.778
9079,54887,63.50,20.778
9079,41999,63.50,20.778
9079,10354,52.00,17.015
9079,21661,52.50,17.179
9180,61316,63.50,20.778
9180,54887,63.50,20.778
9180,41999,63.50,20.778
9180,10354,52.00,17.015
9180,21661,52.50,17.179
9289,61316,63.50,20.778
9289,54887,63.50,20.778
9289,41999,63.50,20.778
9289,10354,52.00,17.015
9289,21661,52.50,17.179
9399,61316,63.50,20.778
9399,54887,63.50,20.778
9399,41999,63.50,20.778
9399,10354,52.00,17.015
9399,21661,52.50,17.179
9511,61316,63.50,20.778
9511,54887,63.50,20.778
9511,41999,63.50,20.778
9511,10354,52.00,17.015
9511,21661,52.50,17.179
9619,61316,63.50,20.778
9619,54887,63.50,20.778
9619,41999,63.50,20.778
9619,10354,52.00,17.015
9619,21661,52.50,17.179
9729,61316,63.50,20.778
9729,54887,63.50,20.778
9729,41999,63.50,20.778
9729,10354,52.00,17.015
9729,21661,52.50,17.179
9829,61316,63.50,20.778
9829,54887,63.50,20.778
9829,41999,63.50,20.778
9829,10354,52.00,17.015
9829,21661,52.50,17.179
9939,61316,63.50,20.778
9939,54887,63.50,20.778
9939,41999,63.50,20.778
9939,10354,52.00,17.015
9939,21661,52.50,17.179
10039,61316,63.50,20.778
10039,54887,63.50,20.778
10039,41999,63.50,20.778
10039,10354,52.00,17.015
10039,21661,52.50,17.179
10139,61316,63.50,20.778
10139,54887,63.50,20.778
10139,41999,63.50,20.778
10139,10354,54.50,17.833
10139,21661,52.50,17.179
10249,61316,63.50,20.778
10249,54887,63.50,20.778
10249,41999,63.50,20.778
10249,10354,54.50,17.833
10249,21661,52.50,17.179
10349,61316,63.50,20.778
10349,54887,63.50,20.778
10349,41999,63.50,20.778
10349,10354,52.00,17.015
10349,21661,52.50,17.179
10459,61316,63.50,20.778
10459,54887,63.50,20.778
10459,41999,63.50,20.778
10459,10354,52.00,17.015
10459,21661,52.50,17.179
10560,61316,63.50,20.778
10560,54887,63.50,20.778
10560,41999,63.50,20.778
10560,10354,52.00,17.015
10560,21661,52.50,17.179
10670,61316,63.50,20.778
10670,54887,63.50,20.778
10670,41999,63.50,20.778
10670,10354,52.00,17.015
10670,21661,52.50,17.179
10770,61316,63.50,20.778
10770,54887,63.50,20.778
10770,41999,63.50,20.778
10770,10354,52.00,17.015
10770,21661,52.50,17.179
10879,61316,63.50,20.778
10879,54887,63.50,20.778
10879,41999,63.50,20.778
10879,10354,52.00,17.015
10879,21661,52.50,17.179
10989,61316,63.50,20.778
10989,54887,63.50,20.778
10989,41999,63.50,20.778
10989,10354,52.00,17.015
10989,21661,52.50,17.179
11100,61316,63.50,20.778
11100,54887,63.50,20.778
11100,41999,63.50,20.778
11100,10354,52.00,17.015
11100,21661,52.50,17.179
11200,61316,63.50,20.778
11200,54887,63.50,20.778
11200,41999,63.50,20.778
11200,10354,52.00,17.015
11200,21661,52.50,17.179
11309,61316,63.50,20.778
11309,54887,63.50,20.778
11309,41999,63.50,20.778
11309,10354,52.00,17.015
11309,21661,52.50,17.179
11409,61316,63.50,20.778
11409,54887,63.50,20.778
11409,41999,63.50,20.778
11409,10354,52.00,17.015
11409,21661,52.50,17.179
11520,61316,63.50,20.778
11520,54887,63.50,20.778
11520,41999,63.50,20.778
11520,10354,52.00,17.015
11520,21661,52.50,17.179
11629,61316,63.50,20.778
11629,54887,63.50,20.778
11629,41999,63.50,20.778
11629,10354,52.00,17.015
11629,21661,52.50,17.179
11740,61316,63.50,20.778
11740,54887,63.50,20.778
11740,41999,63.50,20.778
11740,10354,52.00,17.015
11740,21661,52.50,17.179
11840,61316,63.50,20.778
11840,54887,63.50,20.778
11840,41999,63.50,20.778
11840,10354,52.00,17.015
11840,21661,52.50,17.179
11940,61316,63.50,20.778
11940,54887,63.50,20.778
11940,41999,63.50,20.778
11940,10354,52.00,17.015
11940,21661,52.50,17.179
12050,61316,63.50,20.778
12050,54887,63.50,20.778
12050,41999,63.50,20.778
12050,10354,52.00,17.015
12050,21661,52.50,17.179
12159,61316,63.50,20.778
12159,54887,63.50,20.778
12159,41999,63.50,20.778
