Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
400,44140,11.00,3.708
400,30253,63.50,20.778
400,47289,63.50,20.778
410,59197,63.50,20.778
410,49903,55.50,18.160
410,50583,63.50,20.778
410,44140,11.00,3.708
410,30253,63.50,20.778
410,47289,63.50,20.778
420,59197,63.50,20.778
420,49903,55.50,18.160
420,50583,63.50,20.778
420,44140,11.00,3.708
420,30253,63.50,20.778
420,47289,63.50,20.778
430,59197,63.50,20.778
430,49903,55.50,18.160
430,50583,63.50,20.778
430,44140,11.00,3.708
430,30253,63.50,20.778
430,47289,63.50,20.778
440,59197,63.50,20.778
440,49903,55.50,18.160
440,50583,63.50,20.778
440,44140,11.00,3.708
440,30253,63.50,20.778
440,47289,63.50,20.778
450,59197,63.50,20.778
450,49903,55.50,18.160
450,50583,63.50,20.778
450,44140,11.00,3.708
450,30253,63.50,20.778
450,47289,63.50,20.778
460,59197,63.50,20.778
460,49903,55.50,18.160
460,50583,63.50,20.778
460,44140,11.00,3.708
460,30253,63.50,20.778
460,47289,63.50,20.778
470,59197,63.50,20.778
470,49903,55.50,18.160
470,50583,63.50,20.778
470,44140,11.00,3.708
470,30253,63.50,20.778
470,47289,63.50,20.778
480,59197,63.50,20.778
480,49903,55.50,18.160
480,50583,63.50,20.778
480,44140,11.00,3.708
480,30253,63.50,20.778
480,47289,63.50,20.778
490,59197,63.50,20.778
490,49903,55.50,18.160
490,50583,63.50,20.778
490,44140,11.00,3.708
490,30253,63.50,20.778
490,47289,63.50,20.778
500,59197,63.50,20.778
500,49903,55.50,18.160
500,50583,63.50,20.778
500,44140,11.00,3.708
500,30253,63.50,20.778
500,47289,63.50,20.778
510,59197,63.50,20.778
510,49903,55.50,18.160
510,50583,63.50,20.778
510,44140,11.00,3.708
510,30253,63.50,20.778
510,47289,63.50,20.778
521,59197,63.50,20.778
521,49903,55.50,18.160
521,50583,63.50,20.778
521,44140,11.00,3.708
521,30253,63.50,20.778
521,47289,63.50,20.778
530,59197,63.50,20.778
530,49903,55.50,18.160
530,50583,63.50,20.778
530,44140,11.00,3.708
530,30253,63.50,20.778
530,47289,63.50,20.778
540,59197,63.50,20.778
540,49903,55.50,18.160
540,50583,63.50,20.778
540,44140,11.00,3.708
540,30253,63.50,20.778
540,47289,63.50,20.778
550,59197,63.50,20.778
550,49903,55.50,18.160
550,50583,63.50,20.778
550,44140,11.00,3.708
550,30253,63.50,20.778
550,47289,63.50,20.778
560,59197,63.50,20.778
560,49903,55.50,18.160
560,50583,63.50,20.778
560,44140,11.00,3.708
560,30253,63.50,20.778
560,47289,63.50,20.778
570,59197,63.50,20.778
570,49903,55.50,18.160
570,50583,63.50,20.778
