[UE 6 | RB 1] Throughput = 2.15436 Mbps
[UE 7 | RB 1] Throughput = 2.09452 Mbps
[UE 10 | RB 1] Throughput = 2.15436 Mbps
[UE 3 | RB 1] Throughput = 6.29637 Mbps
[UE 8 | RB 1] Throughput = 6.23033 Mbps
[UE 6 | RB 1] Throughput = 1.83653 Mbps
[UE 7 | RB 1] Throughput = 1.95501 Mbps
[UE 10 | RB 1] Throughput = 2.01426 Mbps
[UE 6 | RB 1] Throughput = 1.78953 Mbps
[UE 7 | RB 1] Throughput = 2.07816 Mbps
[UE 10 | RB 1] Throughput = 1.26999 Mbps
[UE 6 | RB 1] Throughput = 1.19824 Mbps
[UE 7 | RB 1] Throughput = 0.95860 Mbps
[UE 10 | RB 1] Throughput = 1.07842 Mbps
[UE 6 | RB 1] Throughput = 0.74162 Mbps
[UE 7 | RB 1] Throughput = 1.02686 Mbps
[UE 10 | RB 1] Throughput = 0.96981 Mbps
[UE 6 | RB 1] Throughput = 1.37135 Mbps
[UE 7 | RB 1] Throughput = 0.68568 Mbps
[UE 10 | RB 1] Throughput = 1.19993 Mbps
[UE 6 | RB 1] Throughput = 1.07795 Mbps
[UE 7 | RB 1] Throughput = 1.43727 Mbps
[UE 10 | RB 1] Throughput = 1.01806 Mbps
[UE 6 | RB 1] Throughput = 1.07812 Mbps
[UE 7 | RB 1] Throughput = 1.19791 Mbps
[UE 10 | RB 1] Throughput = 0.95833 Mbps
[UE 3 | RB 1] Throughput = 1.00256 Mbps
[UE 8 | RB 1] Throughput = 1.04004 Mbps
[UE 6 | RB 1] Throughput = 1.31380 Mbps
[UE 7 | RB 1] Throughput = 0.91395 Mbps
[UE 10 | RB 1] Throughput = 1.25668 Mbps
[UE 6 | RB 1] Throughput = 0.79934 Mbps
[UE 7 | RB 1] Throughput = 1.31320 Mbps
[UE 10 | RB 1] Throughput = 0.79934 Mbps
[UE 6 | RB 1] Throughput = 0.95743 Mbps
[UE 7 | RB 1] Throughput = 0.83775 Mbps
[UE 10 | RB 1] Throughput = 1.19679 Mbps
[UE 6 | RB 1] Throughput = 1.25689 Mbps
[UE 7 | RB 1] Throughput = 1.13719 Mbps
[UE 10 | RB 1] Throughput = 1.01749 Mbps
[UE 6 | RB 1] Throughput = 0.97016 Mbps
[UE 7 | RB 1] Throughput = 1.08429 Mbps
[UE 10 | RB 1] Throughput = 1.25550 Mbps
[UE 3 | RB 1] Throughput = 1.11085 Mbps
[UE 8 | RB 1] Throughput = 1.03818 Mbps
[UE 6 | RB 1] Throughput = 0.22868 Mbps
[UE 7 | RB 1] Throughput = 0.91472 Mbps
[UE 10 | RB 1] Throughput = 0.91472 Mbps
[UE 3 | RB 1] Throughput = 6.34028 Mbps
[UE 8 | RB 1] Throughput = 6.86379 Mbps
[UE 6 | RB 1] Throughput = 1.91656 Mbps
