[UE 16 | RB 1] Throughput = 1.20141 Mbps
[UE 20 | RB 1] Throughput = 1.08699 Mbps
[UE 3 | RB 1] Throughput = 1.59705 Mbps
[UE 12 | RB 1] Throughput = 1.08371 Mbps
[UE 16 | RB 1] Throughput = 1.19779 Mbps
[UE 20 | RB 1] Throughput = 0.96964 Mbps
[UE 3 | RB 1] Throughput = 1.02835 Mbps
[UE 12 | RB 1] Throughput = 1.02835 Mbps
[UE 16 | RB 1] Throughput = 1.14261 Mbps
[UE 20 | RB 1] Throughput = 1.14261 Mbps
[UE 3 | RB 1] Throughput = 1.01748 Mbps
[UE 12 | RB 1] Throughput = 1.25689 Mbps
[UE 16 | RB 1] Throughput = 0.95763 Mbps
[UE 20 | RB 1] Throughput = 1.07733 Mbps
[UE 3 | RB 1] Throughput = 1.19809 Mbps
[UE 12 | RB 1] Throughput = 1.07828 Mbps
[UE 16 | RB 1] Throughput = 0.95847 Mbps
[UE 20 | RB 1] Throughput = 1.07828 Mbps
[UE 3 | RB 1] Throughput = 0.90845 Mbps
[UE 12 | RB 1] Throughput = 0.90845 Mbps
[UE 16 | RB 1] Throughput = 0.96523 Mbps
[UE 20 | RB 1] Throughput = 0.85167 Mbps
[UE 3 | RB 1] Throughput = 1.32188 Mbps
[UE 12 | RB 1] Throughput = 1.09199 Mbps
[UE 16 | RB 1] Throughput = 1.14946 Mbps
[UE 20 | RB 1] Throughput = 1.37935 Mbps
[UE 3 | RB 1] Throughput = 1.01864 Mbps
[UE 12 | RB 1] Throughput = 1.25832 Mbps
[UE 16 | RB 1] Throughput = 1.19840 Mbps
[UE 20 | RB 1] Throughput = 0.71904 Mbps
[UE 3 | RB 1] Throughput = 0.59522 Mbps
[UE 12 | RB 1] Throughput = 0.83330 Mbps
[UE 16 | RB 1] Throughput = 1.07139 Mbps
[UE 20 | RB 1] Throughput = 1.30947 Mbps
[UE 3 | RB 1] Throughput = 1.60696 Mbps
[UE 12 | RB 1] Throughput = 1.09044 Mbps
[UE 16 | RB 1] Throughput = 1.20522 Mbps
[UE 20 | RB 1] Throughput = 1.09044 Mbps
[UE 3 | RB 1] Throughput = 1.01766 Mbps
[UE 12 | RB 1] Throughput = 1.01766 Mbps
[UE 16 | RB 1] Throughput = 0.77821 Mbps
[UE 20 | RB 1] Throughput = 1.07753 Mbps
[UE 3 | RB 1] Throughput = 0.85573 Mbps
[UE 12 | RB 1] Throughput = 0.96983 Mbps
[UE 16 | RB 1] Throughput = 1.08393 Mbps
[UE 20 | RB 1] Throughput = 1.19802 Mbps
[UE 3 | RB 1] Throughput = 0.71870 Mbps
[UE 12 | RB 1] Throughput = 1.01815 Mbps
[UE 16 | RB 1] Throughput = 1.13793 Mbps
[UE 20 | RB 1] Throughput = 1.07804 Mbps
[UE 3 | RB 1] Throughput = 1.02763 Mbps
[UE 12 | RB 1] Throughput = 1.25599 Mbps
[UE 16 | RB 1] Throughput = 1.02763 Mbps
[UE 20 | RB 1] Throughput = 0.99157 Mbps
