Stream_ID,Time_Start,Time_End,KBytes,Kbps,Latency_ms,Lost,Total
2,0.0,1.0,74.6,612.0,16.877,6266,6318
1,0.0,1.0,84.7,694.0,12.82,7400,7459
3,0.0,1.0,73.2,600.0,15.948,6264,6315
4,0.0,1.0,86.1,706.0,12.338,7397,7457
6,0.0,1.0,74.6,612.0,15.847,6312,6364
5,0.0,1.0,84.7,694.0,13.186,7431,7490
7,0.0,1.0,73.2,600.0,15.782,6343,6394
10,0.0,1.0,76.1,623.0,15.235,6344,6397
9,0.0,1.0,84.7,694.0,12.937,7402,7461
8,0.0,1.0,84.7,694.0,12.558,7397,7456
1,1.0,2.0,63.2,517.0,16.866,0,44
2,1.0,2.0,86.1,706.0,14.344,0,60
4,1.0,2.0,63.2,517.0,16.574,0,44
5,1.0,2.0,64.6,529.0,17.195,0,45
3,1.0,2.0,84.7,694.0,14.44,0,59
6,1.0,2.0,84.7,694.0,14.777,0,59
9,1.0,2.0,63.2,517.0,17.846,0,44
8,1.0,2.0,64.6,529.0,16.647,0,45
7,1.0,2.0,84.7,694.0,14.964,0,59
10,1.0,2.0,84.7,694.0,14.766,0,59
1,2.0,3.0,73.2,600.0,14.159,0,51
2,2.0,3.0,73.2,600.0,15.369,0,51
3,2.0,3.0,76.1,623.0,15.284,0,53
5,2.0,3.0,73.2,600.0,14.497,0,51
6,2.0,3.0,73.2,600.0,15.446,0,51
7,2.0,3.0,76.1,623.0,15.223,0,53
9,2.0,3.0,76.1,623.0,22.175,0,53
4,2.0,3.0,84.7,694.0,14.521,0,59
8,2.0,3.0,84.7,694.0,14.436,0,59
10,2.0,3.0,84.7,694.0,14.47,0,59
2,3.0,4.0,84.7,694.0,15.109,0,59
3,3.0,4.0,84.7,694.0,14.427,0,59
6,3.0,4.0,84.7,694.0,14.611,0,59
4,3.0,4.0,74.6,612.0,15.586,0,52
1,3.0,4.0,84.7,694.0,14.787,0,59
7,3.0,4.0,84.7,694.0,13.834,0,59
10,3.0,4.0,73.2,600.0,13.534,0,51
5,3.0,4.0,86.1,706.0,14.532,0,60
8,3.0,4.0,74.6,612.0,15.137,0,52
9,3.0,4.0,81.8,670.0,15.64,0,57
1,4.0,5.0,66.0,541.0,22.072,0,46
3,4.0,5.0,84.7,694.0,14.249,0,59
2,4.0,5.0,84.7,694.0,14.639,0,59
4,4.0,5.0,73.2,600.0,15.577,0,51
7,4.0,5.0,86.1,706.0,13.297,0,60
6,4.0,5.0,86.1,706.0,13.819,0,60
5,4.0,5.0,74.6,612.0,15.188,0,52
10,4.0,5.0,84.7,694.0,14.119,0,59
8,4.0,5.0,73.2,600.0,14.89,0,51
9,4.0,5.0,77.5,635.0,14.422,0,54
4,5.0,6.0,77.5,635.0,12.808,0,54
1,5.0,6.0,83.3,682.0,13.23,0,58
2,5.0,6.0,84.7,694.0,13.855,0,59
3,5.0,6.0,84.7,694.0,13.32,0,59
5,5.0,6.0,73.2,600.0,12.938,0,51
6,5.0,6.0,84.7,694.0,13.043,0,59
7,5.0,6.0,84.7,694.0,12.629,0,59
9,5.0,6.0,74.6,612.0,19.257,0,52
10,5.0,6.0,86.1,706.0,12.869,0,60
8,5.0,6.0,84.7,694.0,12.52,0,59
1,6.0,7.0,84.7,694.0,14.511,0,59
4,6.0,7.0,84.7,694.0,14.594,0,59
2,6.0,7.0,84.7,694.0,15.112,0,59
5,6.0,7.0,84.7,694.0,14.695,0,59
3,6.0,7.0,86.1,706.0,14.269,0,60
8,6.0,7.0,76.1,623.0,14.576,0,53
6,6.0,7.0,84.7,694.0,15.011,0,59
9,6.0,7.0,83.3,682.0,14.108,0,58
7,6.0,7.0,84.7,694.0,15.168,0,59
10,6.0,7.0,84.7,694.0,14.88,0,59
1,7.0,8.0,84.7,694.0,13.372,0,59
4,7.0,8.0,84.7,694.0,13.682,0,59
2,7.0,8.0,86.1,706.0,14.309,0,60
3,7.0,8.0,84.7,694.0,13.595,0,59
5,7.0,8.0,86.1,706.0,12.927,0,60
8,7.0,8.0,84.7,694.0,14.332,0,59
6,7.0,8.0,84.7,694.0,14.061,0,59
7,7.0,8.0,84.7,694.0,13.789,0,59
10,7.0,8.0,84.7,694.0,13.301,0,59
9,7.0,8.0,84.7,694.0,13.726,0,59
2,8.0,9.0,76.1,623.0,15.85,0,53
1,8.0,9.0,84.7,694.0,13.185,0,59
4,8.0,9.0,84.7,694.0,13.026,0,59
3,8.0,9.0,73.2,600.0,15.384,0,51
6,8.0,9.0,76.1,623.0,15.655,0,53
5,8.0,9.0,84.7,694.0,12.701,0,59
8,8.0,9.0,84.7,694.0,13.618,0,59
10,8.0,9.0,74.6,612.0,16.202,0,52
7,8.0,9.0,73.2,600.0,15.517,0,51
9,8.0,9.0,84.7,694.0,12.807,0,59
2,9.0,10.0,73.2,600.0,14.502,0,51
3,9.0,10.0,74.6,612.0,14.945,0,52
1,9.0,10.0,76.1,623.0,14.214,0,53
4,9.0,10.0,73.2,600.0,14.378,0,51
6,9.0,10.0,74.6,612.0,22.582,0,52
5,9.0,10.0,74.6,612.0,15.71,0,52
8,9.0,10.0,73.2,600.0,16.211,0,51
9,9.0,10.0,76.1,623.0,14.592,0,53
7,9.0,10.0,84.7,694.0,13.928,0,59
10,9.0,10.0,86.1,706.0,13.755,0,60
1,10.0,11.0,93.3,764.0,12.774,0,65
4,10.0,11.0,97.6,800.0,11.91,0,68
2,10.0,11.0,84.7,694.0,14.939,0,59
3,10.0,11.0,84.7,694.0,15.614,0,59
5,10.0,11.0,94.7,776.0,12.303,0,66
8,10.0,11.0,96.2,788.0,13.444,0,67
6,10.0,11.0,83.3,682.0,15.822,0,58
9,10.0,11.0,94.7,776.0,12.501,0,66
7,10.0,11.0,76.1,623.0,14.759,0,53
10,10.0,11.0,71.8,588.0,15.782,0,50
1,11.0,12.0,76.1,623.0,14.56,0,53
4,11.0,12.0,71.8,588.0,14.107,0,50
5,11.0,12.0,74.6,612.0,14.288,0,52
9,11.0,12.0,81.8,670.0,15.825,0,57
8,11.0,12.0,73.2,600.0,14.689,0,51
2,11.0,12.0,74.6,612.0,15.891,0,52
3,11.0,12.0,73.2,600.0,15.425,0,51
6,11.0,12.0,76.1,623.0,15.981,0,53
10,11.0,12.0,76.1,623.0,17.116,0,53
7,11.0,12.0,73.2,600.0,15.63,0,51
3,12.0,13.0,76.1,623.0,13.751,0,53
2,12.0,13.0,73.2,600.0,14.171,0,51
1,12.0,13.0,84.7,694.0,14.922,0,59
6,12.0,13.0,73.2,600.0,13.489,0,51
4,12.0,13.0,86.1,706.0,13.892,0,60
10,12.0,13.0,74.6,612.0,22.813,0,52
5,12.0,13.0,86.1,706.0,13.757,0,60
8,12.0,13.0,86.1,706.0,14.298,0,60
9,12.0,13.0,77.5,635.0,14.323,0,54
7,12.0,13.0,84.7,694.0,13.69,0,59
1,13.0,14.0,73.2,600.0,14.134,0,51
3,13.0,14.0,73.2,600.0,15.104,0,51
5,13.0,14.0,74.6,612.0,22.26,0,52
7,13.0,14.0,63.2,517.0,14.749,0,44
4,13.0,14.0,84.7,694.0,13.86,0,59
2,13.0,14.0,86.1,706.0,14.869,0,60
8,13.0,14.0,84.7,694.0,14.817,0,59
6,13.0,14.0,84.7,694.0,15.381,0,59
9,13.0,14.0,84.7,694.0,14.578,0,59
10,13.0,14.0,83.3,682.0,16.218,0,58
3,14.0,15.0,84.7,694.0,13.339,0,59
7,14.0,15.0,84.7,694.0,12.645,0,59
4,14.0,15.0,74.6,612.0,14.805,0,52
1,14.0,15.0,84.7,694.0,15.141,0,59
2,14.0,15.0,84.7,694.0,12.3,0,59
5,14.0,15.0,83.3,682.0,14.426,0,58
8,14.0,15.0,76.1,623.0,14.448,0,53
9,14.0,15.0,73.2,600.0,14.315,0,51
6,14.0,15.0,84.7,694.0,12.723,0,59
10,14.0,15.0,84.7,694.0,13.022,0,59
1,15.0,16.0,76.1,623.0,14.365,0,53
4,15.0,16.0,81.8,670.0,16.35,0,57
2,15.0,16.0,74.6,612.0,14.37,0,52
3,15.0,16.0,84.7,694.0,14.381,0,59
6,15.0,16.0,76.1,623.0,14.271,0,53
7,15.0,16.0,84.7,694.0,14.513,0,59
10,15.0,16.0,76.1,623.0,14.595,0,53
5,15.0,16.0,84.7,694.0,14.111,0,59
8,15.0,16.0,84.7,694.0,14.317,0,59
9,15.0,16.0,84.7,694.0,14.558,0,59
3,16.0,17.0,76.1,623.0,15.714,0,53
1,16.0,17.0,86.1,706.0,14.974,0,60
4,16.0,17.0,76.1,623.0,15.933,0,53
5,16.0,17.0,74.6,612.0,16.007,0,52
7,16.0,17.0,76.1,623.0,15.987,0,53
8,16.0,17.0,73.2,600.0,14.46,0,51
2,16.0,17.0,83.3,682.0,14.653,0,58
10,16.0,17.0,76.1,623.0,18.57,0,53
9,16.0,17.0,76.1,623.0,15.126,0,53
6,16.0,17.0,83.3,682.0,14.639,0,58
1,17.0,18.0,74.6,612.0,21.646,0,52
3,17.0,18.0,84.7,694.0,13.183,0,59
6,17.0,18.0,74.6,612.0,12.843,0,52
4,17.0,18.0,86.1,706.0,13.749,0,60
7,17.0,18.0,84.7,694.0,13.211,0,59
5,17.0,18.0,86.1,706.0,13.695,0,60
2,17.0,18.0,84.7,694.0,13.48,0,59
10,17.0,18.0,84.7,694.0,14.171,0,59
9,17.0,18.0,84.7,694.0,14.015,0,59
8,17.0,18.0,84.7,694.0,14.056,0,59
1,18.0,19.0,83.3,682.0,13.602,0,58
3,18.0,19.0,73.2,600.0,15.263,0,51
5,18.0,19.0,74.6,612.0,22.311,0,52
7,18.0,19.0,74.6,612.0,24.253,0,52
2,18.0,19.0,74.6,612.0,15.616,0,52
10,18.0,19.0,73.2,600.0,15.531,0,51
4,18.0,19.0,84.7,694.0,13.85,0,59
6,18.0,19.0,84.7,694.0,15.023,0,59
9,18.0,19.0,84.7,694.0,14.466,0,59
8,18.0,19.0,86.1,706.0,13.788,0,60
1,19.0,20.0,84.7,694.0,12.811,0,59
5,19.0,20.0,83.3,682.0,13.809,0,58
2,19.0,20.0,73.2,600.0,15.541,0,51
3,19.0,20.0,84.7,694.0,15.491,0,59
4,19.0,20.0,84.7,694.0,12.957,0,59
6,19.0,20.0,76.1,623.0,14.857,0,53
7,19.0,20.0,83.3,682.0,15.985,0,58
8,19.0,20.0,84.7,694.0,12.759,0,59
9,19.0,20.0,84.7,694.0,13.194,0,59
10,19.0,20.0,84.7,694.0,15.539,0,59
2,20.0,21.0,76.1,623.0,16.46,0,53
1,20.0,21.0,84.7,694.0,14.881,0,59
4,20.0,21.0,74.6,612.0,15.218,0,52
3,20.0,21.0,76.1,623.0,16.662,0,53
5,20.0,21.0,81.8,670.0,16.171,0,57
8,20.0,21.0,74.6,612.0,14.773,0,52
9,20.0,21.0,73.2,600.0,14.983,0,51
6,20.0,21.0,73.2,600.0,16.075,0,51
7,20.0,21.0,76.1,623.0,16.619,0,53
10,20.0,21.0,76.1,623.0,17.029,0,53
4,21.0,22.0,86.1,706.0,13.505,0,60
1,21.0,22.0,84.7,694.0,13.99,0,59
2,21.0,22.0,73.2,600.0,15.435,0,51
8,21.0,22.0,84.7,694.0,13.992,0,59
5,21.0,22.0,86.1,706.0,14.096,0,60
10,21.0,22.0,64.6,529.0,15.468,0,45
9,21.0,22.0,86.1,706.0,13.492,0,60
3,21.0,22.0,73.2,600.0,15.004,0,51
6,21.0,22.0,74.6,612.0,16.087,0,52
7,21.0,22.0,73.2,600.0,15.513,0,51
2,22.0,23.0,74.6,612.0,15.53,0,52
4,22.0,23.0,84.7,694.0,13.581,0,59
1,22.0,23.0,86.1,706.0,13.154,0,60
3,22.0,23.0,74.6,612.0,15.047,0,52
5,22.0,23.0,84.7,694.0,13.756,0,59
8,22.0,23.0,86.1,706.0,12.868,0,60
6,22.0,23.0,73.2,600.0,15.382,0,51
7,22.0,23.0,76.1,623.0,14.728,0,53
9,22.0,23.0,84.7,694.0,13.266,0,59
10,22.0,23.0,84.7,694.0,14.736,0,59
2,23.0,24.0,73.2,600.0,15.269,0,51
4,23.0,24.0,81.8,670.0,17.129,0,57
3,23.0,24.0,73.2,600.0,15.066,0,51
6,23.0,24.0,76.1,623.0,15.582,0,53
1,23.0,24.0,81.8,670.0,15.261,0,57
7,23.0,24.0,73.2,600.0,15.133,0,51
5,23.0,24.0,84.7,694.0,15.159,0,59
8,23.0,24.0,84.7,694.0,14.075,0,59
