Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
3510,1,1,0.65169,0.01708
3510,5,1,1.08616,0.02846
3510,6,1,0.97754,0.02562
3510,18,1,0.76031,0.01992
3510,20,1,0.86893,0.02277
3620,1,1,0.98026,0.02569
3620,5,1,0.98026,0.02569
3620,6,1,0.87134,0.02283
3620,18,1,1.41593,0.03711
3620,20,1,1.08918,0.02854
3732,1,1,1.72076,0.04509
3732,5,1,1.50566,0.03946
3732,6,1,1.18302,0.03100
3732,18,1,1.07547,0.02818
3732,20,1,1.39812,0.03664
3840,1,1,0.77368,0.02027
3840,5,1,0.44210,0.01159
3840,6,1,1.21579,0.03186
3840,18,1,0.55263,0.01448
3840,20,1,0.77368,0.02027
3941,1,1,0.95304,0.02497
3941,5,1,1.54869,0.04058
3941,6,1,0.95304,0.02497
3941,18,1,1.66782,0.04371
3941,20,1,1.42956,0.03746
4050,1,1,1.64290,0.04305
4050,5,1,0.98574,0.02583
4050,6,1,0.76669,0.02009
4050,18,1,0.76669,0.02009
4050,20,1,1.31432,0.03444
4162,1,1,0.43061,0.01128
4162,5,1,0.86123,0.02257
4162,6,1,1.18419,0.03103
4162,18,1,0.96888,0.02539
4162,20,1,0.75358,0.01975
4270,1,1,0.77278,0.02025
4270,5,1,1.10397,0.02893
4270,6,1,1.32476,0.03472
4270,18,1,1.10397,0.02893
4270,20,1,0.33119,0.00868
4371,1,1,1.66303,0.04358
4371,5,1,1.18788,0.03113
4371,6,1,1.18788,0.03113
4371,18,1,1.18788,0.03113
4371,20,1,2.73211,0.07160
4471,1,1,1.43415,0.03758
4471,5,1,1.07561,0.02819
4471,6,1,0.71708,0.01879
4471,18,1,1.19513,0.03132
4471,20,1,0.23903,0.00626
4581,1,1,1.09743,0.02876
4581,5,1,1.09743,0.02876
4581,6,1,0.87794,0.02301
4581,18,1,0.98768,0.02588
4581,20,1,0.00000,0.00000
4690,1,1,0.76511,0.02005
4690,5,1,0.98371,0.02578
4690,6,1,1.53022,0.04010
4690,18,1,1.09301,0.02864
4690,20,1,1.53022,0.04010
4792,1,1,0.82557,0.02163
4792,5,1,0.94351,0.02473
4792,6,1,0.94351,0.02473
4792,18,1,0.58969,0.01545
4792,20,1,2.24084,0.05872
4900,1,1,1.43920,0.03771
4900,5,1,1.10708,0.02901
4900,6,1,0.88566,0.02321
4900,18,1,1.54991,0.04062
4900,20,1,0.55354,0.01451
5011,1,1,1.08119,0.02833
5011,5,1,1.08119,0.02833
5011,6,1,1.08119,0.02833
5011,18,1,0.75683,0.01983
5011,20,1,1.08119,0.02833
5120,1,1,1.09296,0.02864
5120,5,1,0.98367,0.02578
5120,6,1,0.98367,0.02578
5120,18,1,1.42085,0.03723
5120,20,1,0.98367,0.02578
5230,1,1,1.09212,0.02862
5230,5,1,1.52896,0.04007
5230,6,1,1.20133,0.03148
5230,18,1,1.09212,0.02862
5230,20,1,1.52896,0.04007
5334,1,1,1.03691,0.02717
5334,5,1,0.57606,0.01510
5334,6,1,0.92170,0.02415
5334,18,1,0.80648,0.02113
5334,20,1,0.57606,0.01510
5440,1,1,1.13161,0.02965
5440,5,1,1.58426,0.04152
5440,6,1,1.35793,0.03559
5440,18,1,1.58426,0.04152
5440,20,1,1.58426,0.04152
5541,1,1,1.19417,0.03129
5541,5,1,0.59709,0.01565
5541,6,1,0.59709,0.01565
5541,18,1,0.59709,0.01565
