Time_ms,UE_ID,Mean_Throughput,Std_Throughput
0,1,0.2531841379310345,0.24994360807586233
0,2,0.18761206896551721,0.22580673054595207
0,3,0.22743827586206894,0.26727205769013934
0,4,0.22120275862068967,0.1934730610058552
0,5,0.22619275862068966,0.2120706217597025
0,6,0.23661689655172413,0.27711719155960307
0,7,0.28478172413793107,0.38243415467865616
0,8,0.22350758620689656,0.21745446757646875
0,9,0.22419413793103446,0.25038186746187235
0,10,0.1920137931034483,0.19233716243346125
100,1,0.2078855172413793,0.22168244923097621
100,2,0.19649275862068966,0.20419546662969337
100,3,0.23829896551724136,0.2502974668033565
100,4,0.22160275862068965,0.2691273806197747
100,5,0.22875206896551725,0.22964856099482764
100,6,0.22367586206896553,0.23301406396115787
100,7,0.18404206896551725,0.1864697077156676
100,8,0.2240313793103448,0.2838259291830135
100,9,0.2095441379310345,0.2522538056702478
100,10,0.27381,0.37240994034991676
200,1,0.26021827586206897,0.3168898962694069
200,2,0.27000103448275864,0.3403552362746986
200,3,0.23970689655172414,0.24720224516582495
200,4,0.23593206896551724,0.23656972734389856
200,5,0.2452555172413793,0.3242954009253447
200,6,0.19605241379310345,0.24385264868146403
200,7,0.25207931034482756,0.3408306401376646
200,8,0.2067144827586207,0.20269491068715298
200,9,0.27626310344827587,0.290809612413633
200,10,0.1957851724137931,0.2070720384417787
300,1,0.21712689655172415,0.24058052711994454
300,2,0.1975393103448276,0.21095362577609048
300,3,0.20192896551724135,0.22916751499947471
300,4,0.2640496551724138,0.3537711487921733
300,5,0.19491137931034483,0.21953964861116834
300,6,0.22447241379310345,0.24176287707845312
300,7,0.16788620689655173,0.2263018403815986
300,8,0.27018275862068963,0.2764708833015636
300,9,0.2033565517241379,0.231662809831689
300,10,0.24085793103448275,0.32960960433063097
400,1,0.2273951724137931,0.2818606195523481
400,2,0.28264655172413794,0.38388555571639404
400,3,0.23348241379310347,0.2460735644310917
400,4,0.22280620689655173,0.3070066133933297
400,5,0.23014137931034484,0.2436315591761482
400,6,0.23121172413793104,0.273601338291278
400,7,0.3002244827586207,0.4361470397009493
400,8,0.2099206896551724,0.25193179754408357
400,9,0.2737768965517241,0.3747562525839148
400,10,0.2628113793103448,0.3338443441477751
500,1,0.19699777777777777,0.20844748618026507
500,2,0.26151851851851854,0.26311801708188937
500,3,0.24761333333333332,0.3376752906269572
500,4,0.23799222222222222,0.33603387675298607
500,5,0.26753037037037036,0.31641451772442536
500,6,0.22249035714285714,0.2225398358094342
500,7,0.27062035714285715,0.27144883327259467
500,8,0.25179964285714285,0.3364482700151154
500,9,0.2687257142857143,0.3458665657438875
500,10,0.213555,0.33530631201600986
600,1,0.2145064285714286,0.21658707620577242
600,2,0.19381178571428573,0.23143510219135457
600,3,0.19823964285714285,0.22036732458400488
600,4,0.19601642857142856,0.22111589612713461
600,5,0.22186785714285714,0.29041646821427486
600,6,0.2791518518518518,0.28358455567197155
600,7,0.23564925925925925,0.281193214875
600,8,0.23307777777777777,0.27072331865597127
600,9,0.24320629629629628,0.3013715134073678
600,10,0.24181592592592593,0.3545315017061168
700,1,0.27631,0.26946584636006365
700,2,0.2725891304347826,0.2746461793573199
700,3,0.25457869565217395,0.2622194493220646
700,4,0.31657347826086957,0.4636007549076987
700,5,0.27085565217391305,0.2810581120245111
700,6,0.2367808695652174,0.24455043816828548
700,7,0.22082347826086957,0.18778436542066723
700,8,0.24022956521739133,0.23377381927212273
700,9,0.2584608695652174,0.3729840859865331
700,10,0.26798217391304346,0.3699958896203691
800,1,0.23120576923076921,0.2798519126991713
800,2,0.19699615384615385,0.2234223220911809
800,3,0.22954384615384615,0.22695278460643611
800,4,0.2423326923076923,0.2447700282560378
800,5,0.2479480769230769,0.36806179817002727
800,6,0.3105853846153846,0.3836665298430998
800,7,0.32193884615384616,0.4184847803046312
800,8,0.31300307692307694,0.3467652582110178
800,9,0.29074,0.2755372824138323
800,10,0.31642,0.3647265675872818
900,1,0.3197657142857143,0.33934741968330084
900,2,0.26902857142857145,0.26142177622160157
900,3,0.31547857142857144,0.4217343010152923
900,4,0.21768428571428572,0.25411726308087434
900,5,0.2911642857142857,0.2817615218331174
900,6,0.1916595,0.24736349544482955
900,7,0.184182,0.18981029569990193
900,8,0.2081405,0.23912955326999055
900,9,0.174937,0.21631034148332243
900,10,0.156719,0.17983008292625335
1000,1,0.23642703703703705,0.23667448186867604
1000,2,0.22683037037037035,0.25989345398986224
1000,3,0.3294518518518519,0.38630861228215174
1000,4,0.2737896296296296,0.3739448794992435
1000,5,0.24564,0.2251698040112429
1000,6,0.18071962962962965,0.1703912250016117
1000,7,0.21619444444444444,0.3075290551292966
1000,8,0.21749407407407406,0.29422017402277884
1000,9,0.20650518518518518,0.19705535207086383
1000,10,0.2055740740740741,0.18614376952442843
1100,1,0.23292749999999998,0.23755594973468425
1100,2,0.22687749999999998,0.22198413964593922
1100,3,0.20367041666666666,0.22890663438405673
1100,4,0.25071333333333334,0.33097668163845895
1100,5,0.19425375,0.2557287633379741
1100,6,0.2882608,0.35262523837779963
1100,7,0.2695704,0.3025957229742901
1100,8,0.24047159999999998,0.3324726473421034
1100,9,0.2565776,0.2492013787461859
1100,10,0.2851004,0.3585275882164904
1200,1,0.22736857142857142,0.24018151885164601
1200,2,0.25130250000000004,0.27065324407912716
1200,3,0.2104832142857143,0.22988346677543633
1200,4,0.28022642857142854,0.35918384987217167
1200,5,0.2602085714285714,0.29485962370962204
1200,6,0.2493317857142857,0.3212200096859145
1200,7,0.15962892857142857,0.2009080040869874
1200,8,0.24877357142857143,0.26747373395745394
1200,9,0.2714,0.319604069957398
1200,10,0.22489607142857143,0.25148118697531474
1300,1,0.2423357142857143,0.25180581300365934
1300,2,0.24296785714285712,0.2915819034972677
1300,3,0.19282607142857142,0.24533870895890914
1300,4,0.1930192857142857,0.25059159409106385
1300,5,0.23596285714285714,0.2589950515022353
1300,6,0.2313367857142857,0.24766151226958155
1300,7,0.32447571428571426,0.4265698195504726
1300,8,0.21579785714285715,0.21695816769269466
1300,9,0.21776928571428572,0.24221369204544507
1300,10,0.22296535714285715,0.23820562828008945
1400,1,0.25914758620689654,0.23398081622608008
1400,2,0.2733148275862069,0.26228926128037516
1400,3,0.2579027586206897,0.39895373633414605
1400,4,0.25270896551724137,0.32955625421970103
1400,5,0.23960758620689654,0.2963685638170241
1400,6,0.23749275862068966,0.23011283553472744
1400,7,0.1930565517241379,0.23227759655014793
1400,8,0.25226758620689654,0.3664646222708386
1400,9,0.2419051724137931,0.3236689010903039
1400,10,0.2163303448275862,0.2290493320769062
1500,1,0.21214413793103445,0.2090417407996588
1500,2,0.1930844827586207,0.22267740556025056
1500,3,0.2260003448275862,0.2424392356930872
1500,4,0.21363896551724137,0.27701677935699165
1500,5,0.19787,0.25091475944460273
1500,6,0.2380651724137931,0.26139682185493773
1500,7,0.26393241379310345,0.3515895292876052
1500,8,0.2425548275862069,0.24926098338919345
1500,9,0.20150689655172413,0.2178433627321549
1500,10,0.19385137931034482,0.24928308771246022
1600,1,0.2244606896551724,0.24975593286147854
1600,2,0.22992137931034484,0.2118639439715319
1600,3,0.20335965517241378,0.20778219201301634
1600,4,0.25181379310344826,0.3477500937086635
1600,5,0.23159206896551723,0.26901230512720453
1600,6,0.19648379310344827,0.25041376266397
1600,7,0.21185137931034484,0.21050457895807226
1600,8,0.16324862068965518,0.16494894590500545
1600,9,0.24549827586206896,0.2764605412178971
1600,10,0.2487206896551724,0.24915810670179223
1700,1,0.23611275862068964,0.3229493114019217
1700,2,0.23173275862068965,0.31344590184747245
1700,3,0.24153862068965518,0.24218228659604046
1700,4,0.22359206896551723,0.26072158954085367
1700,5,0.24628137931034483,0.34601096728824055
1700,6,0.2629765517241379,0.35013722405116565
1700,7,0.23736827586206896,0.3167463564912667
1700,8,0.2787234482758621,0.36673481474333414
1700,9,0.219561724137931,0.22388724719741288
1700,10,0.22093724137931037,0.2574461415089232
1800,1,0.22726931034482759,0.24953038854346027
1800,2,0.26360689655172415,0.37129367229519705
1800,3,0.23051275862068965,0.25434163675060234
1800,4,0.2504362068965517,0.26709214043383434
1800,5,0.21302655172413792,0.19596502496392895
1800,6,0.26177206896551725,0.34770740192395877
1800,7,0.2085051724137931,0.32241608463754556
1800,8,0.21577034482758622,0.21250139217162048
1800,9,0.2865606896551724,0.3992571132019623
1800,10,0.2696851724137931,0.33405498648768983
1900,1,0.21415,0.2331934847166312
1900,2,0.24825586206896552,0.28304416227251833
1900,3,0.24832448275862068,0.24518230783565065
1900,4,0.25616137931034483,0.23581374832275906
1900,5,0.22635758620689655,0.3318464501376585
1900,6,0.19186137931034483,0.21074256603943758
1900,7,0.2105044827586207,0.2618611260025627
1900,8,0.24310241379310346,0.27663185588502653
1900,9,0.23513551724137932,0.2455382855888292
1900,10,0.22158620689655173,0.31605275730952836
2000,1,0.23124172413793104,0.23528896550031175
2000,2,0.22366,0.19800252431652052
2000,3,0.2434137931034483,0.3374020003583452
2000,4,0.2413396551724138,0.2870037120402398
2000,5,0.2615796551724138,0.3367960638182226
2000,6,0.23584206896551724,0.2767427952266368
2000,7,0.27592689655172414,0.3616993712927851
2000,8,0.22681068965517243,0.22471511265744953
2000,9,0.24064758620689658,0.27207012707670963
2000,10,0.29158482758620685,0.3936235240830715
2100,1,0.19894555555555554,0.21933529735111623
2100,2,0.20653222222222223,0.32099721039206425
2100,3,0.24132259259259262,0.35777315161977014
2100,4,0.22451222222222225,0.23695527559717536
2100,5,0.21948962962962962,0.23965309366603993
2100,6,0.22656827586206896,0.22791125025621214
2100,7,0.26117137931034484,0.43625697112501527
2100,8,0.26460758620689656,0.33436004146145865
2100,9,0.2019551724137931,0.22518492912367272
2100,10,0.22522862068965516,0.3306314034294744
2200,1,0.23161857142857142,0.22098743509973068
2200,2,0.24251,0.2894755650661561
2200,3,0.21883321428571428,0.35184359975603613
2200,4,0.21681464285714286,0.24658220412016074
2200,5,0.19953142857142855,0.24156991807011508
2200,6,0.25199275862068965,0.25419441194398196
2200,7,0.2578524137931034,0.34590507464017145
2200,8,0.21436862068965518,0.3192444482985697
2200,9,0.26290931034482756,0.3305892240047743
2200,10,0.1995155172413793,0.22209944774785345
2300,1,0.23752758620689657,0.24654592110157225
2300,2,0.23788241379310343,0.21093503632051486
2300,3,0.20996344827586208,0.3103363698389661
2300,4,0.23656137931034485,0.24785171039964513
2300,5,0.2862565517241379,0.36425588261036523
2300,6,0.21037068965517242,0.21941658278149215
2300,7,0.25929413793103445,0.2627926741275775
2300,8,0.32064896551724137,0.4366342471463209
2300,9,0.2519310344827586,0.2318265599898958
2300,10,0.2364820689655172,0.26969358079890954
2400,1,0.2613388888888889,0.28571561913544163
2400,2,0.2180088888888889,0.25865131744870107
2400,3,0.21333074074074074,0.23723903695065943
2400,4,0.21734444444444442,0.2444569357911742
2400,5,0.2343940740740741,0.25193590090245727
2400,6,0.263925,0.34196799546448786
2400,7,0.19400076923076923,0.2526702482988146
2400,8,0.12688961538461538,0.12524071074473409
2400,9,0.21308115384615386,0.26424123763450585
2400,10,0.21719115384615384,0.23596111100479117
2500,1,0.2758369565217391,0.3059953588096452
2500,2,0.2572039130434782,0.24632250214153154
2500,3,0.3003895652173913,0.36909659656417443
2500,4,0.3092865217391304,0.4601753300409105
2500,5,0.22710913043478262,0.22160938604000435
2500,6,0.2041176,0.24312343689780302
2500,7,0.1988608,0.1902804228176579
2500,8,0.2124212,0.22417622326568595
2500,9,0.21523959999999998,0.2152518902642514
2500,10,0.2664632,0.3118089676751884
2600,1,0.22052931034482756,0.21278411559490853
2600,2,0.2904148275862069,0.3747538930858556
2600,3,0.19403068965517242,0.21385351880820258
2600,4,0.22040068965517243,0.26967262745689896
2600,5,0.22069655172413793,0.2586929317643364
2600,6,0.18958103448275862,0.21761633890773438
2600,7,0.23735689655172415,0.3204410155785689
