Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,0.71644,0.01877
109,1,1,1.74613,0.04576
210,1,1,0.71844,0.01883
319,1,1,1.20022,0.03145
419,1,1,0.71884,0.01884
529,1,1,1.30882,0.03430
629,1,1,0.71896,0.01884
729,1,1,1.43530,0.03761
830,1,1,0.83529,0.02189
939,1,1,1.31377,0.03443
1041,1,1,1.30348,0.03416
1150,1,1,0.98844,0.02590
1259,1,1,0.65600,0.01719
1360,1,1,1.42500,0.03734
1469,1,1,0.54820,0.01437
1579,1,1,1.20152,0.03149
1679,1,1,1.43424,0.03758
1789,1,1,1.19967,0.03144
1890,1,1,0.95618,0.02506
1999,1,1,0.65478,0.01716
2100,1,1,1.19578,0.03134
2200,1,1,1.43666,0.03765
2309,1,1,1.09184,0.02861
2409,1,1,0.71898,0.01884
2520,1,1,1.30263,0.03414
2629,1,1,1.20296,0.03152
2739,1,1,0.65430,0.01715
2840,1,1,1.43598,0.03763
2949,1,1,0.65421,0.01714
3059,1,1,1.20068,0.03146
3159,1,1,1.43649,0.03764
3260,1,1,0.71760,0.01881
3370,1,1,0.65319,0.01712
3479,1,1,1.41984,0.03721
3580,1,1,1.31546,0.03447
3690,1,1,1.30622,0.03423
3790,1,1,0.71827,0.01882
3890,1,1,0.83721,0.02194
3999,1,1,1.31351,0.03442
4110,1,1,1.19495,0.03131
4210,1,1,0.95858,0.02512
4319,1,1,0.98391,0.02578
4420,1,1,1.31602,0.03449
4530,1,1,0.76272,0.01999
4639,1,1,1.31042,0.03434
4740,1,1,0.95642,0.02506
4849,1,1,0.76441,0.02003
4949,1,1,1.55562,0.04077
5049,1,1,0.83821,0.02197
5150,1,1,1.43674,0.03765
5250,1,1,0.83877,0.02198
5350,1,1,0.71872,0.01883
5460,1,1,1.30876,0.03430
5569,1,1,1.30880,0.03430
5679,1,1,0.98148,0.02572
5789,1,1,1.19667,0.03136
5899,1,1,0.76301,0.02000
6010,1,1,1.30462,0.03419
6110,1,1,0.95603,0.02505
6219,1,1,1.20366,0.03154
6320,1,1,0.83782,0.02196
6430,1,1,1.19704,0.03137
6540,1,1,0.87126,0.02283
6650,1,1,1.19980,0.03144
6750,1,1,0.71892,0.01884
6850,1,1,1.42867,0.03744
6960,1,1,0.65728,0.01722
7060,1,1,1.55727,0.04081
7169,1,1,1.20235,0.03151
7270,1,1,0.71684,0.01879
7370,1,1,1.43565,0.03762
7480,1,1,0.54504,0.01428
7580,1,1,1.31741,0.03452
7690,1,1,1.31079,0.03435
7790,1,1,0.71778,0.01881
7899,1,1,1.31069,0.03435
8000,1,1,0.71749,0.01880
8110,1,1,1.30882,0.03430
8210,1,1,0.71763,0.01881
8320,1,1,1.30685,0.03425
8430,1,1,1.30774,0.03427
8540,1,1,0.65318,0.01712
8650,1,1,1.20005,0.03145
8750,1,1,1.31728,0.03452
8860,1,1,0.65411,0.01714
8960,1,1,1.42728,0.03740
9070,1,1,0.76787,0.02012
9170,1,1,1.31765,0.03453
9280,1,1,1.08992,0.02856
9389,1,1,1.20229,0.03151
9489,1,1,0.95748,0.02509
9590,1,1,1.07724,0.02823
9700,1,1,1.19820,0.03140
9810,1,1,0.65376,0.01713
9910,1,1,1.43762,0.03767
10020,1,1,0.65253,0.01710
10130,1,1,1.30760,0.03427
10240,1,1,1.30731,0.03426
10349,1,1,0.76551,0.02006
10450,1,1,1.31552,0.03447
10559,1,1,0.98127,0.02571
10660,1,1,0.83738,0.02194
10769,1,1,1.20017,0.03145
10870,1,1,0.71831,0.01882
10970,1,1,1.43799,0.03768
11070,1,1,1.43728,0.03766
11170,1,1,0.71791,0.01881
11280,1,1,1.30881,0.03430
11390,1,1,0.65266,0.01710
11499,1,1,1.42117,0.03724
11600,1,1,0.71808,0.01882
11710,1,1,1.30495,0.03420
11820,1,1,0.98188,0.02573
11920,1,1,1.19784,0.03139
12029,1,1,1.20078,0.03147
12130,1,1,0.59872,0.01569
12230,1,1,1.43528,0.03761
12340,1,1,0.65457,0.01715
12449,1,1,1.30921,0.03431
12550,1,1,1.19507,0.03132
12660,1,1,1.08920,0.02854
12760,1,1,0.83711,0.02194
12870,1,1,1.41719,0.03714
12980,1,1,1.09156,0.02860
13090,1,1,0.65358,0.01713
13190,1,1,1.43103,0.03750
13300,1,1,1.09454,0.02868
13410,1,1,0.98153,0.02572
13510,1,1,0.83851,0.02197
13619,1,1,1.09176,0.02861
13719,1,1,1.43639,0.03764
13820,1,1,0.71613,0.01877
13930,1,1,0.87180,0.02285
14040,1,1,1.31035,0.03434
14140,1,1,0.83861,0.02198
14250,1,1,1.41598,0.03711
14350,1,1,0.71866,0.01883
14451,1,1,1.42493,0.03734
14560,1,1,0.76787,0.02012
14670,1,1,1.20011,0.03145
14770,1,1,0.83761,0.02195
14879,1,1,1.20334,0.03153
14990,1,1,0.76191,0.01997
15099,1,1,1.30960,0.03432
15200,1,1,1.31448,0.03445
15309,1,1,1.09146,0.02860
15410,1,1,0.83620,0.02191
15510,1,1,1.43723,0.03766
15620,1,1,0.76404,0.02002
15730,1,1,1.19819,0.03140
15840,1,1,1.30771,0.03427
15950,1,1,0.65300,0.01711
16059,1,1,0.87361,0.02289
16160,1,1,1.67379,0.04386
16260,1,1,0.71837,0.01883
16370,1,1,1.30887,0.03430
16480,1,1,0.76243,0.01998
16589,1,1,1.31026,0.03434
16690,1,1,0.71595,0.01876
16800,1,1,1.52610,0.03999
16910,1,1,1.09207,0.02862
17010,1,1,0.71516,0.01874
17119,1,1,1.20556,0.03159
17220,1,1,0.83415,0.02186
17330,1,1,1.09310,0.02865
17430,1,1,1.43669,0.03765
17540,1,1,1.08791,0.02851
17650,1,1,0.65310,0.01711
17760,1,1,1.20255,0.03151
17860,1,1,1.42858,0.03744
17970,1,1,0.65743,0.01723
18080,1,1,1.30598,0.03422
18189,1,1,0.65586,0.01719
18290,1,1,1.43438,0.03759
18400,1,1,1.30660,0.03424
18510,1,1,0.65457,0.01715
18610,1,1,1.43781,0.03768
18710,1,1,0.71804,0.01882
18810,1,1,1.43575,0.03762
18920,1,1,0.65391,0.01714
19030,1,1,1.30770,0.03427
19130,1,1,1.31482,0.03446
19240,1,1,0.76407,0.02002
19350,1,1,0.76304,0.02000
19459,1,1,1.42073,0.03723
19560,1,1,1.31590,0.03448
19670,1,1,0.65419,0.01714
19780,1,1,1.30605,0.03423
19880,1,1,0.71806,0.01882
19990,1,1,1.30764,0.03427
20100,1,1,1.19920,0.03143
20210,1,1,0.76349,0.02001
20310,1,1,1.31619,0.03449
20420,1,1,0.98105,0.02571
20520,1,1,1.19786,0.03139
20630,1,1,0.65480,0.01716
20730,1,1,1.43588,0.03763
20840,1,1,1.30624,0.03423
20940,1,1,0.71760,0.01881
21050,1,1,1.20341,0.03154
21151,1,1,1.30392,0.03417
21260,1,1,0.76893,0.02015
21360,1,1,0.71895,0.01884
21470,1,1,1.74044,0.04561
21570,1,1,0.83879,0.02198
21680,1,1,1.20053,0.03146
