Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,6952,63.50,20.778
0,43726,63.50,20.778
0,17463,63.50,20.778
0,38130,56.50,18.487
0,4413,53.00,17.342
5,25404,63.50,20.778
5,43009,63.50,20.778
5,35510,63.50,20.778
5,32142,63.50,20.778
5,44493,63.50,20.778
10,6952,63.50,20.778
10,43726,63.50,20.778
10,17463,63.50,20.778
10,38130,56.50,18.487
10,4413,53.00,17.342
15,25404,63.50,20.778
15,43009,63.50,20.778
15,35510,63.50,20.778
15,32142,63.50,20.778
15,44493,63.50,20.778
20,6952,63.50,20.778
20,43726,63.50,20.778
20,17463,63.50,20.778
20,38130,56.50,18.487
20,4413,53.00,17.342
25,25404,63.50,20.778
25,43009,63.50,20.778
25,35510,63.50,20.778
25,32142,63.50,20.778
25,44493,63.50,20.778
30,6952,63.50,20.778
30,43726,63.50,20.778
30,17463,63.50,20.778
30,38130,56.50,18.487
30,4413,53.00,17.342
35,25404,63.50,20.778
35,43009,63.50,20.778
35,35510,63.50,20.778
35,32142,63.50,20.778
35,44493,63.50,20.778
40,6952,63.50,20.778
40,43726,63.50,20.778
40,17463,63.50,20.778
40,38130,56.50,18.487
40,4413,53.00,17.342
45,25404,63.50,20.778
45,43009,63.50,20.778
45,35510,63.50,20.778
45,32142,63.50,20.778
45,44493,63.50,20.778
50,6952,63.50,20.778
50,43726,63.50,20.778
50,17463,63.50,20.778
50,38130,56.50,18.487
50,4413,53.00,17.342
54,25404,63.50,20.778
54,43009,63.50,20.778
54,35510,63.50,20.778
54,32142,63.50,20.778
54,44493,63.50,20.778
60,6952,63.50,20.778
60,43726,63.50,20.778
60,17463,63.50,20.778
60,38130,56.50,18.487
60,4413,53.00,17.342
65,25404,63.50,20.778
65,43009,63.50,20.778
65,35510,63.50,20.778
65,32142,63.50,20.778
65,44493,63.50,20.778
71,6952,63.50,20.778
71,43726,63.50,20.778
71,17463,63.50,20.778
71,38130,56.50,18.487
71,4413,53.00,17.342
76,25404,63.50,20.778
76,43009,63.50,20.778
76,35510,63.50,20.778
76,32142,63.50,20.778
76,44493,63.50,20.778
80,6952,63.50,20.778
80,43726,63.50,20.778
80,17463,63.50,20.778
80,38130,56.50,18.487
80,4413,53.00,17.342
85,25404,63.50,20.778
85,43009,63.50,20.778
85,35510,63.50,20.778
85,32142,63.50,20.778
85,44493,63.50,20.778
90,6952,63.50,20.778
90,43726,63.50,20.778
90,17463,63.50,20.778
90,38130,56.50,18.487
90,4413,53.00,17.342
94,25404,63.50,20.778
94,43009,63.50,20.778
94,35510,63.50,20.778
94,32142,63.50,20.778
94,44493,63.50,20.778
101,6952,63.50,20.778
101,43726,63.50,20.778
101,17463,63.50,20.778
101,38130,56.50,18.487
101,4413,53.00,17.342
105,25404,63.50,20.778
105,43009,63.50,20.778
105,35510,63.50,20.778
105,32142,63.50,20.778
105,44493,63.50,20.778
110,6952,63.50,20.778
110,43726,63.50,20.778
110,17463,63.50,20.778
110,38130,56.50,18.487
