Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,45898,63.50,20.778
0,36997,63.50,20.778
0,48787,63.50,20.778
0,40252,56.00,18.324
0,15599,52.50,17.179
2,33952,6.50,2.414
2,12169,63.50,20.778
2,22873,63.50,20.778
2,30556,63.50,20.778
2,20945,63.50,20.778
110,45898,63.50,20.778
110,36997,63.50,20.778
110,48787,63.50,20.778
110,40252,56.00,18.324
110,15599,52.50,17.179
112,33952,6.50,2.414
112,12169,63.50,20.778
112,22873,63.50,20.778
112,30556,63.50,20.778
112,20945,63.50,20.778
212,33952,6.50,2.414
212,12169,63.50,20.778
212,22873,63.50,20.778
212,30556,63.50,20.778
212,20945,63.50,20.778
220,45898,63.50,20.778
220,36997,63.50,20.778
220,48787,63.50,20.778
220,40252,56.00,18.324
220,15599,52.50,17.179
322,33952,6.50,2.414
322,12169,63.50,20.778
322,22873,63.50,20.778
322,30556,63.50,20.778
322,20945,63.50,20.778
329,45898,63.50,20.778
329,36997,63.50,20.778
329,48787,63.50,20.778
329,40252,56.00,18.324
329,15599,52.50,17.179
422,33952,6.50,2.414
422,12169,63.50,20.778
422,22873,63.50,20.778
422,30556,63.50,20.778
422,20945,63.50,20.778
440,45898,63.50,20.778
440,36997,63.50,20.778
440,48787,63.50,20.778
440,40252,56.00,18.324
440,15599,52.50,17.179
522,33952,6.50,2.414
522,12169,63.50,20.778
522,22873,63.50,20.778
522,30556,63.50,20.778
522,20945,63.50,20.778
540,45898,63.50,20.778
540,36997,63.50,20.778
540,48787,63.50,20.778
540,40252,56.00,18.324
540,15599,52.50,17.179
632,33952,6.50,2.414
632,12169,63.50,20.778
632,22873,63.50,20.778
632,30556,63.50,20.778
632,20945,63.50,20.778
650,45898,63.50,20.778
650,36997,63.50,20.778
650,48787,63.50,20.778
650,40252,56.00,18.324
650,15599,52.50,17.179
742,33952,6.50,2.414
742,12169,63.50,20.778
742,22873,63.50,20.778
742,30556,63.50,20.778
742,20945,63.50,20.778
759,45898,63.50,20.778
759,36997,63.50,20.778
759,48787,63.50,20.778
759,40252,56.00,18.324
759,15599,52.50,17.179
852,33952,6.50,2.414
852,12169,63.50,20.778
852,22873,63.50,20.778
852,30556,63.50,20.778
852,20945,63.50,20.778
869,45898,63.50,20.778
869,36997,63.50,20.778
869,48787,63.50,20.778
869,40252,56.00,18.324
869,15599,52.50,17.179
953,33952,6.50,2.414
953,12169,63.50,20.778
953,22873,63.50,20.778
953,30556,63.50,20.778
953,20945,63.50,20.778
980,45898,63.50,20.778
980,36997,63.50,20.778
980,48787,63.50,20.778
980,40252,56.00,18.324
980,15599,52.50,17.179
