Time_ms,Now_us,Latency_us
0,1755740530293798,70909022
1024,1755740531317329,70908612
2050,1755740532343595,70908875
3076,1755740533369424,70908692
4100,1755740534393700,70908975
5126,1755740535419278,70909522
6149,1755740536442636,70908919
7175,1755740537468197,70909350
8201,1755740538494567,70908842
9225,1755740539518670,70908934
10250,1755740540543697,70908943
11276,1755740541569121,70909307
12299,1755740542592509,70908712
13323,1755740543616582,70908811
14347,1755740544640620,70908869
15373,1755740545666584,70908857
16397,1755740546690988,70909184
17421,1755740547714723,70908956
18445,1755740548738781,70909025
19471,1755740549764514,70909770
20497,1755740550790016,70909202
21521,1755740551814533,70908808
22548,1755740552841970,70909185
23573,1755740553866708,70908985
24598,1755740554891860,70910141
25623,1755740555916235,70909457
26647,1755740556940250,70909213
27673,1755740557965995,70909204
28696,1755740558989634,70908921
29720,1755740560013950,70909194
30747,1755740561040814,70912046
31768,1755740562061937,70909142
32792,1755740563085941,70909134
33816,1755740564109711,70908988
34840,1755740565133962,70909185
35864,1755740566157975,70909099
36888,1755740567181970,70909181
37913,1755740568206311,70909494
38937,1755740569230043,70909311
39963,1755740570256148,70909349
40987,1755740571280035,70909276
42011,1755740572304026,70909296
43034,1755740573327836,70909100
44058,1755740574351932,70909210
45083,1755740575376196,70909449
46108,1755740576401144,70909420
47131,1755740577424921,70909171
48156,1755740578449114,70909318
49181,1755740579474119,70909339
50205,1755740580498054,70909322
51230,1755740581523988,70909265
52255,1755740582548153,70909418
53281,1755740583574025,70910296
54304,1755740584597268,70909317
55329,1755740585622954,70909218
56354,1755740586647137,70909403
57380,1755740587673043,70910314
58403,1755740588696919,70909965
59427,1755740589720132,70909337
60451,1755740590744062,70909335
61475,1755740591768284,70909555
62499,1755740592792037,70909315
63523,1755740593816184,70909463
64548,1755740594841392,70909626
65573,1755740595866077,70909342
66598,1755740596891068,70910331
67621,1755740597914323,70909544
68647,1755740598940315,70909586
69671,1755740599964327,70909550
70695,1755740600988248,70909523
71719,1755740602012210,70909489
72744,1755740603037276,70909531
73769,1755740604062317,70909557
74793,1755740605086343,70909554
75818,1755740606111173,70909449
76843,1755740607136513,70909741
77867,1755740608160496,70909758
78891,1755740609184176,70909447
79916,1755740610209365,70909600
80942,1755740611235547,70910823
81965,1755740612258301,70909573
82990,1755740613283434,70909700
84014,1755740614307316,70909584
85038,1755740615331525,70909657
86062,1755740616355632,70909909
87086,1755740617379620,70909897
88113,1755740618406475,70912704
89136,1755740619429596,70909873
