Time_ms,Now_us,Latency_us
0,1755740127896844,70904783
1024,1755740128921023,70903883
2048,1755740129944924,70903863
3073,1755740130969949,70903866
4097,1755740131993984,70903860
5121,1755740133017786,70903725
6145,1755740134041912,70903832
7170,1755740135066857,70904783
8194,1755740136090955,70903855
9218,1755740137114958,70903899
10242,1755740138139000,70903918
11266,1755740139162995,70903852
12290,1755740140187029,70903937
13315,1755740141212105,70903897
14339,1755740142235958,70903877
15364,1755740143261085,70903932
16388,1755740144285078,70903924
17413,1755740145309505,70904410
18439,1755740146335787,70904681
19462,1755740147359179,70904111
20487,1755740148384225,70904080
21511,1755740149408373,70904256
22536,1755740150433093,70904033
23561,1755740151457952,70904802
24584,1755740152481284,70904178
25611,1755740153508123,70905061
26634,1755740154531220,70904050
27658,1755740155555307,70904222
28683,1755740156580048,70903974
29708,1755740157605238,70904080
30732,1755740158629174,70904099
31758,1755740159655193,70904109
32783,1755740160680264,70904168
33807,1755740161704106,70904028
34833,1755740162730329,70904162
35857,1755740163754439,70904260
36882,1755740164779332,70904183
37906,1755740165803347,70904219
38931,1755740166828236,70904153
39957,1755740167854417,70905281
40981,1755740168877553,70904447
42005,1755740169901601,70904509
43032,1755740170928469,70904396
44056,1755740171953426,70904364
45080,1755740172977335,70904267
46106,1755740174002583,70904521
47130,1755740175026585,70904436
48154,1755740176050711,70904650
49179,1755740177075512,70904367
50203,1755740178099512,70904351
51228,1755740179124790,70904611
52252,1755740180148609,70904514
53275,1755740181172416,70904350
54300,1755740182196703,70904614
55323,1755740183220443,70904360
56349,1755740184245624,70904530
57373,1755740185270292,70905098
58397,1755740186293571,70904499
59422,1755740187318690,70904587
60447,1755740188344405,70904328
61472,1755740189369069,70904900
62496,1755740190392877,70904776
63520,1755740191416987,70904883
64546,1755740192443248,70905184
65570,1755740193466778,70904631
66594,1755740194490628,70904544
67618,1755740195514874,70904784
68644,1755740196540567,70905187
69667,1755740197563688,70904569
70691,1755740198588333,70905216
71715,1755740199611944,70904815
72739,1755740200635901,70904783
73764,1755740201660728,70904607
74788,1755740202684945,70904827
75816,1755740203712469,70905404
76839,1755740204735677,70904607
77865,1755740205762220,70905065
78889,1755740206786271,70905109
79914,1755740207810999,70904728
80938,1755740208835037,70904914
81962,1755740209859117,70905006
82986,1755740210882935,70904814
84010,1755740211907172,70905098
85034,1755740212931098,70904921
86061,1755740213957878,70906744
87083,1755740214980084,70904953
88107,1755740216003984,70904776
89133,1755740217029555,70905441
