Time_ms,Now_us,Latency_us
0,1755815776964688,71859624
1085,1755815778049262,71860134
2139,1755815779102826,71860683
3182,1755815780146163,71859948
4244,1755815781208771,71859723
5298,1755815782262170,71860062
6346,1755815783310564,71859486
7394,1755815784358305,71860232
8456,1755815785420587,71860212
9507,1755815786471066,71859982
10576,1755815787540561,71859504
11632,1755815788595871,71859711
12685,1755815789649648,71859579
13737,1755815790701690,71859640
14786,1755815791750624,71859563
15847,1755815792811143,71861006
16903,1755815793867536,71859449
17952,1755815794916296,71860182
19015,1755815795979764,71859697
20071,1755815797034867,71859754
21124,1755815798088184,71859697
22172,1755815799135862,71859790
23226,1755815800190076,71860018
24295,1755815801258821,71859738
25352,1755815802316383,71860859
26415,1755815803378821,71860722
27509,1755815804473665,71860532
28568,1755815805532071,71859981
29617,1755815806580963,71859826
30681,1755815807644928,71859820
31743,1755815808706969,71859850
32811,1755815809775236,71860112
33874,1755815810838338,71860249
34930,1755815811893879,71859758
35988,1755815812952050,71859982
37036,1755815814000155,71860017
38080,1755815815043927,71860801
39131,1755815816094997,71859860
40187,1755815817151032,71860911
41235,1755815818199014,71859965
42297,1755815819260907,71859864
43352,1755815820316113,71860034
44407,1755815821371539,71860356
45458,1755815822421998,71859940
46515,1755815823478836,71860634
47588,1755815824552789,71860593
48651,1755815825615479,71860346
49704,1755815826668192,71860095
50768,1755815827732731,71861678
51829,1755815828793304,71860188
52888,1755815829852174,71860121
53951,1755815830915308,71860246
55001,1755815831965339,71860201
56044,1755815833008745,71860694
57107,1755815834071207,71860118
58185,1755815835149243,71861142
59260,1755815836224449,71860374
60317,1755815837281252,71860197
61368,1755815838332789,71860650
62443,1755815839406875,71860816
63484,1755815840448683,71861253
64516,1755815841480771,71860571
65584,1755815842548536,71886459
66612,1755815843576773,71860665
67673,1755815844637295,71860220
68746,1755815845710589,71861322
69827,1755815846791452,71860317
70929,1755815847893523,71860424
72029,1755815848993738,71860643
73057,1755815850021526,71860419
74119,1755815851083594,71860525
75182,1755815852146359,71860295
76211,1755815853175624,71860495
77242,1755815854206675,71860605
78273,1755815855237526,71860472
79299,1755815856263551,71860463
80326,1755815857290517,71860419
81352,1755815858316326,71861169
82377,1755815859341197,71861063
83403,1755815860366821,71860733
84431,1755815861395090,71860924
85458,1755815862422716,71860650
86502,1755815863466802,71861746
87533,1755815864497733,71860609
88563,1755815865527434,71860421
89596,1755815866559901,71860832
