Time_ms,Now_us,Latency_us
0,1755816613202925,71872003
1069,1755816614272093,71870468
2147,1755816615349895,71870918
3215,1755816616418745,71871020
4301,1755816617504009,71870426
5350,1755816618553221,71870607
6389,1755816619592482,71870938
7442,1755816620645469,71870780
8482,1755816621685066,71870509
9533,1755816622736666,71870106
10597,1755816623800320,71870749
11671,1755816624874735,71871809
12715,1755816625918047,71870403
13751,1755816626954156,71870558
14805,1755816628008025,71871447
15860,1755816629063528,71870853
16908,1755816630110914,71870364
17944,1755816631147732,71872075
18979,1755816632182289,71871731
20021,1755816633224107,71870504
21066,1755816634269098,71870548
22117,1755816635320026,71870427
23184,1755816636387228,71870667
24253,1755816637456238,71870680
25314,1755816638517103,71871378
26353,1755816639556526,71870898
27406,1755816640609286,71870737
28484,1755816641687128,71870566
29571,1755816642774342,71870702
30640,1755816643843498,71870894
31684,1755816644887232,71870641
32740,1755816645943317,71870735
33802,1755816647005299,71870693
34857,1755816648060097,71872505
35911,1755816649114767,71871918
36963,1755816650166214,71870620
38013,1755816651216737,71871100
39068,1755816652271215,71870653
40121,1755816653324591,71871037
41169,1755816654372805,71871229
42220,1755816655423516,71870933
43277,1755816656480494,71870899
44315,1755816657518446,71870892
45365,1755816658568688,71871061
46403,1755816659606343,71871695
47448,1755816660651540,71870944
48492,1755816661695663,71871534
49538,1755816662741019,71871439
50574,1755816663777740,71871170
51620,1755816664823108,71871485
52665,1755816665868077,71871483
53691,1755816666893958,71871383
54718,1755816667920950,71871257
55749,1755816668952366,71870790
56775,1755816669978308,71871715
57799,1755816671002333,71870782
58825,1755816672027868,71873320
59849,1755816673051860,71871219
60889,1755816674092552,71871767
61941,1755816675143870,71871255
62996,1755816676199621,71871066
64054,1755816677257590,71870985
65101,1755816678304138,71871413
66150,1755816679353009,71871363
67205,1755816680408652,71871079
68250,1755816681453047,71871352
69306,1755816682509010,71872418
70341,1755816683544542,71870978
71383,1755816684586341,71871733
72427,1755816685630194,71871612
73499,1755816686701855,71872212
74535,1755816687738817,71871273
75580,1755816688783006,71871385
76619,1755816689822629,71871514
77652,1755816690855123,71871574
78692,1755816691894958,71871328
79730,1755816692932960,71871373
80774,1755816693977820,71872201
81816,1755816695019183,71872463
82860,1755816696063272,71871709
83899,1755816697102396,71871806
84923,1755816698126800,71871241
85952,1755816699155093,71871518
86980,1755816700183004,71871446
88006,1755816701209601,71871717
89036,1755816702238890,71871268
