Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,1.19515,0.03132
0,2,1,1.07563,0.02819
8,3,1,0.00000,0.00000
8,5,1,1.63792,0.04292
8,6,1,1.96550,0.05151
110,1,1,0.98162,0.02572
110,2,1,0.43628,0.01143
118,3,1,1.85447,0.04860
118,5,1,1.09086,0.02859
118,6,1,1.19995,0.03145
219,3,1,1.07303,0.02812
219,5,1,0.47690,0.01250
219,6,1,0.83458,0.02187
220,1,1,0.87151,0.02284
220,2,1,1.74302,0.04568
320,1,1,0.59875,0.01569
320,2,1,1.19750,0.03138
328,3,1,1.09422,0.02867
328,5,1,1.53191,0.04014
328,6,1,1.53191,0.04014
420,1,1,1.55674,0.04079
420,2,1,0.23950,0.00628
438,3,1,0.00000,0.00000
438,5,1,0.98269,0.02575
438,6,1,0.87350,0.02289
530,1,1,0.98143,0.02572
530,2,1,1.63571,0.04286
538,3,1,2.03413,0.05331
538,5,1,1.31620,0.03449
538,6,1,0.95724,0.02508
630,1,1,1.31671,0.03451
630,2,1,1.07731,0.02823
648,3,1,1.19967,0.03144
648,5,1,0.87248,0.02286
648,6,1,0.76342,0.02001
731,1,1,0.59664,0.01564
731,2,1,1.31261,0.03440
748,3,1,1.31696,0.03451
748,5,1,1.19724,0.03137
748,6,1,1.43669,0.03765
840,1,1,1.42363,0.03731
840,2,1,1.09510,0.02870
848,3,1,1.07725,0.02823
848,5,1,0.95755,0.02509
848,6,1,0.95755,0.02509
940,1,1,1.19802,0.03139
940,2,1,0.95841,0.02512
958,3,1,0.32752,0.00858
958,5,1,0.87339,0.02289
958,6,1,1.20091,0.03147
1050,1,1,1.09061,0.02858
1050,2,1,0.87249,0.02286
1058,3,1,0.00000,0.00000
1058,5,1,0.00000,0.00000
1058,6,1,1.31590,0.03448
1158,3,1,2.63366,0.06902
1158,5,1,2.15481,0.05647
1158,6,1,0.95770,0.02510
1160,1,1,1.19641,0.03135
1160,2,1,0.97888,0.02565
1268,3,1,0.87325,0.02288
1268,5,1,1.41903,0.03719
1268,6,1,0.98240,0.02574
1270,1,1,0.65418,0.01714
1270,2,1,0.98128,0.02571
1368,3,1,0.83725,0.02194
1368,5,1,0.95685,0.02507
1368,6,1,0.95685,0.02507
1370,1,1,1.31792,0.03454
1370,2,1,1.43773,0.03768
1469,3,1,0.59532,0.01560
1469,5,1,0.83345,0.02184
1469,6,1,0.83345,0.02184
1470,1,1,0.95837,0.02511
1470,2,1,1.07817,0.02825
1578,3,1,1.20865,0.03167
1578,5,1,0.21975,0.00576
1578,6,1,0.87902,0.02304
1580,1,1,1.09030,0.02857
1580,2,1,1.09030,0.02857
1678,3,1,1.67632,0.04393
1678,5,1,1.31711,0.03452
1678,6,1,0.95790,0.02510
1680,1,1,0.11975,0.00314
1680,2,1,0.95800,0.02510
1779,3,1,0.71581,0.01876
1779,5,1,1.55093,0.04064
1779,6,1,1.78953,0.04690
1781,1,1,1.90162,0.04983
1781,2,1,1.06966,0.02803
1888,3,1,1.09386,0.02867
1888,5,1,0.76570,0.02007
1888,6,1,0.21877,0.00573
1890,1,1,1.09663,0.02874
1890,2,1,1.09663,0.02874
1988,3,1,1.79652,0.04708
1988,5,1,1.43722,0.03766
1988,6,1,1.79652,0.04708
1991,1,1,0.00000,0.00000
1991,2,1,1.06788,0.02798
2089,3,1,0.00000,0.00000
2089,5,1,0.00000,0.00000
2089,6,1,1.07138,0.02808
2100,1,1,1.98555,0.05203
2100,2,1,1.10308,0.02891
2198,3,1,0.87502,0.02293
2198,5,1,1.64065,0.04299
2198,6,1,0.76564,0.02006
2200,1,1,1.19622,0.03135
2200,2,1,1.07660,0.02821
2309,3,1,1.73971,0.04559
2309,5,1,1.41352,0.03704
2309,6,1,1.30478,0.03419
2310,1,1,1.08865,0.02853
2310,2,1,0.97979,0.02568
2409,3,1,0.95244,0.02496
2409,5,1,1.19055,0.03120
2409,6,1,0.95244,0.02496
2420,1,1,1.08960,0.02855
2420,2,1,0.98064,0.02570
2519,3,1,0.76422,0.02003
2519,5,1,0.21835,0.00572
2519,6,1,1.20092,0.03147
2520,1,1,0.95822,0.02511
2520,2,1,0.47911,0.01256
2620,1,1,0.71818,0.01882
2620,2,1,1.43636,0.03764
2629,3,1,0.76556,0.02006
2629,5,1,1.31238,0.03439
2629,6,1,1.09365,0.02866
2721,1,1,1.43580,0.03763
2721,2,1,1.31615,0.03449
2738,3,1,0.87387,0.02290
2738,5,1,1.52927,0.04008
2738,6,1,0.00000,0.00000
2830,1,1,0.54644,0.01432
2830,2,1,0.98359,0.02578
2839,3,1,2.26703,0.05941
2839,5,1,1.07386,0.02814
2839,6,1,1.78976,0.04690
2940,1,1,1.52449,0.03995
2940,2,1,0.98003,0.02568
2949,3,1,0.76413,0.02002
2949,5,1,0.87329,0.02288
2949,6,1,0.87329,0.02288
3050,1,1,1.19960,0.03144
3050,2,1,1.09055,0.02858
3059,3,1,0.97976,0.02568
3059,5,1,1.19749,0.03138
3059,6,1,1.52407,0.03994
3152,1,1,0.00000,0.00000
3152,2,1,0.94433,0.02475
3168,3,1,0.87316,0.02288
3168,5,1,0.98230,0.02574
3168,6,1,0.87316,0.02288
3260,1,1,2.31816,0.06075
3260,2,1,1.10389,0.02893
3278,3,1,1.41807,0.03716
3278,5,1,1.09082,0.02859
3278,6,1,1.09082,0.02859
3360,1,1,0.11965,0.00314
3360,2,1,1.07683,0.02822
3378,3,1,0.83838,0.02197
3378,5,1,0.83838,0.02197
3378,6,1,1.07791,0.02825
3471,1,1,1.08642,0.02847
3471,2,1,1.19506,0.03132
3488,3,1,0.76514,0.02005
3488,5,1,1.09306,0.02864
3488,6,1,1.09306,0.02864
3580,1,1,1.20314,0.03153
3580,2,1,0.98438,0.02580
3588,3,1,0.11943,0.00313
3588,5,1,1.19427,0.03130
3588,6,1,1.07484,0.02817
3690,3,1,2.24300,0.05878
3690,5,1,1.18053,0.03094
3690,6,1,0.94442,0.02475
3691,1,1,1.30333,0.03415
3691,2,1,1.41194,0.03700
3791,1,1,1.07602,0.02820
3791,2,1,0.00000,0.00000
3798,3,1,0.22100,0.00579
3798,5,1,0.77349,0.02027
3798,6,1,1.10498,0.02896
3899,3,1,2.02961,0.05319
3899,5,1,1.43266,0.03754
3899,6,1,1.43266,0.03754
3900,1,1,1.09499,0.02869
3900,2,1,1.31399,0.03443
4008,3,1,0.32818,0.00860
4008,5,1,0.00000,0.00000
4008,6,1,0.54697,0.01433
4010,1,1,1.09198,0.02862
4010,2,1,1.31037,0.03434
4109,3,1,0.83545,0.02189
4109,5,1,2.02894,0.05317
4109,6,1,1.31284,0.03440
4110,1,1,0.00000,0.00000
4110,2,1,1.07518,0.02818
4218,3,1,1.52952,0.04008
4218,5,1,0.76476,0.02004
4218,6,1,0.87401,0.02290
4220,1,1,2.18236,0.05719
4220,2,1,1.41853,0.03717
4318,3,1,1.19836,0.03140
4318,5,1,1.19836,0.03140
4318,6,1,0.47935,0.01256
4320,1,1,0.83805,0.02196
4320,2,1,0.83805,0.02196
4429,3,1,0.97508,0.02555
4429,5,1,1.51678,0.03975
4429,6,1,1.30010,0.03407
4431,1,1,0.97842,0.02564
4431,2,1,1.08713,0.02849
4538,3,1,1.42488,0.03734
4538,5,1,1.31527,0.03447
4538,6,1,0.98645,0.02585
4540,1,1,1.42046,0.03722
4540,2,1,0.98340,0.02577
4640,1,1,0.95699,0.02508
4640,2,1,1.19623,0.03135
4648,3,1,1.08899,0.02854
4648,5,1,0.43560,0.01141
4648,6,1,1.63348,0.04281
4740,1,1,0.83845,0.02197
4740,2,1,0.83845,0.02197
4758,3,1,0.87216,0.02286
4758,5,1,1.52628,0.04000
4758,6,1,0.98118,0.02571
4850,1,1,1.30914,0.03431
4850,2,1,1.30914,0.03431
4868,3,1,1.19886,0.03142
4868,5,1,0.32696,0.00857
4868,6,1,0.00000,0.00000
4950,1,1,0.71760,0.01880
4950,2,1,1.07640,0.02821
4969,3,1,0.95647,0.02506
4969,5,1,1.31515,0.03446
4969,6,1,1.67383,0.04386
5060,1,1,0.00000,0.00000
5060,2,1,1.09191,0.02861
5078,3,1,1.09229,0.02862
5078,5,1,1.74767,0.04580
5078,6,1,1.31075,0.03435
5170,1,1,2.50616,0.06567
5170,2,1,1.08963,0.02855
5178,3,1,1.43722,0.03766
5178,5,1,0.71861,0.01883
5178,6,1,0.83838,0.02197
5270,1,1,0.83721,0.02194
5270,2,1,0.47841,0.01254
5279,3,1,0.83686,0.02193
5279,5,1,1.67373,0.04386
5279,6,1,1.31507,0.03446
5381,1,1,0.97834,0.02564
5381,2,1,1.52186,0.03988
5389,3,1,0.98075,0.02570
5389,5,1,0.76281,0.01999
5389,6,1,1.08972,0.02856
5489,3,1,0.00000,0.00000
5489,5,1,1.07760,0.02824
5489,6,1,0.59867,0.01569
5491,1,1,1.41463,0.03707
5491,2,1,0.97936,0.02566
5589,3,1,1.78882,0.04688
5589,5,1,0.95404,0.02500
5589,6,1,1.31180,0.03438
5601,1,1,1.09148,0.02860
5601,2,1,1.20063,0.03146
5698,3,1,1.31737,0.03452
5698,5,1,0.98803,0.02589
5698,6,1,1.20759,0.03165
5710,1,1,0.87411,0.02291
5710,2,1,0.76485,0.02004
5799,3,1,0.95460,0.02502
5799,5,1,1.19325,0.03127
5799,6,1,0.71595,0.01876
5810,1,1,1.07720,0.02823
5810,2,1,1.19689,0.03137
5908,3,1,0.54758,0.01435
5908,5,1,1.20468,0.03157
5908,6,1,0.98564,0.02583
5921,1,1,1.08793,0.02851
5921,2,1,1.19672,0.03136
6009,3,1,1.66760,0.04370
6009,5,1,0.95292,0.02497
6009,6,1,1.66760,0.04370
6021,1,1,0.95489,0.02502
6021,2,1,1.07425,0.02815
6118,3,1,1.09454,0.02868
6118,5,1,0.98509,0.02581
6118,6,1,1.09454,0.02868
6130,1,1,0.76863,0.02014
6130,2,1,1.09805,0.02877
6218,3,1,0.00000,0.00000
6218,5,1,0.71889,0.01884
6218,6,1,0.83870,0.02198
6230,1,1,0.00000,0.00000
6230,2,1,0.95844,0.02512
6328,3,1,1.74306,0.04568
6328,5,1,1.30730,0.03426
6328,6,1,1.30730,0.03426
