Time_ms,UE_ID,Mean_Throughput,Std_Throughput
0,2,1.0604855172413792,0.03971508714637714
0,3,1.0683358620689654,0.02968415612954412
0,5,1.0721131034482758,0.02548405287113721
0,8,1.056843103448276,0.04468836666320028
0,10,1.0567655172413792,0.042850233587145174
100,2,1.0804489655172413,0.035828409352757586
100,3,1.0803624137931034,0.03332877699688924
100,5,1.0769537931034483,0.034923822141278676
100,8,1.0800451724137932,0.03748750978856537
100,10,1.0882955172413793,0.0159745256102617
200,2,1.0635413793103448,0.045432762464684154
200,3,1.0713572413793104,0.03526223778416226
200,5,1.0792848275862068,0.022895449270338406
200,8,1.079241724137931,0.0208683889563969
200,10,1.0634675862068965,0.0437028844794329
300,2,1.0685262068965518,0.037020865681569454
300,3,1.0486710344827586,0.053621912388288985
300,5,1.0409658620689655,0.05955383432043661
300,8,1.0565748275862068,0.04979384913396792
300,10,1.068298275862069,0.042745675726905366
400,2,1.0595486206896552,0.04655996730209782
400,3,1.0598679310344827,0.043492524265614535
400,5,1.0670737931034484,0.041887681483922246
400,8,1.0708117241379311,0.03805227955148075
400,10,1.0581951724137932,0.05577644584926839
500,2,1.0751920689655172,0.03248796726474397
500,3,1.067916551724138,0.0341730486197887
500,5,1.0594151724137932,0.04888927055972582
500,8,1.06012,0.044429684655322835
500,10,1.0638710344827587,0.041892859035608236
600,2,1.0685542857142856,0.04058182373907581
600,3,1.0727892857142858,0.03301683183856506
600,5,1.0806239285714285,0.022967234364744047
600,8,1.0685953571428572,0.04157044832500367
600,10,1.0686153571428572,0.04205568843209382
700,2,1.0702778260869565,0.040702205653493605
700,3,1.0796769565217392,0.026706573660427516
700,5,1.0843965217391303,0.01454391800678697
700,8,1.0702508695652173,0.03999899793211227
700,10,1.0791926086956523,0.030212504217081923
800,2,1.081521724137931,0.023997143143800227
800,3,1.077401724137931,0.033479502371810126
800,5,1.0739455172413792,0.03332920958153751
800,8,1.0739824137931033,0.03446692883404657
800,10,1.081491379310345,0.022632796324319474
900,2,1.0626933333333333,0.043350470278110405
900,3,1.0840585714285713,0.01301161876390264
900,5,1.0735890476190477,0.03045857578823435
900,8,1.073527619047619,0.028179068455994417
900,10,1.0626538095238096,0.0423016438777727
1000,2,1.0649885185185186,0.046469925237372124
1000,3,1.0648551851851853,0.04368088425161342
1000,5,1.0566703703703704,0.04578341557993728
1000,8,1.073244074074074,0.0313412861474911
1000,10,1.0652,0.04010552254318023
1100,2,1.069302,0.03782943126024608
1100,3,1.040425,0.05685199959451504
1100,5,1.0637305,0.0390124246706637
1100,8,1.0584120000000001,0.04585845690244802
1100,10,1.0572694999999999,0.049423338134614324
1200,2,1.049587,0.055096494922622995
1200,3,1.0569563333333334,0.04549515855131391
1200,5,1.0498633333333334,0.05197433772169874
1200,8,1.065516,0.0407226020102198
1200,10,1.0579753333333335,0.04886115689720542
1300,2,1.0757766666666666,0.04084211241052361
1300,3,1.071702962962963,0.043891750216151555
1300,5,1.0760733333333332,0.035757496685740894
1300,8,1.0635007407407409,0.046819870775453847
1300,10,1.0677337037037038,0.048524760463733135
1400,2,1.0746953571428572,0.028741934325243558
1400,3,1.0740257142857144,0.037376483835633134
1400,5,1.0747282142857142,0.02990873947014687
1400,8,1.0662035714285714,0.043366377760954644
1400,10,1.0743332142857143,0.03254008798885996
1500,2,1.069030357142857,0.046806972532364245
1500,3,1.076695357142857,0.03665337572065604
1500,5,1.0808567857142857,0.023909569609579847
1500,8,1.080905,0.025879534099074973
1500,10,1.0769567857142857,0.030084193222991815
1600,2,1.0804455172413794,0.027266250670302344
1600,3,1.076759655172414,0.03513193078370633
1600,5,1.0728596551724137,0.035259435260322144
1600,8,1.0692303448275862,0.042318645964933954
1600,10,1.0767506896551724,0.034782139909014326
1700,2,1.058928620689655,0.044143615597609986
1700,3,1.0630386206896552,0.039286688014802354
1700,5,1.0671510344827586,0.03325015137933609
1700,8,1.070891724137931,0.028420894234067285
1700,10,1.0664386206896552,0.0389017288198406
1800,2,1.067928275862069,0.04868004152986887
1800,3,1.068986551724138,0.041626867206156826
1800,5,1.0573031034482758,0.049668183341584016
1800,8,1.076397931034483,0.030463505025253503
1800,10,1.0685986206896552,0.04320962150825556
1900,2,1.05904,0.04272821324538214
1900,3,1.0587137931034483,0.04557792897991883
1900,5,1.0631655172413794,0.03805901147149243
1900,8,1.0553106896551723,0.04533782990986621
1900,10,1.0515706896551724,0.04726882511845218
2000,2,1.063495172413793,0.046760921689917884
2000,3,1.0556320689655172,0.05268669874017472
2000,5,1.067582068965517,0.04112210166767383
2000,8,1.0675703448275862,0.04090413692689272
2000,10,1.0750955172413792,0.03364440715421535
2100,2,1.0826235714285715,0.023528596031572556
2100,3,1.086530357142857,0.013633284836138399
2100,5,1.0748528571428573,0.03580700436932367
2100,8,1.0583989285714286,0.04900668059819977
2100,10,1.0666932142857142,0.04533860672380753
2200,2,1.0689336666666667,0.039302033156439695
2200,3,1.0686543333333334,0.04324395542240226
2200,5,1.0768393333333333,0.021985362831906483
2200,8,1.0768446666666667,0.022225502551757034
2200,10,1.0728423333333335,0.03064505334255135
2300,2,1.0750796296296297,0.03991640403889127
2300,3,1.0794537037037037,0.030464283645979244
2300,5,1.0668503703703704,0.043236513813912254
2300,8,1.0669111111111111,0.04472402343030945
2300,10,1.075321851851852,0.032864745553326545
2400,2,1.0624267857142857,0.04307252145046224
2400,3,1.0662575,0.03867901743600546
2400,5,1.0741435714285714,0.03375537556249489
2400,8,1.0783935714285715,0.02390518140244071
2400,10,1.0701628571428572,0.03545734514691878
2500,2,1.0653607407407408,0.04702505493604334
2500,3,1.057901851851852,0.043572076894500725
2500,5,1.0579385185185186,0.044461108562921285
