Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,12658,-1,0.17193
0,23066,-1,0.00000
0,42750,-1,0.00000
10,17403,-1,0.72651
10,10755,-1,0.67066
108,12658,-1,0.75794
108,23066,-1,0.00000
108,42750,-1,0.75794
111,17403,-1,0.00000
111,10755,-1,0.99129
210,12658,-1,0.00000
210,23066,-1,0.57578
210,42750,-1,0.00000
211,17403,-1,0.58197
211,10755,-1,0.00000
311,17403,-1,0.79771
311,10755,-1,0.81823
318,12658,-1,0.75686
318,23066,-1,0.00000
318,42750,-1,0.00000
412,17403,-1,0.64958
412,10755,-1,0.17260
419,12658,-1,0.00000
419,23066,-1,0.42794
419,42750,-1,0.98849
522,17403,-1,0.00000
522,10755,-1,0.74833
529,12658,-1,0.00000
529,23066,-1,0.00000
529,42750,-1,0.00000
630,17403,-1,0.73507
630,10755,-1,0.75398
638,12658,-1,0.91268
638,23066,-1,0.00000
638,42750,-1,0.00000
731,17403,-1,0.65304
731,10755,-1,0.88743
748,12658,-1,0.00000
748,23066,-1,0.00000
748,42750,-1,0.74421
841,17403,-1,0.00000
841,10755,-1,0.00000
859,12658,-1,0.74152
859,23066,-1,0.53072
859,42750,-1,0.00000
941,17403,-1,0.79531
941,10755,-1,0.81577
968,12658,-1,0.00000
968,23066,-1,0.00000
968,42750,-1,0.15899
1041,17403,-1,0.65551
1041,10755,-1,0.99362
1078,12658,-1,0.00000
1078,23066,-1,0.43940
1078,42750,-1,0.74781
1141,17403,-1,0.14338
1141,10755,-1,0.00000
1188,12658,-1,0.90073
1188,23066,-1,0.00000
1188,42750,-1,0.00000
1251,17403,-1,0.59858
1251,10755,-1,0.74828
1298,12658,-1,0.00000
1298,23066,-1,0.39186
1298,42750,-1,0.00000
1361,17403,-1,0.59584
1361,10755,-1,0.80970
1408,12658,-1,0.00000
1408,23066,-1,0.00000
1408,42750,-1,0.90671
1461,17403,-1,0.00000
1461,10755,-1,0.00000
1508,12658,-1,0.81720
1508,23066,-1,0.00000
1508,42750,-1,0.00000
1570,17403,-1,0.73177
1570,10755,-1,0.75059
1609,12658,-1,0.00000
1609,23066,-1,0.10371
1609,42750,-1,0.00000
1671,17403,-1,0.65401
1671,10755,-1,0.99135
1721,12658,-1,0.00000
1721,23066,-1,0.43270
1721,42750,-1,0.73640
1782,17403,-1,0.71475
1782,10755,-1,0.73313
1828,12658,-1,0.92496
1828,23066,-1,0.44822
1828,42750,-1,0.00000
1891,17403,-1,0.00000
1891,10755,-1,0.00000
1938,12658,-1,0.00000
1938,23066,-1,0.00000
1938,42750,-1,0.15842
2001,17403,-1,0.59632
2001,10755,-1,0.81035
2048,12658,-1,0.65084
2048,23066,-1,0.00000
2048,42750,-1,0.74424
2110,17403,-1,0.68390
2110,10755,-1,0.00000
2158,12658,-1,0.00000
2158,23066,-1,0.49708
2158,42750,-1,0.00000
2210,17403,-1,0.65567
2210,10755,-1,0.17422
2259,12658,-1,0.00000
2259,23066,-1,0.00000
2259,42750,-1,0.00000
2311,17403,-1,0.00000
2311,10755,-1,0.81892
2368,12658,-1,0.83588
2368,23066,-1,0.44147
2368,42750,-1,0.00000
2421,17403,-1,0.72585
2421,10755,-1,0.67005
2468,12658,-1,0.17402
2468,23066,-1,0.00000
2468,42750,-1,0.73685
2521,17403,-1,0.00000
2521,10755,-1,0.17390
2578,12658,-1,0.00000
2578,23066,-1,0.43789
2578,42750,-1,0.00000
2632,17403,-1,0.52744
2632,10755,-1,0.74057
2679,12658,-1,0.88327
2679,23066,-1,0.00000
2679,42750,-1,0.81254
2740,17403,-1,0.73421
2740,10755,-1,0.75310
2781,12658,-1,0.00000
2781,23066,-1,0.00000
2781,42750,-1,0.00000
2841,17403,-1,0.65074
2841,10755,-1,0.17291
2889,12658,-1,0.76221
2889,23066,-1,0.54553
2889,42750,-1,0.00000
2951,17403,-1,0.13086
2951,10755,-1,0.74788
2991,12658,-1,0.00000
2991,23066,-1,0.00000
