[UE 9 | RB 1] Throughput = 0.63535 Mbps
[UE 12 | RB 1] Throughput = 0.69311 Mbps
[UE 15 | RB 1] Throughput = 0.46207 Mbps
[UE 16 | RB 1] Throughput = 0.51983 Mbps
[UE 17 | RB 1] Throughput = 0.46207 Mbps
[UE 20 | RB 1] Throughput = 0.63535 Mbps
[UE 2 | RB 1] Throughput = 0.83739 Mbps
[UE 3 | RB 1] Throughput = 1.01682 Mbps
[UE 9 | RB 1] Throughput = 0.71776 Mbps
[UE 12 | RB 1] Throughput = 0.41869 Mbps
[UE 15 | RB 1] Throughput = 0.41869 Mbps
[UE 16 | RB 1] Throughput = 0.77757 Mbps
[UE 17 | RB 1] Throughput = 0.41869 Mbps
[UE 20 | RB 1] Throughput = 0.47851 Mbps
[UE 2 | RB 1] Throughput = 0.83642 Mbps
[UE 3 | RB 1] Throughput = 1.13514 Mbps
[UE 9 | RB 1] Throughput = 0.71693 Mbps
[UE 12 | RB 1] Throughput = 0.47795 Mbps
[UE 15 | RB 1] Throughput = 0.77667 Mbps
[UE 16 | RB 1] Throughput = 0.59744 Mbps
[UE 17 | RB 1] Throughput = 0.47795 Mbps
[UE 20 | RB 1] Throughput = 0.83642 Mbps
[UE 2 | RB 1] Throughput = 1.43330 Mbps
[UE 3 | RB 1] Throughput = 1.14664 Mbps
[UE 9 | RB 1] Throughput = 0.45866 Mbps
[UE 12 | RB 1] Throughput = 0.57332 Mbps
[UE 15 | RB 1] Throughput = 0.45866 Mbps
[UE 16 | RB 1] Throughput = 0.68798 Mbps
[UE 17 | RB 1] Throughput = 0.68798 Mbps
[UE 20 | RB 1] Throughput = 0.51599 Mbps
[UE 2 | RB 1] Throughput = 1.19693 Mbps
[UE 3 | RB 1] Throughput = 0.83785 Mbps
[UE 9 | RB 1] Throughput = 0.83785 Mbps
[UE 12 | RB 1] Throughput = 0.47877 Mbps
[UE 15 | RB 1] Throughput = 0.83785 Mbps
[UE 16 | RB 1] Throughput = 0.83785 Mbps
[UE 17 | RB 1] Throughput = 0.71816 Mbps
[UE 20 | RB 1] Throughput = 0.77801 Mbps
[UE 2 | RB 1] Throughput = 0.77810 Mbps
[UE 3 | RB 1] Throughput = 1.13722 Mbps
[UE 9 | RB 1] Throughput = 0.83795 Mbps
[UE 12 | RB 1] Throughput = 0.29927 Mbps
[UE 15 | RB 1] Throughput = 0.53868 Mbps
[UE 16 | RB 1] Throughput = 0.53868 Mbps
[UE 17 | RB 1] Throughput = 0.77810 Mbps
[UE 20 | RB 1] Throughput = 0.53868 Mbps
[UE 2 | RB 1] Throughput = 1.19950 Mbps
[UE 3 | RB 1] Throughput = 1.08526 Mbps
[UE 9 | RB 1] Throughput = 0.74255 Mbps
[UE 12 | RB 1] Throughput = 0.45695 Mbps
[UE 15 | RB 1] Throughput = 0.74255 Mbps
[UE 16 | RB 1] Throughput = 0.79966 Mbps
[UE 17 | RB 1] Throughput = 0.57119 Mbps
[UE 20 | RB 1] Throughput = 0.74255 Mbps
[UE 2 | RB 1] Throughput = 1.08179 Mbps
[UE 3 | RB 1] Throughput = 0.79711 Mbps
[UE 9 | RB 1] Throughput = 0.74017 Mbps
[UE 12 | RB 1] Throughput = 0.45549 Mbps
[UE 15 | RB 1] Throughput = 0.51243 Mbps
[UE 16 | RB 1] Throughput = 0.91098 Mbps
[UE 17 | RB 1] Throughput = 0.74017 Mbps
[UE 20 | RB 1] Throughput = 0.56936 Mbps
[UE 2 | RB 1] Throughput = 1.02944 Mbps
[UE 3 | RB 1] Throughput = 1.25820 Mbps
[UE 9 | RB 1] Throughput = 0.74348 Mbps
[UE 12 | RB 1] Throughput = 0.51472 Mbps
[UE 15 | RB 1] Throughput = 0.74348 Mbps
[UE 16 | RB 1] Throughput = 0.85787 Mbps
[UE 17 | RB 1] Throughput = 0.74348 Mbps
[UE 20 | RB 1] Throughput = 0.91506 Mbps
[UE 2 | RB 1] Throughput = 0.96727 Mbps
[UE 3 | RB 1] Throughput = 1.13796 Mbps
[UE 9 | RB 1] Throughput = 0.79657 Mbps
[UE 12 | RB 1] Throughput = 0.73968 Mbps
[UE 15 | RB 1] Throughput = 0.51208 Mbps
[UE 16 | RB 1] Throughput = 0.56898 Mbps
[UE 17 | RB 1] Throughput = 0.73968 Mbps
[UE 20 | RB 1] Throughput = 0.79657 Mbps
[UE 2 | RB 1] Throughput = 1.25676 Mbps
[UE 3 | RB 1] Throughput = 1.01738 Mbps
[UE 9 | RB 1] Throughput = 0.89769 Mbps
[UE 12 | RB 1] Throughput = 0.53861 Mbps
[UE 15 | RB 1] Throughput = 0.71815 Mbps
[UE 16 | RB 1] Throughput = 0.89769 Mbps
[UE 17 | RB 1] Throughput = 0.59846 Mbps
[UE 20 | RB 1] Throughput = 0.89769 Mbps
[UE 2 | RB 1] Throughput = 0.96918 Mbps
[UE 3 | RB 1] Throughput = 1.08320 Mbps
[UE 9 | RB 1] Throughput = 0.85516 Mbps
[UE 12 | RB 1] Throughput = 0.74114 Mbps
[UE 15 | RB 1] Throughput = 0.68413 Mbps
[UE 16 | RB 1] Throughput = 0.57011 Mbps
[UE 17 | RB 1] Throughput = 0.68413 Mbps
[UE 20 | RB 1] Throughput = 0.62712 Mbps
[UE 2 | RB 1] Throughput = 0.97462 Mbps
[UE 3 | RB 1] Throughput = 1.20394 Mbps
[UE 9 | RB 1] Throughput = 0.85996 Mbps
[UE 12 | RB 1] Throughput = 0.80263 Mbps
[UE 15 | RB 1] Throughput = 0.85996 Mbps
[UE 16 | RB 1] Throughput = 0.85996 Mbps
[UE 17 | RB 1] Throughput = 0.91729 Mbps
[UE 20 | RB 1] Throughput = 0.85996 Mbps
[UE 2 | RB 1] Throughput = 1.19829 Mbps
[UE 3 | RB 1] Throughput = 0.89871 Mbps
[UE 9 | RB 1] Throughput = 0.77889 Mbps
[UE 12 | RB 1] Throughput = 0.53923 Mbps
[UE 15 | RB 1] Throughput = 0.95863 Mbps
[UE 16 | RB 1] Throughput = 0.65906 Mbps
[UE 17 | RB 1] Throughput = 0.59914 Mbps
[UE 20 | RB 1] Throughput = 0.89871 Mbps
[UE 2 | RB 1] Throughput = 1.19585 Mbps
[UE 3 | RB 1] Throughput = 0.89689 Mbps
[UE 9 | RB 1] Throughput = 0.71751 Mbps
[UE 12 | RB 1] Throughput = 0.65772 Mbps
[UE 15 | RB 1] Throughput = 0.59793 Mbps
[UE 16 | RB 1] Throughput = 1.01647 Mbps
[UE 17 | RB 1] Throughput = 0.89689 Mbps
[UE 20 | RB 1] Throughput = 0.95668 Mbps
[UE 2 | RB 1] Throughput = 1.14177 Mbps
[UE 3 | RB 1] Throughput = 0.97051 Mbps
[UE 9 | RB 1] Throughput = 0.91342 Mbps
[UE 12 | RB 1] Throughput = 0.62798 Mbps
[UE 15 | RB 1] Throughput = 0.85633 Mbps
[UE 16 | RB 1] Throughput = 0.62798 Mbps
[UE 17 | RB 1] Throughput = 0.85633 Mbps
[UE 20 | RB 1] Throughput = 0.62798 Mbps
[UE 2 | RB 1] Throughput = 1.08725 Mbps
[UE 3 | RB 1] Throughput = 1.25892 Mbps
[UE 9 | RB 1] Throughput = 0.57224 Mbps
[UE 12 | RB 1] Throughput = 0.57224 Mbps
[UE 15 | RB 1] Throughput = 0.57224 Mbps
[UE 16 | RB 1] Throughput = 0.68668 Mbps
[UE 17 | RB 1] Throughput = 0.57224 Mbps
[UE 20 | RB 1] Throughput = 0.97280 Mbps
[UE 2 | RB 1] Throughput = 0.53860 Mbps
[UE 3 | RB 1] Throughput = 1.01736 Mbps
[UE 9 | RB 1] Throughput = 0.83782 Mbps
[UE 12 | RB 1] Throughput = 0.59845 Mbps
[UE 15 | RB 1] Throughput = 0.59845 Mbps
[UE 16 | RB 1] Throughput = 1.01736 Mbps
[UE 17 | RB 1] Throughput = 0.65829 Mbps
[UE 20 | RB 1] Throughput = 0.71814 Mbps
[UE 2 | RB 1] Throughput = 1.36960 Mbps
[UE 3 | RB 1] Throughput = 0.91307 Mbps
