Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
1700,8,1,0.87449,0.02292
1700,9,1,0.98380,0.02578
1786,3,1,0.87427,0.02291
1786,5,1,0.65570,0.01718
1786,6,1,0.87427,0.02291
1786,7,1,0.76498,0.02005
1786,10,1,0.87427,0.02291
1800,1,1,0.83558,0.02190
1800,2,1,0.95495,0.02502
1800,4,1,0.00000,0.00000
1800,8,1,0.00000,0.00000
1800,9,1,0.71621,0.01877
1896,3,1,0.76416,0.02003
1896,5,1,0.98249,0.02575
1896,6,1,0.76416,0.02003
1896,7,1,0.87333,0.02289
1896,10,1,0.76416,0.02003
1910,1,1,0.87175,0.02284
1910,2,1,0.76278,0.01999
1910,4,1,0.87175,0.02284
1910,8,1,0.65381,0.01713
1910,9,1,0.00000,0.00000
1996,3,1,0.00000,0.00000
1996,5,1,0.71903,0.01884
1996,6,1,0.95870,0.02512
1996,7,1,0.71903,0.01884
1996,10,1,0.95870,0.02512
2021,1,1,0.76040,0.01993
2021,2,1,0.00000,0.00000
2021,4,1,0.76040,0.01993
2021,8,1,0.86903,0.02277
2021,9,1,0.97766,0.02562
2096,3,1,0.95648,0.02507
2096,5,1,0.00000,0.00000
2096,6,1,0.83692,0.02193
2096,7,1,1.07604,0.02820
2096,10,1,0.00000,0.00000
2130,1,1,0.00000,0.00000
2130,2,1,0.87301,0.02288
2130,4,1,0.87301,0.02288
2130,8,1,0.76388,0.02002
2130,9,1,0.65476,0.01716
2206,3,1,0.65594,0.01719
2206,5,1,0.98391,0.02578
2206,6,1,0.87458,0.02292
2206,7,1,0.00000,0.00000
2206,10,1,0.76526,0.02005
2240,1,1,0.87357,0.02289
2240,2,1,0.76438,0.02003
2240,4,1,0.76438,0.02003
2240,8,1,0.00000,0.00000
2240,9,1,0.87357,0.02289
2306,3,1,0.00000,0.00000
2306,5,1,0.71861,0.01883
2306,6,1,0.00000,0.00000
2306,7,1,0.71861,0.01883
2306,10,1,0.95815,0.02511
2340,1,1,0.71884,0.01884
2340,2,1,0.95845,0.02512
2340,4,1,0.00000,0.00000
2340,8,1,0.95845,0.02512
2340,9,1,0.83865,0.02198
2416,3,1,0.97805,0.02563
2416,5,1,0.21734,0.00570
2416,6,1,0.76070,0.01993
2416,7,1,0.97805,0.02563
2416,10,1,0.65203,0.01709
2440,1,1,0.83774,0.02195
2440,2,1,0.83774,0.02195
2440,4,1,0.95742,0.02509
2440,8,1,0.83774,0.02195
2440,9,1,0.00000,0.00000
2525,3,1,0.65614,0.01719
2525,5,1,1.42164,0.03725
2525,6,1,0.87486,0.02293
2525,7,1,0.65614,0.01719
2525,10,1,0.87486,0.02293
2550,1,1,0.65265,0.01710
2550,2,1,0.00000,0.00000
2550,4,1,0.65265,0.01710
2550,8,1,0.87020,0.02280
