Time_ms,UE_ID,RB_ID,Throughput_Mbps,Repetition,Scenario,Num_UEs
0,1,1,1.07355,1,cb,1
0,1,1,1.0727,2,cb,1
0,1,1,1.09,3,cb,1
0,1,1,1.08963,4,cb,1
0,1,1,1.08714,5,cb,1
0,1,1,1.07739,6,cb,1
0,1,1,1.07512,7,cb,1
0,1,1,0.95484,8,cb,1
0,1,1,1.07438,9,cb,1
0,1,1,1.09154,10,cb,1
0,1,1,1.07599,11,cb,1
0,1,1,1.07609,12,cb,1
0,1,1,1.0745,13,cb,1
0,1,1,0.98141,14,cb,1
0,1,1,1.65125,15,cb,1
0,1,1,1.07628,16,cb,1
0,1,1,1.08918,17,cb,1
0,1,1,1.07843,18,cb,1
0,1,1,0.01174,19,cb,1
0,1,1,0.75872,20,cb,1
0,1,1,1.07692,21,cb,1
0,1,1,0.02314,22,cb,1
0,1,1,1.07668,23,cb,1
0,1,1,0.79249,24,cb,1
0,1,1,1.0925,25,cb,1
0,1,1,1.07436,26,cb,1
0,1,1,0.82369,27,cb,1
0,1,1,0.94206,28,cb,1
0,1,1,1.4296,29,cb,1
0,2,1,1.0643,30,cb,1
0,3,1,1.18255,30,cb,1
0,2,1,1.07551,31,cb,1
0,3,1,0.956,31,cb,1
0,1,1,1.07759,32,cb,1
0,5,1,1.07759,32,cb,1
0,4,1,1.07759,32,cb,1
0,2,1,1.07045,33,cb,1
0,3,1,0.95151,33,cb,1
0,2,1,1.07657,34,cb,1
0,3,1,1.07657,34,cb,1
0,2,1,1.07567,35,cb,1
0,3,1,1.07567,35,cb,1
0,1,1,1.07606,36,cb,1
0,5,1,1.07606,36,cb,1
0,4,1,1.07606,36,cb,1
0,1,1,1.07131,37,cb,1
0,5,1,1.07131,37,cb,1
0,4,1,1.07131,37,cb,1
0,1,1,0.95815,38,cb,1
0,5,1,1.07792,38,cb,1
0,4,1,1.07792,38,cb,1
0,1,1,0.8699,39,cb,1
0,5,1,0.8699,39,cb,1
0,4,1,0.76116,39,cb,1
0,1,1,0.0,40,cb,1
0,5,1,0.0,40,cb,1
0,4,1,0.0,40,cb,1
0,2,1,1.07777,41,cb,1
0,3,1,1.07777,41,cb,1
0,2,1,1.07686,42,cb,1
0,3,1,1.07686,42,cb,1
0,2,1,1.35838,43,cb,1
0,3,1,1.35838,43,cb,1
0,2,1,0.98088,44,cb,1
0,3,1,1.08987,44,cb,1
0,1,1,0.71862,45,cb,1
0,5,1,0.71862,45,cb,1
0,4,1,0.71862,45,cb,1
0,2,1,1.07833,46,cb,1
0,3,1,0.95852,46,cb,1
0,2,1,1.07735,47,cb,1
0,3,1,1.07735,47,cb,1
0,2,1,0.98016,48,cb,1
0,3,1,0.98016,48,cb,1
0,2,1,1.07671,49,cb,1
0,3,1,1.07671,49,cb,1
0,2,1,1.07762,50,cb,1
0,3,1,1.07762,50,cb,1
0,1,1,0.83398,51,cb,1
0,5,1,0.71484,51,cb,1
0,4,1,0.83398,51,cb,1
0,2,1,1.07798,52,cb,1
0,3,1,1.07798,52,cb,1
0,2,1,1.08469,53,cb,1
0,3,1,1.08469,53,cb,1
0,2,1,1.07604,54,cb,1
0,3,1,1.07604,54,cb,1
0,3,1,1.51158,55,cb,1
0,4,1,1.51158,55,cb,1
0,5,1,1.51158,55,cb,1
0,3,1,1.07842,56,cb,1
0,4,1,1.07842,56,cb,1
0,5,1,1.07842,56,cb,1
0,3,1,1.09174,57,cb,1
0,4,1,1.09174,57,cb,1
0,5,1,0.98256,57,cb,1
0,3,1,1.09924,58,cb,1
0,4,1,0.98931,58,cb,1
0,5,1,1.09924,58,cb,1
2,2,1,1.0782,38,cb,1
2,3,1,1.0782,38,cb,1
3,2,1,1.07648,32,cb,1
3,3,1,1.07648,32,cb,1
3,2,1,1.07724,36,cb,1
3,3,1,1.07724,36,cb,1
3,2,1,1.07405,37,cb,1
3,3,1,1.07405,37,cb,1
3,2,1,0.98272,39,cb,1
3,3,1,0.98272,39,cb,1
3,2,1,0.0,40,cb,1
3,3,1,0.0,40,cb,1
3,2,1,1.07694,51,cb,1
3,3,1,1.07694,51,cb,1
3,1,1,1.47349,55,cb,1
3,2,1,1.58683,55,cb,1
3,1,1,1.06833,56,cb,1
3,2,1,1.06833,56,cb,1
3,1,1,1.09732,57,cb,1
3,2,1,1.09732,57,cb,1
3,1,1,1.09255,58,cb,1
3,2,1,1.09255,58,cb,1
7,1,1,1.21067,30,cb,1
7,5,1,1.21067,30,cb,1
7,4,1,1.10061,30,cb,1
7,1,1,0.76022,31,cb,1
7,5,1,0.76022,31,cb,1
7,4,1,0.76022,31,cb,1
8,1,1,1.09015,41,cb,1
8,5,1,1.09015,41,cb,1
8,4,1,1.09015,41,cb,1
8,1,1,1.09009,47,cb,1
8,5,1,1.09009,47,cb,1
8,4,1,0.98108,47,cb,1
13,2,1,1.09061,45,cb,1
13,3,1,1.09061,45,cb,1
17,1,1,0.79528,34,cb,1
17,5,1,0.79528,34,cb,1
17,4,1,0.79528,34,cb,1
26,1,1,1.42321,44,cb,1
26,5,1,1.31373,44,cb,1
26,4,1,1.31373,44,cb,1
27,1,1,0.8262,35,cb,1
27,5,1,0.8262,35,cb,1
27,4,1,0.7344,35,cb,1
27,1,1,1.20521,53,cb,1
27,5,1,1.31478,53,cb,1
27,4,1,1.31478,53,cb,1
28,1,1,0.82453,49,cb,1
28,5,1,0.82453,49,cb,1
28,4,1,0.82453,49,cb,1
29,1,1,1.15622,43,cb,1
29,5,1,1.24516,43,cb,1
29,4,1,1.15622,43,cb,1
38,1,1,0.76603,50,cb,1
38,5,1,0.76603,50,cb,1
38,4,1,0.76603,50,cb,1
48,1,1,0.63764,46,cb,1
48,5,1,0.63764,46,cb,1
48,4,1,0.63764,46,cb,1
100,1,1,1.07719,1,cb,1
100,1,1,1.07636,3,cb,1
100,1,1,0.95773,4,cb,1
100,1,1,0.9555,5,cb,1
100,1,1,1.07705,10,cb,1
100,1,1,1.07687,11,cb,1
100,1,1,1.07824,12,cb,1
100,1,1,1.07661,16,cb,1
100,2,1,0.95854,34,cb,1
100,3,1,1.07836,34,cb,1
100,2,1,1.07797,35,cb,1
100,3,1,1.07797,35,cb,1
100,2,1,1.07787,42,cb,1
100,3,1,1.07787,42,cb,1
100,2,1,1.07742,47,cb,1
100,3,1,1.07742,47,cb,1
100,2,1,1.07437,49,cb,1
100,3,1,1.07437,49,cb,1
100,2,1,1.07324,52,cb,1
100,3,1,1.07324,52,cb,1
100,2,1,1.0767,54,cb,1
100,3,1,1.0767,54,cb,1
100,3,1,1.07631,55,cb,1
100,4,1,1.07631,55,cb,1
100,5,1,1.07631,55,cb,1
101,1,1,1.07555,6,cb,1
101,1,1,1.07469,14,cb,1
101,1,1,0.71532,17,cb,1
101,1,1,1.06661,18,cb,1
101,1,1,1.07724,25,cb,1
101,1,1,1.07294,38,cb,1
101,5,1,1.07294,38,cb,1
101,4,1,1.07294,38,cb,1
101,3,1,1.06984,58,cb,1
101,4,1,1.06984,58,cb,1
101,5,1,1.06984,58,cb,1
103,2,1,1.07815,37,cb,1
103,3,1,1.07815,37,cb,1
103,2,1,1.07224,38,cb,1
103,3,1,1.07224,38,cb,1
103,2,1,1.07558,39,cb,1
103,3,1,1.07558,39,cb,1
103,2,1,0.0,40,cb,1
103,3,1,0.0,40,cb,1
103,2,1,1.07761,51,cb,1
103,3,1,1.07761,51,cb,1
103,1,1,0.95638,57,cb,1
103,2,1,1.07592,57,cb,1
104,2,1,1.07583,32,cb,1
104,3,1,1.07583,32,cb,1
104,1,1,1.0671,55,cb,1
104,2,1,1.0671,55,cb,1
105,1,1,11.3253,22,cb,1
108,1,1,0.71751,47,cb,1
108,5,1,0.71751,47,cb,1
108,4,1,0.8371,47,cb,1
109,1,1,31.26069,19,cb,1
109,1,1,0.98242,23,cb,1
109,1,1,1.42566,24,cb,1
109,1,1,1.3164,27,cb,1
109,2,1,1.09836,33,cb,1
109,3,1,1.09836,33,cb,1
109,2,1,1.09532,44,cb,1
109,3,1,1.09532,44,cb,1
109,2,1,0.98411,53,cb,1
109,3,1,1.09345,53,cb,1
109,3,1,0.98175,57,cb,1
109,4,1,1.09083,57,cb,1
109,5,1,1.09083,57,cb,1
110,1,1,1.09029,2,cb,1
110,1,1,1.09045,7,cb,1
110,1,1,1.09635,8,cb,1
110,1,1,1.0919,9,cb,1
110,1,1,1.09112,13,cb,1
110,1,1,1.08992,15,cb,1
110,1,1,1.31299,20,cb,1
110,1,1,1.09289,21,cb,1
110,1,1,1.09247,26,cb,1
110,1,1,1.52984,28,cb,1
110,2,1,1.08876,30,cb,1
110,3,1,1.08876,30,cb,1
110,2,1,1.08959,31,cb,1
110,3,1,1.08959,31,cb,1
110,1,1,1.09427,36,cb,1
110,5,1,1.09427,36,cb,1
110,4,1,1.09427,36,cb,1
110,1,1,1.30889,39,cb,1
110,5,1,1.30889,39,cb,1
110,4,1,1.41797,39,cb,1
110,1,1,0.0,40,cb,1
110,5,1,0.0,40,cb,1
110,4,1,0.0,40,cb,1
110,2,1,1.08864,41,cb,1
110,3,1,1.08864,41,cb,1
110,2,1,1.09187,43,cb,1
110,3,1,1.09187,43,cb,1
110,2,1,1.09023,46,cb,1
110,3,1,1.09023,46,cb,1
110,2,1,1.08978,48,cb,1
110,3,1,1.08978,48,cb,1
110,2,1,1.09112,50,cb,1
110,3,1,1.09112,50,cb,1
110,3,1,1.09115,56,cb,1
110,4,1,1.09115,56,cb,1
110,5,1,1.09115,56,cb,1
111,1,1,0.98037,32,cb,1
111,5,1,0.98037,32,cb,1
111,4,1,0.98037,32,cb,1
112,2,1,0.98215,36,cb,1
112,3,1,1.09128,36,cb,1
112,1,1,1.09726,56,cb,1
112,2,1,1.09726,56,cb,1
113,2,1,1.07677,45,cb,1
113,3,1,1.07677,45,cb,1
114,1,1,0.96983,58,cb,1
114,2,1,1.07759,58,cb,1
117,1,1,1.41879,31,cb,1
117,5,1,1.41879,31,cb,1
117,4,1,1.41879,31,cb,1
121,1,1,0.79264,29,cb,1
126,1,1,1.07668,44,cb,1
126,5,1,1.07668,44,cb,1
126,4,1,1.07668,44,cb,1
131,1,1,1.19102,45,cb,1
131,5,1,1.19102,45,cb,1
131,4,1,1.19102,45,cb,1
138,1,1,1.42838,43,cb,1
138,5,1,1.3185,43,cb,1
138,4,1,1.42838,43,cb,1
148,1,1,1.10004,49,cb,1
148,5,1,1.10004,49,cb,1
148,4,1,1.00003,49,cb,1
148,1,1,1.42228,50,cb,1
148,5,1,1.53168,50,cb,1
148,4,1,1.42228,50,cb,1
177,1,1,1.04074,35,cb,1
177,5,1,0.96069,35,cb,1
177,4,1,1.04074,35,cb,1
200,1,1,1.07761,3,cb,1
200,1,1,1.07793,10,cb,1
200,1,1,1.07502,11,cb,1
200,2,1,1.07708,47,cb,1
200,3,1,1.07708,47,cb,1
201,1,1,1.07851,6,cb,1
201,1,1,1.07845,14,cb,1
201,1,1,1.07571,25,cb,1
202,2,1,1.06257,54,cb,1
202,3,1,1.06257,54,cb,1
209,1,1,1.07521,24,cb,1
209,1,1,1.07582,27,cb,1
209,2,1,1.07815,44,cb,1
209,3,1,1.07815,44,cb,1
210,1,1,1.09213,1,cb,1
210,1,1,1.07768,2,cb,1
210,1,1,1.09018,4,cb,1
210,1,1,1.09252,5,cb,1
210,1,1,1.07271,8,cb,1
210,1,1,1.07719,9,cb,1
210,1,1,1.07839,13,cb,1
210,1,1,1.07717,21,cb,1
210,1,1,1.07552,26,cb,1
210,1,1,0.95848,28,cb,1
210,2,1,1.07452,30,cb,1
210,3,1,1.07452,30,cb,1
210,2,1,1.07745,31,cb,1
210,3,1,1.07745,31,cb,1
210,2,1,1.07676,33,cb,1
210,3,1,1.07676,33,cb,1
210,2,1,1.08986,34,cb,1
210,3,1,0.98087,34,cb,1
210,1,1,1.07421,36,cb,1
210,5,1,0.95485,36,cb,1
210,4,1,1.07421,36,cb,1
210,1,1,1.09662,38,cb,1
