Time_ms,Now_us,Latency_us
0,1755745304310631,70967943
1049,1755745305359558,70967970
2088,1755745306398473,70967843
3142,1755745307452306,70968570
4172,1755745308482597,70967953
5206,1755745309516633,70967994
6230,1755745310540620,70968002
7255,1755745311565077,70968426
8284,1755745312594623,70968988
9325,1755745313635465,70967857
10382,1755745314692510,70967805
11431,1755745315741476,70967869
12458,1755745316768868,70968232
13485,1755745317794894,70968253
14520,1755745318830104,70968468
15555,1755745319865473,70967867
16587,1755745320897664,70968032
17614,1755745321924265,70968621
18664,1755745322974721,70968136
19695,1755745324005132,70968450
20725,1755745325035541,70967941
21754,1755745326064580,70967979
22780,1755745327090547,70967947
23812,1755745328122643,70968726
24858,1755745329168619,70968043
25902,1755745330212842,70968206
26939,1755745331249623,70968039
27974,1755745332284728,70968134
29011,1755745333321827,70968203
30049,1755745334359032,70968421
31111,1755745335420975,70968318
32149,1755745336459019,70968387
33187,1755745337497741,70968164
34225,1755745338535606,70968028
35259,1755745339569640,70970040
36285,1755745340595798,70967957
37331,1755745341640951,70968314
38373,1755745342683238,70968509
39412,1755745343722689,70968036
40444,1755745344753998,70968378
41479,1755745345789104,70968465
42521,1755745346830870,70968203
43559,1755745347869342,70968752
44599,1755745348909024,70968435
45624,1755745349934762,70969128
46651,1755745350960984,70968399
47685,1755745351995150,70968508
48734,1755745353044127,70968505
49803,1755745354113200,70968615
50853,1755745355163438,70968862
51892,1755745356202268,70968655
52939,1755745357248991,70968416
53975,1755745358285822,70968246
55003,1755745359313100,70968520
56056,1755745360366267,70968662
57092,1755745361402273,70968690
58126,1755745362436290,70968659
59159,1755745363469206,70968466
60202,1755745364512052,70968481
61231,1755745365541356,70968768
62266,1755745366576394,70968782
63301,1755745367611191,70968557
64342,1755745368652023,70969423
65382,1755745369692506,70972917
66415,1755745370725310,70968577
67441,1755745371751134,70968562
68477,1755745372787281,70968701
69515,1755745373825175,70968494
70556,1755745374866622,70971035
71588,1755745375898200,70968573
72622,1755745376932178,70968569
73657,1755745377967239,70968649
74696,1755745379006179,70968597
75735,1755745380044885,70969229
76775,1755745381085643,70969023
77812,1755745382122621,70968976
78839,1755745383149744,70969147
79878,1755745384188246,70969044
80913,1755745385223508,70968746
81940,1755745386250479,70968850
82977,1755745387287516,70968940
84017,1755745388327384,70968728
85043,1755745389353311,70968686
86085,1755745390395360,70968753
87128,1755745391438162,70969253
88168,1755745392478671,70969054
89206,1755745393516581,70968948
