[UE 11 | RBs:  1 ] Total Throughput = 0.43489 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21744 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32122 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21415 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32122 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21983 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21983 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32975 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22063 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.44127 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33095 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35531 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23687 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.11844 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22119 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22119 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.44239 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21469 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32204 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21469 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.43539 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32655 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21770 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23928 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23928 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35892 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.44102 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33076 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33076 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22024 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22024 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22024 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23894 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23894 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35841 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35926 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.47902 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35926 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21645 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21645 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21645 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21754 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32631 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32631 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21699 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21699 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21699 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32820 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21880 Mbps
