Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,0.93909,0.02461
0,5,1,1.17387,0.03076
0,6,1,1.17387,0.03076
0,8,1,0.82171,0.02153
0,10,1,0.00000,0.00000
0,15,1,0.58693,0.01538
0,18,1,0.46955,0.01230
0,20,1,0.93909,0.02461
0,9,1,1.29125,0.03384
0,12,1,1.05648,0.02769
108,1,1,1.54645,0.04053
108,5,1,1.43599,0.03763
108,6,1,0.00000,0.00000
108,8,1,1.43599,0.03763
108,10,1,2.54060,0.06658
108,15,1,1.43599,0.03763
108,18,1,1.32553,0.03474
108,20,1,0.77323,0.02026
108,9,1,0.44184,0.01158
108,12,1,1.10461,0.02895
219,1,1,0.65188,0.01708
219,5,1,0.54323,0.01424
219,6,1,0.10865,0.00285
219,8,1,0.76052,0.01993
219,10,1,1.95563,0.05125
219,15,1,1.41240,0.03701
219,18,1,0.86917,0.02278
219,20,1,1.52105,0.03986
219,9,1,1.19511,0.03132
219,12,1,0.54323,0.01424
328,1,1,1.09186,0.02861
328,5,1,1.52860,0.04006
328,6,1,3.16638,0.08298
328,8,1,1.20104,0.03147
328,10,1,0.10919,0.00286
328,15,1,0.10919,0.00286
328,18,1,1.09186,0.02861
328,20,1,0.76430,0.02003
328,9,1,0.98267,0.02575
328,12,1,1.52860,0.04006
439,1,1,0.75815,0.01987
439,5,1,1.08306,0.02838
439,6,1,0.64984,0.01703
439,8,1,0.86645,0.02271
439,10,1,0.75815,0.01987
439,15,1,1.62460,0.04257
439,18,1,1.08306,0.02838
439,20,1,0.86645,0.02271
439,9,1,0.75815,0.01987
439,12,1,0.75815,0.01987
539,1,1,1.67632,0.04393
539,5,1,0.83816,0.02196
539,6,1,1.67632,0.04393
539,8,1,2.15527,0.05648
539,10,1,1.79606,0.04707
539,15,1,1.07763,0.02824
539,18,1,0.83816,0.02196
539,20,1,0.95790,0.02510
539,9,1,1.67632,0.04393
539,12,1,0.35921,0.00941
639,1,1,0.83666,0.02193
639,5,1,0.95619,0.02506
639,6,1,0.59762,0.01566
639,8,1,0.11952,0.00313
639,10,1,0.59762,0.01566
639,15,1,0.95619,0.02506
639,18,1,1.07571,0.02819
639,20,1,1.67333,0.04385
639,9,1,0.59762,0.01566
639,12,1,0.95619,0.02506
748,1,1,0.99651,0.02611
748,5,1,0.88578,0.02321
748,6,1,1.32868,0.03482
748,8,1,1.21795,0.03192
748,10,1,1.55012,0.04062
748,15,1,0.99651,0.02611
748,18,1,1.10723,0.02902
748,20,1,0.77506,0.02031
748,9,1,0.77506,0.02031
748,12,1,1.43940,0.03772
858,1,1,1.08707,0.02849
858,5,1,1.52190,0.03988
858,6,1,0.54354,0.01424
858,8,1,1.30449,0.03418
858,10,1,1.52190,0.03988
858,15,1,1.52190,0.03988
858,18,1,1.41319,0.03703
858,20,1,1.52190,0.03988
858,9,1,1.41319,0.03703
858,12,1,0.97837,0.02564
959,1,1,1.18821,0.03114
959,5,1,0.83174,0.02180
959,6,1,1.66349,0.04359
959,8,1,0.71292,0.01868
959,10,1,0.35646,0.00934
959,15,1,0.47528,0.01245
959,18,1,0.83174,0.02180
959,20,1,0.59410,0.01557
959,9,1,0.95056,0.02491
959,12,1,1.18821,0.03114
1059,1,1,1.66332,0.04359
1059,5,1,0.71285,0.01868
1059,6,1,0.83166,0.02179
1059,8,1,1.18809,0.03113
1059,10,1,1.66332,0.04359
1059,15,1,1.54451,0.04047
1059,18,1,1.18809,0.03113
1059,20,1,1.54451,0.04047
1059,9,1,1.06928,0.02802
1059,12,1,0.83166,0.02179
1160,1,1,0.35657,0.00934
1160,5,1,1.54516,0.04049
1160,6,1,0.23772,0.00623
1160,8,1,1.66402,0.04361
1160,10,1,1.06972,0.02803
1160,15,1,0.47543,0.01246
1160,18,1,0.83201,0.02180
1160,20,1,0.71315,0.01869
1160,9,1,0.71315,0.01869
1160,12,1,1.54516,0.04049
1267,1,1,0.33601,0.00881
1267,5,1,1.56803,0.04109
1267,6,1,2.12804,0.05577
1267,8,1,0.56001,0.01468
1267,10,1,0.11200,0.00294
1267,15,1,1.45603,0.03816
1267,18,1,1.23202,0.03229
1267,20,1,0.44801,0.01174
1267,9,1,1.68003,0.04403
1267,12,1,0.78401,0.02055
1368,1,1,2.14782,0.05628
1368,5,1,0.47729,0.01251
1368,6,1,0.47729,0.01251
1368,8,1,1.55120,0.04065
1368,10,1,1.55120,0.04065
1368,15,1,1.19323,0.03127
1368,18,1,0.71594,0.01876
1368,20,1,1.19323,0.03127
1368,9,1,0.59662,0.01563
1368,12,1,1.19323,0.03127
1469,1,1,1.18748,0.03112
1469,5,1,0.47499,0.01245
1469,6,1,0.94998,0.02489
1469,8,1,0.35624,0.00934
1469,10,1,1.66247,0.04357
1469,15,1,0.94998,0.02489
1469,18,1,0.83123,0.02178
1469,20,1,2.25620,0.05912
1469,9,1,1.78121,0.04668
1469,12,1,1.54372,0.04045
1578,1,1,1.09716,0.02875
1578,5,1,0.87773,0.02300
1578,6,1,1.53603,0.04025
1578,8,1,1.09716,0.02875
1578,10,1,0.76802,0.02013
1578,15,1,0.98745,0.02588
1578,18,1,1.20688,0.03163
1578,20,1,0.32915,0.00863
1578,9,1,0.76802,0.02013
1578,12,1,0.54858,0.01438
1679,1,1,0.47289,0.01239
1679,5,1,2.36443,0.06196
1679,6,1,0.82755,0.02169
1679,8,1,1.41866,0.03718
1679,10,1,1.18222,0.03098
1679,15,1,0.82755,0.02169
1679,18,1,0.94577,0.02478
1679,20,1,0.00000,0.00000
1679,9,1,1.06399,0.02788
1679,12,1,1.06399,0.02788
1779,1,1,1.07771,0.02824
1779,5,1,0.95796,0.02510
1779,6,1,1.55669,0.04079
1779,8,1,0.71847,0.01883
1779,10,1,0.83822,0.02197
1779,15,1,1.31720,0.03452
1779,18,1,0.35924,0.00941
1779,20,1,1.91593,0.05021
1779,9,1,0.23949,0.00628
1779,12,1,1.43694,0.03766
1887,1,1,1.22037,0.03198
1887,5,1,0.77660,0.02035
1887,6,1,0.55471,0.01454
1887,8,1,0.44377,0.01163
1887,10,1,1.10942,0.02907
1887,15,1,1.10942,0.02907
1887,18,1,2.88450,0.07559
1887,20,1,1.33131,0.03489
1887,9,1,1.55319,0.04070
1887,12,1,1.10942,0.02907
1987,1,1,0.35935,0.00942
1987,5,1,1.31763,0.03453
1987,6,1,2.27591,0.05964
1987,8,1,2.27591,0.05964
1987,10,1,1.07806,0.02825
1987,15,1,1.67699,0.04395
1987,18,1,0.00000,0.00000
